Country code,Country name,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000,1999,1998,1997,1996,1995,1994,1993,1992,1991,1990
FJI,FIJI,22.0,,,,17.0,,,,,,,,,,,,,,,,,,,,30.0
FRA,FRANCE,4.0,,,,4.0,,,,,,,,,,,,,,,,,,,,9.0
FSM,"MICRONESIA, FEDERATED STATES OF",39.0,,,,42.0,,,,,,,,,,,,,,,,,,,,56.0
GAB,GABON,62.0,,,,74.0,,,,,,,,,,,,,,,,,,,,93.0
GBR,UNITED KINGDOM,5.0,,,,5.0,,,,,,,,,,,,,,,,,,,,9.0
GEO,GEORGIA,20.0,,,,22.0,,,,,,,,,,,,,,,,,,,,47.0
GHA,GHANA,72.0,,,,74.0,,,,,,,,,,,,,,,,,,,,122.0
GIN,GUINEA,101.0,,,,130.0,,,,,,,,,,,,,,,,,,,,229.0
GMB,GAMBIA,73.0,,,,98.0,,,,,,,,,,,,,,,,,,,,165.0
GNB,GUINEA-BISSAU,129.0,,,,150.0,,,,,,,,,,,,,,,,,,,,210.0
GNQ,EQUATORIAL GUINEA,100.0,,,,121.0,,,,,,,,,,,,,,,,,,,,190.0
GRC,GREECE,5.0,,,,4.0,,,,,,,,,,,,,,,,,,,,13.0
GRD,GRENADA,14.0,,,,11.0,,,,,,,,,,,,,,,,,,,,21.0
GTM,GUATEMALA,32.0,,,,32.0,,,,,,,,,,,,,,,,,,,,78.0
GUY,GUYANA,35.0,,,,30.0,,,,,,,,,,,,,,,,,,,,66.0
HND,HONDURAS,23.0,,,,24.0,,,,,,,,,,,,,,,,,,,,58.0
HRV,CROATIA (LOCAL NAME: HRVATSKA),5.0,,,,6.0,,,,,,,,,,,,,,,,,,,,13.0
HTI,HAITI,76.0,,,,165.0,,,,,,,,,,,,,,,,,,,,151.0
HUN,HUNGARY,6.0,,,,6.0,,,,,,,,,,,,,,,,,,,,19.0
IDN,INDONESIA,31.0,,,,35.0,,,,,,,,,,,,,,,,,,,,85.0
IND,INDIA,56.0,,,,63.0,,,,,,,,,,,,,,,,,,,,115.0
IRL,IRELAND,4.0,,,,4.0,,,,,,,,,,,,,,,,,,,,9.0
IRN,IRAN (ISLAMIC REPUBLIC OF),18.0,,,,26.0,,,,,,,,,,,,,,,,,,,,65.0
IRQ,IRAQ,34.0,,,,39.0,,,,,,,,,,,,,,,,,,,,46.0
ISL,ICELAND,2.0,,,,2.0,,,,,,,,,,,,,,,,,,,,6.0
ISR,ISRAEL,4.0,,,,5.0,,,,,,,,,,,,,,,,,,,,12.0
ITA,ITALY,4.0,,,,4.0,,,,,,,,,,,,,,,,,,,,10.0
JAM,JAMAICA,17.0,,,,24.0,,,,,,,,,,,,,,,,,,,,38.0
JOR,JORDAN,19.0,,,,22.0,,,,,,,,,,,,,,,,,,,,38.0
JPN,JAPAN,3.0,,,,3.0,,,,,,,,,,,,,,,,,,,,6.0
KAZ,KAZAKHSTAN,19.0,,,,33.0,,,,,,,,,,,,,,,,,,,,57.0
KEN,KENYA,73.0,,,,85.0,,,,,,,,,,,,,,,,,,,,99.0
KGZ,KYRGYZSTAN,27.0,,,,38.0,,,,,,,,,,,,,,,,,,,,72.0
KHM,CAMBODIA,40.0,,,,51.0,,,,,,,,,,,,,,,,,,,,121.0
KIR,KIRIBATI,60.0,,,,49.0,,,,,,,,,,,,,,,,,,,,87.0
KNA,SAINT KITTS AND NEVIS,9.0,,,,8.0,,,,,,,,,,,,,,,,,,,,28.0
KOR,"KOREA, REPUBLIC OF",4.0,,,,5.0,,,,,,,,,,,,,,,,,,,,8.0
KWT,KUWAIT,11.0,,,,11.0,,,,,,,,,,,,,,,,,,,,15.0
LAO,LAOS ,72.0,,,,54.0,,,,,,,,,,,,,,,,,,,,145.0
LBN,LEBANON,9.0,,,,22.0,,,,,,,,,,,,,,,,,,,,38.0
LBR,LIBERIA,75.0,,,,103.0,,,,,,,,,,,,,,,,,,,,227.0
LBY,LIBYA,15.0,,,,17.0,,,,,,,,,,,,,,,,,,,,45.0
LCA,SAINT LUCIA,18.0,,,,16.0,,,,,,,,,,,,,,,,,,,,23.0
LIE,LIECHTENSTEIN,,,,,2.0,,,,,,,,,,,,,,,,,,,,10.0
LKA,SRI LANKA,10.0,,,,17.0,,,,,,,,,,,,,,,,,,,,32.0
LSO,LESOTHO,100.0,,,,85.0,,,,,,,,,,,,,,,,,,,,89.0
LTU,LITHUANIA,5.0,,,,7.0,,,,,,,,,,,,,,,,,,,,17.0
LUX,LUXEMBURG,2.0,,,,3.0,,,,,,,,,,,,,,,,,,,,8.0
LVA,LATVIA,9.0,,,,10.0,,,,,,,,,,,,,,,,,,,,21.0
MAR,MOROCCO,31.0,,,,36.0,,,,,,,,,,,,,,,,,,,,86.0
