Country code,Country name,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000,1999,1998,1997,1996,1995,1994,1993,1992,1991,1990,1989,1988,1987,1986,1985,1984,1983,1982,1981,1980,1979,1978,1977,1976,1975,1974,1973,1972,1971,1970
KEN,KENYA,4.1,,,,,5.0,,,,,,5.8,,,8.1,,7.6,,,,,5.9,,,,,,,,,,,,,,,,,,,,,,,
KGZ,KYRGYZSTAN,7.0,,9.0,,,4.4,,,10.7,,,,,,,,,9.2,,,,,,,,,,,,,,,,,,,,,,,,,,,
KHM,CAMBODIA,2.0,,,1.9,,,2.0,,1.7,,,,,,4.0,,,,6.5,,,,,,,,,,,,,,,,,,,,,,,,,,
KIR,KIRIBATI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.9,,,,,,,,,,,,,,,
KOR,"KOREA, REPUBLIC OF",,,,6.7,,,,,,,,6.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KWT,KUWAIT,8.7,7.8,9.5,8.3,7.8,9.0,9.3,8.5,8.7,7.5,7.1,6.8,6.6,11.0,,,,8.9,,23.3,,,,,,,,,,,,,,,,,,,,,,,,,
LAO,LAOS ,,,2.0,,,,,,1.3,,,,,,2.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LBN,LEBANON,,,,,,,,,,,16.7,,,,,,,,20.8,,,,,,,,,,,,,,,,,,,,,,,,,,
LBR,LIBERIA,,3.2,,,,,,4.2,,,,,,,4.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LBY,LIBYA,,,,,,,,22.4,,,,,,,,,,,,13.4,,,,,,,,,,,,,,,,,,,,,,,,,
LCA,SAINT LUCIA,,,6.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.3,,,,,,
LKA,SRI LANKA,,,0.6,,,0.8,,1.6,,,,,,,1.0,,,,,,,,,,,,,0.4,,,,,,,,,0.2,,,,,,,,
LSO,LESOTHO,7.4,,,,7.3,,,,,6.8,,,,,21.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MAR,MOROCCO,,,,10.7,,,,,,,13.3,,,,,,,13.7,,,,,10.7,,,,,5.5,,,,,,,,,,,,,,,,,
MDA,"MOLDOVA, REPUBLIC OF",,,4.9,,,,,,,9.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MDG,MADAGASCAR,,,,,,,,,,,6.2,,,,,,,2.9,,,,,1.6,,,,,,,,4.1,,,,,,,,,,,,,,
MDV,MALDIVES,,,,,,6.5,,,,,,,,3.9,,,6.9,,,2.2,1.2,,,,,,,,,,,,,,,,,,,,,,,,
