Country code,Country name,2005,2004,2003,2002,2001,2000,1999,1998,1997,1996,1995,1994,1993,1992,1991,1990,1989,1988,1987,1986,1985,1984,1983,1982,1981,1980,1979,1978,1977,1976,1975,1974,1973,1972,1971,1970,1969,1968,1967,1966,1965,1964,1963,1962,1961,1960,1959,1958,1957,1956,1955,1954,1953,1952,1951,1950
IRL,IRELAND,142528.0,,,,,149958.0,,,,,159792.0,,,,,156828.0,,,,,162233.0,,,,,164040.0,,,,,168277.0,,,,,168128.0,,,,,166546.0,,,,,168737.0,,,,,174511.0,,,,,186615.0
IRN,IRAN (ISLAMIC REPUBLIC OF),1922431.0,,,,,1775153.0,,,,,1718807.0,,,,,1804734.0,,,,,2420083.0,,,,,2942211.0,,,,,2107256.0,,,,,2200358.0,,,,,2316726.0,,,,,2383685.0,,,,,2440724.0,,,,,2448535.0
IRQ,IRAQ,820033.0,,,,,655304.0,,,,,567487.0,,,,,515999.0,,,,,597654.0,,,,,726051.0,,,,,593545.0,,,,,585464.0,,,,,588396.0,,,,,621679.0,,,,,687759.0,,,,,845186.0
ISL,ICELAND,9818.0,,,,,9141.0,,,,,9466.0,,,,,8816.0,,,,,8593.0,,,,,8153.000000000001,,,,,7224.0,,,,,7516.0,,,,,7003.0,,,,,6362.0,,,,,5903.0,,,,,5612.0
ISR,ISRAEL,195457.0,,,,,180636.0,,,,,169323.0,,,,,150918.0,,,,,135761.0,,,,,128948.00000000001,,,,,119270.0,,,,,103172.0,,,,,85763.0,,,,,70643.0,,,,,57266.0,,,,,46598.0
ITA,ITALY,2896938.0,,,,,2817756.0,,,,,2834190.0,,,,,2784799.0,,,,,2738456.0,,,,,2787280.0,,,,,2762529.0,,,,,2671247.0,,,,,2615047.0,,,,,2489552.0,,,,,2365000.0,,,,,2340211.0
JAM,JAMAICA,99899.0,,,,,100104.0,,,,,96139.0,,,,,91638.0,,,,,83871.0,,,,,75513.0,,,,,69722.0,,,,,70585.0,,,,,74420.0,,,,,72895.0,,,,,77723.0,,,,,79468.0
JOR,JORDAN,110964.0,,,,,100007.0,,,,,98578.0,,,,,91856.0,,,,,84750.0,,,,,81768.0,,,,,79082.0,,,,,84703.0,,,,,81001.0,,,,,73207.0,,,,,65788.0,,,,,55929.0
JPN,JAPAN,5596387.0,,,,,5003382.0,,,,,4701750.0,,,,,4318224.0,,,,,3904637.0,,,,,3695610.0,,,,,3540515.0,,,,,3551771.0,,,,,3475085.0,,,,,3508668.0,,,,,3592365.0,,,,,4010740.0
KAZ,KAZAKHSTAN,807340.0,,,,,797129.0,,,,,877210.0,,,,,754572.0,,,,,643636.0,,,,,639851.0,,,,,623281.0,,,,,599455.0,,,,,596753.0,,,,,614380.0,,,,,565946.0,,,,,532175.0
KEN,KENYA,1962441.0,,,,,2045815.0,,,,,1724290.0,,,,,1280226.0,,,,,1078937.0,,,,,957745.0,,,,,929657.0,,,,,890191.0,,,,,858164.0,,,,,826053.0,,,,,814877.0,,,,,769311.0
KGZ,KYRGYZSTAN,204563.0,,,,,191127.0,,,,,187877.0,,,,,185623.0,,,,,180811.0,,,,,180449.0,,,,,170059.0,,,,,165003.0,,,,,163614.0,,,,,169019.0,,,,,166211.0,,,,,163954.0
KHM,CAMBODIA,441034.0,,,,,489149.0,,,,,547671.0,,,,,569295.0,,,,,576723.0,,,,,606785.0,,,,,2187443.0,,,,,873119.0,,,,,705817.0,,,,,655323.0,,,,,596548.0,,,,,550189.0
KIR,KIRIBATI,2940.0,,,,,2910.0,,,,,3046.0,,,,,3272.0,,,,,3264.0,,,,,3276.0,,,,,3151.0,,,,,3091.0,,,,,3382.0,,,,,3308.0,,,,,3256.0,,,,,3169.0
