Country code,Country name,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000,1999,1998,1997,1996,1995,1994,1993,1992,1991,1990,1989,1988,1987,1986,1985,1984,1983,1982,1981,1980,1979,1978,1977,1976,1975,1974,1973,1972,1971,1970,1969,1968,1967,1966,1965
COM,COMOROS,,,,,,,,,,,,13.0,,,,1.0,,,,,,,,,,,23.0,,,,,,,,,,,,,,,,4.0,34.0,25.0,,,,,
CPV,CAPE VERDE,,,,,,,,,102.0,,,12.0,0.0,7.0,0.0,,,,,,144.0,204.0,40.0,41.0,89.0,30.0,41.0,,,,3.0,7.0,17.0,7.0,29.0,10.0,10.0,,10.0,,76.0,80.0,,0.0,,,2.0,1.0,1.0,
DJI,DJIBOUTI,,,,,,,,,,,,,,,,,,,47.0,,,,5.0,31.0,22.0,68.0,64.0,,,,,,,,,19.0,37.0,11.0,36.0,18.0,38.0,21.0,24.0,11.0,9.0,2.0,,24.0,41.0,10.0
DZA,ALGERIA,,,,,,,,62.0,,,,,0.0,0.0,16.0,1337.0,418.0,6.0,,,483.0,549.0,529.0,267.0,722.0,818.0,545.0,834.0,786.0,1335.0,1148.0,970.0,,,829.0,2821.0,993.0,,847.0,1211.0,996.0,1264.0,1739.0,1657.0,1939.0,1356.0,1330.0,,,
EGY,EGYPT,,,,,,,,,,,,,,,,402.0,,156.0,661.0,671.0,800.0,896.0,1165.0,1646.0,2986.0,3894.0,3327.0,998.0,824.0,848.0,813.0,2016.0,2061.0,812.0,296.0,294.0,319.0,245.0,330.0,492.0,6777.0,1185.0,285.0,302.0,239.0,,264.0,204.0,514.0,904.0
ERI,ERITREA,,,,,,,,15.0,5.0,,,2.0,3.0,6.0,0.0,3.0,1.0,7.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ETH,ETHIOPIA,1744.0,,150.0,229.0,5.0,114.0,612.0,36.0,1109.0,562.0,2768.0,2415.0,4191.0,8571.0,1056.0,175.0,,,771.0,247.0,,78.0,,183.0,2537.0,48139.0,359.0,458.0,513.0,378.0,214.0,867.0,8168.0,38698.0,4002.0,70.0,430.0,1296.0,1188.0,603.0,398.0,,,,,126.0,252.0,222.0,205.0,4236.0
GAB,GABON,,,,,,,,34.0,48.0,,,63.0,6.0,0.0,2.0,,,,,,,,,,135.0,169.0,,225.0,,13.0,92.0,53.0,188.0,7.0,66.0,196.0,90.0,290.0,,,70.0,71.0,51.0,,13.0,30.0,42.0,31.0,42.0,35.0
GHA,GHANA,448.0,454.0,739.0,773.0,1164.0,302.0,468.0,816.0,469.0,421.0,1096.0,1666.0,2033.0,1615.0,1003.0,527.0,1049.0,19055.0,479.0,26.0,2173.0,1564.0,1542.0,578.0,530.0,759.0,848.0,1378.0,1548.0,4912.0,4024.0,3574.0,302.0,501.0,441.0,225.0,190.0,401.0,101.0,455.0,784.0,617.0,912.0,629.0,,,27.0,79.0,122.0,28.0
GIN,GUINEA,582.0,480.0,196.0,,84.0,81.0,263.0,54.0,184.0,,,27.0,371.0,579.0,500.0,507.0,58.0,51.0,89.0,238.0,2130.0,1578.0,403.0,829.0,799.0,565.0,811.0,307.0,313.0,189.0,243.0,,168.0,13.0,,15.0,21.0,26.0,17.0,,139.0,179.0,25.0,145.0,77.0,26.0,173.0,,71.0,
GMB,GAMBIA,214.0,248.0,200.0,,,,,17.0,18.0,,,18.0,63.0,130.0,252.0,,,1390.0,,,,,,,49.0,86.0,43.0,30.0,44.0,38.0,47.0,1109.0,,63.0,95.0,40.0,316.0,87.0,10.0,,18.0,39.0,31.0,60.0,52.0,73.0,154.0,668.0,85.0,14.0
GNB,GUINEA-BISSAU,,,,,,,,,,,,,0.0,3.0,0.0,2836.0,114.0,,,,30.0,,,,,68.0,,,,,,,14.0,37.0,11.0,19.0,30.0,47.0,224.0,,7.0,13.0,6.0,8.0,1.0,13.0,7.0,3.0,7.0,
GNQ,EQUATORIAL GUINEA,,,,,,,,3.0,,,,13.0,5.0,0.0,8.0,,,,,,,,,,,,,,,,18.0,4.0,,,,,,,,,,,,,,62.0,,,5.0,2.0
KEN,KENYA,,,,,,,,122.0,83.0,,,,25.0,0.0,0.0,146.0,,,,,,,,,,3800.0,784.0,,,,,949.0,537.0,1355.0,1013.0,1625.0,1640.0,1557.0,507.0,,,97.0,36.0,83.0,127.0,216.0,153.0,232.0,256.0,310.0
LBR,LIBERIA,,,,,,,,23.0,39.0,,,43.0,0.0,26.0,0.0,114.0,101.0,,,,640.0,135.0,,,,,,121.0,,86.0,92.0,125.0,204.0,214.0,145.0,132.0,235.0,181.0,,,23.0,18.0,,,,,,,12.0,19.0
LBY,LIBYA,,,,,,,,,,,,,,,,,,,,,,68.0,25.0,15.0,28.0,14.0,5.0,6.0,4.0,6.0,4.0,33.0,7.0,10.0,11.0,21.0,31.0,13.0,66.0,274.0,449.0,87.0,138.0,159.0,117.0,39.0,,343.0,405.0,67.0
LSO,LESOTHO,,,,,,,,45.0,,,,,,,,,,,,,,,,,,,9.0,,,,,21.0,,51.0,,,,64.0,40.0,,13.0,,,2.0,,29.0,45.0,15.0,14.0,21.0
MAR,MOROCCO,,,,,,,,,,,,,,,,96.0,,438.0,349.0,341.0,462.0,405.0,226.0,529.0,826.0,1802.0,1348.0,720.0,629.0,616.0,886.0,943.0,677.0,715.0,680.0,619.0,567.0,505.0,507.0,580.0,408.0,619.0,557.0,475.0,945.0,1876.0,,6336.0,,253.0
MDG,MADAGASCAR,,,,,,,,,,,,4.0,,,,,,,,,,,,,,,,,,,,,,8.0,,,2.0,,13.0,,,3.0,14.0,177.0,100.0,156.0,109.0,134.0,43.0,27.0
MLI,MALI,327.0,358.0,688.0,430.0,482.0,335.0,1538.0,953.0,1039.0,454.0,1480.0,1242.0,787.0,1116.0,862.0,1038.0,2704.0,11228.0,7254.0,1199.0,,,,,1054.0,1110.0,269.0,658.0,1186.0,1247.0,842.0,1235.0,2936.0,4601.0,391.0,432.0,248.0,267.0,233.0,,416.0,1005.0,628.0,1813.0,4573.0,13228.0,752.0,276.0,329.0,516.0
MOZ,MOZAMBIQUE,,,,,,,,396.0,946.0,,,297.0,232.0,879.0,442.0,255.0,462.0,1276.0,5291.0,34.0,,,,87.0,65.0,94.0,140.0,76.0,242.0,9.0,64.0,112.0,166.0,193.0,243.0,254.0,272.0,136.0,39.0,119.0,60.0,94.0,114.0,74.0,89.0,139.0,93.0,33.0,33.0,57.0
MRT,MAURITANIA,1.0,14.0,41.0,,,,,,1.0,,,14.0,66.0,54.0,294.0,264.0,18.0,32.0,,,,34.0,23.0,197.0,48.0,107.0,184.0,193.0,,316.0,192.0,79.0,,,,,1.0,1.0,34.0,44.0,106.0,,10.0,152.0,158.0,177.0,,,21.0,7.0
MUS,MAURITIUS,,,,,,,,,,,,,0.0,0.0,1.0,,1.0,1.0,,,2.0,,1.0,4.0,2.0,28.0,8.0,7.0,3.0,2.0,3.0,7.0,,,,,,,,,,0.0,1.0,1.0,1.0,4.0,3.0,1.0,1.0,5.0
MWI,MALAWI,,,,,,,,,,,,,,,,,,,269.0,,,,,,,2972.0,148.0,600.0,,,,,,1030.0,,,,2451.0,,,,,,184.0,245.0,,,108.0,,95.0
NAM,NAMIBIA,,,,,,,,,,,,,0.0,160.0,91.0,,,,,76.0,2773.0,104.0,364.0,130.0,,,,,,,,,,,,,,,,,,,,,,,,,,
NER,NIGER,327.0,311.0,314.0,1214.0,2908.0,13449.0,3757.0,1051.0,4465.0,1404.0,4081.0,8678.0,4793.0,8745.0,14440.0,5576.0,2328.0,4910.0,16145.0,43203.0,11838.0,11025.0,8171.0,4208.0,2262.0,4353.0,2437.0,3383.0,20140.0,1133.0,2136.0,1377.0,995.0,2567.0,4203.0,6011.0,9245.0,3034.0,1172.0,,,,2233.0,3793.0,9907.0,3074.0,2231.0,453.0,947.0,4288.0
NGA,NIGERIA,1175.0,871.0,1206.0,1165.0,4983.0,56128.0,6835.0,2764.0,5731.0,657.0,659.0,5518.0,4004.0,4215.0,5765.0,1946.0,5948.0,3229.0,108568.0,7376.0,5298.0,4209.0,6418.0,6991.0,6842.0,8689.0,8059.0,13609.0,15548.0,752.0,719.0,507.0,1092.0,461.0,1605.0,3515.0,37090.0,13496.0,261.0,,38.0,,5365.0,7897.0,9712.0,4291.0,1861.0,2116.0,5799.0,7714.0
RWA,RWANDA,,,,,,,,35.0,116.0,,,26.0,1958.0,36.0,838.0,62.0,291.0,10.0,,,,1560.0,1100.0,,180.0,384.0,182.0,158.0,195.0,51.0,221.0,150.0,162.0,658.0,1447.0,5169.0,3165.0,8.0,,18.0,49.0,59.0,8.0,75.0,15.0,41.0,30.0,36.0,56.0,58.0
SDN,SUDAN,207.0,1110.0,524.0,,2240.0,,420.0,13879.0,6487.0,3703.0,1133.0,1436.0,2407.0,2252.0,5076.0,33664.0,697.0,297.0,340.0,276.0,391.0,1147.0,716.0,737.0,1326.0,7051.0,32016.0,443.0,452.0,317.0,541.0,3028.0,1025.0,1650.0,4447.0,141.0,29170.0,522.0,1151.0,179.0,,,4231.0,,2774.0,5662.0,6607.0,,2914.0,2986.0
SEN,SENEGAL,102.0,379.0,894.0,,,,,77.0,70.0,,,45.0,132.0,1106.0,454.0,4939.0,2709.0,13.0,11.0,41.0,,,,,,2.0,20.0,98.0,825.0,512.0,,3712.0,960.0,360.0,336.0,358.0,377.0,363.0,247.0,367.0,445.0,368.0,1131.0,1322.0,2624.0,1363.0,1477.0,1655.0,351.0,81.0
SLE,SIERRA LEONE,,,,,,,,1.0,8.0,,,,,,,8.0,,,,157.0,,,,,,,,,,168.0,18.0,4.0,,10.0,229.0,287.0,1.0,,,,,17.0,3.0,16.0,15.0,,14.0,27.0,349.0,7.0
SOM,SOMALIA,,,,,,,,,,,,,,,,,,,,,,,,,,106.0,22.0,,16.0,3.0,7.0,32.0,,,,,,,,,,,,,,,,,,
SSD,SOUTH SUDAN,111.0,259.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
STP,SAO TOME AND PRINCIPE,,,,,,,,,,,,,0.0,0.0,5.0,,,,,,,,,,,2.0,,2.0,3.0,5.0,12.0,13.0,,,1.0,4.0,1.0,,,,,,,3.0,,,7.0,8.0,11.0,
SWZ,SWAZILAND,,,,,,,,,,,,,0.0,0.0,9.0,,,,,,,,,,,,,,,,,50.0,,,,,,,31.0,27.0,85.0,16.0,17.0,15.0,20.0,7.0,6.0,9.0,8.0,2.0
SYC,SEYCHELLES,,,,,,,,1.0,,,,,,,,,,,,,7.0,10.0,6.0,16.0,5.0,12.0,3.0,15.0,13.0,12.0,9.0,8.0,3.0,,,,,,,,,,,,,,,,,
TCD,CHAD,235.0,371.0,3874.0,5960.0,3228.0,1460.0,1093.0,1206.0,1432.0,1015.0,863.0,1248.0,686.0,6695.0,7788.0,2540.0,7964.0,1123.0,1079.0,30.0,948.0,2901.0,2392.0,885.0,8189.0,4100.0,7867.0,4005.0,413.0,435.0,372.0,3942.0,84.0,17.0,,82.0,439.0,1594.0,791.0,1515.0,2312.0,2376.0,4868.0,672.0,3721.0,287.0,785.0,657.0,575.0,392.0
TGO,TOGO,351.0,266.0,408.0,440.0,460.0,350.0,413.0,723.0,578.0,333.0,305.0,397.0,868.0,1339.0,425.0,249.0,343.0,3262.0,693.0,619.0,228.0,339.0,,,158.0,884.0,171.0,554.0,333.0,243.0,237.0,332.0,119.0,28.0,213.0,326.0,619.0,840.0,245.0,,524.0,526.0,1017.0,397.0,87.0,112.0,145.0,199.0,174.0,74.0
TUN,TUNISIA,,,,,,,,,,,,,,,,,,,,278.0,325.0,422.0,451.0,430.0,459.0,580.0,699.0,1557.0,972.0,676.0,631.0,717.0,216.0,150.0,132.0,153.0,174.0,126.0,189.0,407.0,376.0,729.0,529.0,403.0,162.0,167.0,215.0,96.0,,
TZA,"TANZANIA, UNITED REPUBLIC OF",,,,,,,,44.0,533.0,,,125.0,857.0,119.0,462.0,560.0,,194.0,1286.0,,,2289.0,4279.0,6923.0,686.0,1249.0,,,,,,,679.0,124.0,,,6412.0,,,,124.0,,,,391.0,264.0,254.0,316.0,213.0,331.0
UGA,UGANDA,,,,,,,400.0,3561.0,728.0,,,1840.0,266.0,301.0,15.0,,,,,,,1230.0,1079.0,1529.0,3498.0,1501.0,90.0,,,,97.0,1804.0,127.0,124.0,372.0,81.0,668.0,2098.0,,194.0,118.0,118.0,24.0,122.0,32.0,32.0,46.0,41.0,51.0,180.0
ZAF,SOUTH AFRICA,,,,,,,,,,,,34.0,198.0,245.0,,,,,,,,87.0,510.0,760.0,850.0,873.0,934.0,664.0,501.0,528.0,588.0,612.0,,,,,,,,,,,2080.0,,1490.0,1934.0,2135.0,1994.0,878.0,
ZMB,ZAMBIA,,,,,,,,57.0,,,,,0.0,749.0,189.0,177.0,186.0,130.0,1897.0,,,2092.0,3622.0,3272.0,1772.0,1426.0,1480.0,1508.0,180.0,178.0,,,519.0,458.0,285.0,265.0,498.0,164.0,,257.0,,,,,,,,,72.0,
ZWE,ZIMBABWE,,,,,,,,,,,,,0.0,1.0,194.0,14.0,77.0,58.0,,,,,29.0,118.0,31.0,77.0,33.0,43.0,,445.0,81.0,113.0,49.0,28.0,32.0,29.0,,,,,80.0,64.0,84.0,93.0,90.0,14.0,9.0,8.0,8.0,
