Country code,Country name,2005,2004,2003,2002,2001,2000,1999,1998,1997,1996,1995,1994,1993,1992,1991,1990,1989,1988,1987,1986,1985,1984,1983,1982,1981,1980,1979,1978,1977,1976,1975,1974,1973,1972,1971,1970,1969,1968,1967,1966,1965,1964,1963,1962,1961,1960,1959,1958,1957,1956,1955,1954,1953,1952,1951,1950
GNB,GUINEA-BISSAU,2.198,,,,,2.202,,,,,2.218,,,,,2.27,,,,,2.224,,,,,2.132,,,,,1.007,,,,,2.608,,,,,0.703,,,,,0.723,,,,,1.54,,,,,2.556
GNQ,EQUATORIAL GUINEA,2.852,,,,,3.053,,,,,3.188,,,,,3.341,,,,,3.568,,,,,6.983,,,,,-1.539,,,,,-3.995,,,,,1.534,,,,,1.328,,,,,1.18,,,,,1.049
GRC,GREECE,0.123,,,,,0.099,,,,,0.582,,,,,0.982,,,,,0.45,,,,,0.596,,,,,1.276,,,,,0.569,,,,,0.558,,,,,0.515,,,,,0.902,,,,,1.03
GRD,GRENADA,0.333,,,,,0.26,,,,,0.271,,,,,0.807,,,,,-0.738,,,,,2.311,,,,,-0.76,,,,,-0.423,,,,,-0.032,,,,,1.023,,,,,2.069,,,,,1.104
GRL,GREENLAND,-0.143,,,,,0.275,,,,,0.13,,,,,0.074,,,,,0.888,,,,,1.166,,,,,0.238,,,,,1.467,,,,,3.873,,,,,3.9,,,,,3.79,,,,,2.334
GTM,GUATEMALA,2.464,,,,,2.473,,,,,2.306,,,,,2.32,,,,,2.312,,,,,2.466,,,,,2.449,,,,,2.687,,,,,2.682,,,,,2.687,,,,,2.692,,,,,2.801
GUF,FRENCH GUIANA,2.697,,,,,4.048,,,,,3.44,,,,,3.428,,,,,5.823,,,,,5.096,,,,,3.488,,,,,3.187,,,,,4.208,,,,,3.899,,,,,2.518,,,,,2.274
GUM,GUAM,0.131,,,,,0.392,,,,,1.299,,,,,2.187,,,,,2.254,,,,,2.258,,,,,2.185,,,,,2.14,,,,,2.284,,,,,2.287,,,,,1.267,,,,,0.98
GUY,GUYANA,0.654,,,,,0.435,,,,,0.444,,,,,0.085,,,,,-0.723,,,,,-0.66,,,,,0.735,,,,,0.764,,,,,2.361,,,,,2.677,,,,,2.953,,,,,3.461
HKG,HONG KONG,0.438,,,,,0.179,,,,,2.131,,,,,1.175,,,,,1.354,,,,,1.38,,,,,2.974,,,,,1.912,,,,,0.806,,,,,4.239,,,,,4.225,,,,,4.645
HND,HONDURAS,1.992,,,,,2.022,,,,,2.179,,,,,2.627,,,,,2.92,,,,,3.063,,,,,3.139,,,,,2.877,,,,,2.69,,,,,3.224,,,,,3.074,,,,,2.874
