Country code,Country name,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000,1999,1998,1997,1996,1995,1994,1993,1992,1991,1990,1989,1988,1987,1986,1985,1984,1983,1982,1981,1980,1979,1978,1977,1976,1975,1974,1973,1972,1971,1970,1969,1968,1967,1966
MLI,MALI,,,,,,,,,15.3,,,,,12.6,,,,,12.7,,,,,,,,,14.3,,,,,,,,,,,,,,,,,,,,,
MMR,MYANMAR (Burma) ,,,,,7.9,,,,,,,10.7,,,10.7,,,9.8,,,9.4,,,13.1,,,,,,12.9,,,,,,,,,,,,,,,,,,,
MNE,MONTENEGRO,,2.8,,,,,,,4.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MNG,MONGOLIA,,1.0,,,1.8,,,,,2.7,0.6,,,,7.1,4.3,,,,,,,2.3,,,,,,,,,,,,,,,,,,,,,,,,,,
MOZ,MOZAMBIQUE,,,,6.1,,,4.2,,,,,5.4,,6.8,,,,12.5,,9.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MRT,MAURITANIA,,,11.6,13.9,,,8.1,13.4,,,,,,15.3,,,,,8.7,,,,,,17.4,,19.1,,,,,,,,,,,,,,,,,,,,,,
MUS,MAURITIUS,,,,,,,,,,,,,,,,,,,,15.7,,,,,,,,,,18.3,,,,,,,,,,,,,,,,,,,
MWI,MALAWI,,,,,4.1,1.8,,,4.2,6.3,,,,,6.8,,11.0,,,8.5,,,6.6,,,,,,,,,,3.7,2.2,,,,,,,,,,,,,,,
MYS,MALAYSIA,,,,,,,,,,,,,,,,15.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NAM,NAMIBIA,,7.1,,,,,,7.5,,,,,,,10.0,,,,,,,,9.6,,,,,,,,,,,,,,,,,,,,,,,,,,
NER,NIGER,,,18.7,,,,,,12.4,,,,,,16.2,,25.5,,,,,,18.9,,,,,,,25.3,,,,,,,,,,,,,,,,,,,
NGA,NIGERIA,7.9,18.1,,10.2,,,14.4,13.4,,,,11.2,,,,17.6,,,,,,20.6,,,11.8,,,,,,,22.7,,,,,,,,,,,,,,,,,
NIC,NICARAGUA,,,,,,,,1.5,,0.3,,,,2.3,,,3.7,,,,,2.4,,,,,,,,,,,0.7,,,,,,,,,,,,,,,,
NLD,NETHERLANDS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.7,,,,,,,,,,,,,,
NPL,NEPAL,,,,11.2,,,,,12.7,,,,,11.3,,,7.9,,15.1,7.5,,,,,,,,,,,,,,,,,,,,15.2,,,,,,,,,
NRU,NAURU,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OMN,OMAN,,,,,,7.1,,,,,,,,,,7.3,,,,7.0,,,,8.8,,,,,,,,,,,,,,,,,,,,,,,,,
PAK,PAKISTAN,,10.5,,14.8,,,,,,,,,,14.2,,,,,,,17.2,,,12.5,,,,24.0,,,,,,,,,,15.2,,,,,,,,,,,
PAN,PANAMA,,,,,,,1.2,,,,,,,,,,,1.4,,,,,,,,,,,,,,,,,7.5,,,,,,,,,,,,,,
PER,PERU,,,0.6,0.4,0.7,0.6,0.8,,,1.0,,,,,1.1,,,,1.6,,,,1.9,,,,,,,,1.3,,,,,,,,,,,,,,,,,,
PHL,PHILIPPINES,,,,7.3,,,6.9,,,,,6.0,,,,,8.0,,,,,9.1,8.8,,6.9,,,5.7,,,,,6.1,,,,,,,9.9,,,,,,,,,
PNG,PAPUA NEW GUINEA,,,,14.3,,,,,,4.4,,,,,,,,,,,,,,,,,,,,,,6.3,,,,,,,,,,,,,,,,,
PRK,"KOREA, D.P.R.O.",,,4.0,,,5.2,,,,,8.5,,8.7,,12.2,,20.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PRY,PARAGUAY,,,,,,,,,,1.1,,,,,,,,,,,,,,,0.6,,,,,,,,,,,,,,,,,,,,,,,,
