Country code,Country name,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000,1999,1998,1997,1996,1995,1994,1993,1992,1991,1990
COK,COOK ISLANDS,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
COL,COLOMBIA,91.0,91.0,91.0,91.0,91.0,91.0,91.0,91.0,91.0,91.0,91.0,90.0,90.0,90.0,90.0,90.0,90.0,90.0,90.0,89.0,89.0,89.0,89.0,89.0,89.0,88.0
COM,COMOROS,90.0,90.0,90.0,90.0,90.0,90.0,90.0,90.0,90.0,90.0,90.0,90.0,90.0,90.0,90.0,90.0,90.0,90.0,90.0,90.0,90.0,90.0,90.0,90.0,90.0,90.0
CPV,CAPE VERDE,92.0,92.0,91.0,90.0,90.0,89.0,88.0,88.0,87.0,86.0,86.0,85.0,84.0,84.0,83.0,82.0,82.0,81.0,81.0,80.0,80.0,80.0,80.0,80.0,,
CRI,COSTA RICA,98.0,98.0,98.0,98.0,97.0,97.0,97.0,97.0,97.0,96.0,96.0,96.0,96.0,96.0,95.0,95.0,95.0,95.0,94.0,94.0,94.0,94.0,94.0,93.0,93.0,93.0
CUB,CUBA,95.0,95.0,94.0,94.0,94.0,94.0,93.0,93.0,93.0,92.0,92.0,92.0,92.0,91.0,91.0,91.0,90.0,90.0,90.0,90.0,90.0,90.0,,,,
CYM,CAYMAN ISLANDS,97.0,97.0,97.0,97.0,97.0,97.0,96.0,96.0,96.0,95.0,95.0,95.0,94.0,94.0,94.0,93.0,93.0,93.0,92.0,92.0,92.0,92.0,92.0,,,
CYP,CYPRUS,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
CZE,CZECH REPUBLIC,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
DEU,GERMANY,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
DJI,DJIBOUTI,90.0,90.0,90.0,90.0,90.0,89.0,89.0,88.0,87.0,86.0,86.0,85.0,84.0,84.0,83.0,82.0,82.0,81.0,80.0,80.0,79.0,78.0,78.0,78.0,78.0,78.0
DMA,DOMINICA,,,,,,,,,94.0,94.0,94.0,94.0,94.0,94.0,95.0,95.0,95.0,95.0,95.0,95.0,95.0,,,,,
DNK,DENMARK,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
DOM,DOMINICAN REPUBLIC,85.0,85.0,85.0,85.0,86.0,86.0,86.0,86.0,86.0,86.0,87.0,87.0,87.0,87.0,87.0,87.0,87.0,87.0,87.0,87.0,87.0,87.0,87.0,87.0,87.0,87.0
DZA,ALGERIA,84.0,84.0,85.0,85.0,85.0,86.0,86.0,87.0,87.0,87.0,88.0,88.0,89.0,89.0,89.0,90.0,90.0,90.0,91.0,91.0,91.0,92.0,92.0,92.0,92.0,92.0
ECU,ECUADOR,87.0,87.0,86.0,86.0,85.0,85.0,84.0,84.0,83.0,83.0,82.0,82.0,81.0,81.0,80.0,80.0,79.0,79.0,78.0,77.0,77.0,76.0,76.0,75.0,74.0,74.0
EGY,EGYPT,99.0,99.0,99.0,99.0,99.0,98.0,98.0,98.0,98.0,97.0,97.0,97.0,97.0,96.0,96.0,96.0,96.0,95.0,95.0,95.0,95.0,94.0,94.0,94.0,94.0,93.0
ERI,ERITREA,58.0,58.0,58.0,58.0,57.0,56.0,56.0,55.0,55.0,54.0,54.0,53.0,53.0,52.0,52.0,51.0,51.0,50.0,49.0,49.0,48.0,48.0,47.0,47.0,47.0,47.0
ESP,SPAIN,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
EST,ESTONIA,100.0,100.0,100.0,100.0,100.0,100.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0
ETH,ETHIOPIA,57.0,55.0,54.0,52.0,50.0,48.0,46.0,44.0,42.0,40.0,38.0,36.0,35.0,33.0,31.0,29.0,27.0,25.0,23.0,21.0,20.0,18.0,16.0,14.0,13.0,13.0
FIN,FINLAND,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
FJI,FIJI,96.0,96.0,96.0,96.0,96.0,95.0,95.0,94.0,94.0,93.0,93.0,93.0,92.0,92.0,91.0,91.0,90.0,90.0,89.0,89.0,88.0,88.0,87.0,87.0,86.0,86.0
FRA,FRANCE,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
FSM,"MICRONESIA, FEDERATED STATES OF",89.0,89.0,89.0,89.0,89.0,89.0,89.0,89.0,90.0,90.0,90.0,90.0,90.0,90.0,90.0,90.0,90.0,90.0,91.0,91.0,91.0,91.0,91.0,91.0,91.0,91.0
GAB,GABON,93.0,93.0,93.0,92.0,92.0,91.0,91.0,90.0,89.0,89.0,88.0,87.0,86.0,86.0,85.0,84.0,83.0,82.0,81.0,81.0,80.0,79.0,,,,
GBR,UNITED KINGDOM,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
GEO,GEORGIA,100.0,100.0,99.0,98.0,98.0,97.0,96.0,95.0,95.0,94.0,93.0,92.0,92.0,91.0,90.0,89.0,89.0,88.0,87.0,87.0,86.0,85.0,85.0,85.0,85.0,85.0
GHA,GHANA,89.0,88.0,87.0,85.0,84.0,83.0,82.0,81.0,80.0,78.0,77.0,76.0,75.0,73.0,72.0,71.0,69.0,68.0,66.0,65.0,63.0,62.0,60.0,59.0,57.0,56.0
GIN,GUINEA,77.0,77.0,76.0,75.0,74.0,73.0,72.0,71.0,70.0,69.0,68.0,67.0,66.0,65.0,64.0,63.0,62.0,61.0,60.0,59.0,58.0,57.0,56.0,55.0,53.0,52.0
GLP,GUADELOUPE,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,98.0,98.0,98.0,98.0,98.0,98.0,98.0,98.0,98.0,98.0,98.0,98.0,98.0,98.0
GMB,GAMBIA,90.0,90.0,90.0,90.0,90.0,89.0,88.0,88.0,87.0,87.0,86.0,85.0,85.0,84.0,83.0,83.0,82.0,81.0,81.0,80.0,79.0,79.0,78.0,77.0,77.0,76.0
GNB,GUINEA-BISSAU,79.0,77.0,76.0,74.0,72.0,70.0,68.0,66.0,64.0,63.0,61.0,59.0,57.0,56.0,54.0,52.0,50.0,49.0,47.0,45.0,44.0,42.0,41.0,39.0,38.0,36.0
GNQ,EQUATORIAL GUINEA,48.0,48.0,48.0,48.0,48.0,48.0,48.0,47.0,47.0,47.0,47.0,47.0,47.0,47.0,47.0,47.0,47.0,47.0,47.0,47.0,47.0,47.0,,,,
GRC,GREECE,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,98.0,98.0,98.0,98.0,98.0,98.0,98.0
GRD,GRENADA,97.0,97.0,97.0,97.0,97.0,97.0,97.0,97.0,97.0,97.0,97.0,97.0,97.0,97.0,97.0,97.0,97.0,97.0,97.0,97.0,97.0,97.0,97.0,97.0,97.0,97.0
GRL,GREENLAND,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
GTM,GUATEMALA,93.0,93.0,93.0,92.0,91.0,91.0,90.0,89.0,89.0,88.0,87.0,87.0,86.0,85.0,85.0,84.0,83.0,82.0,82.0,81.0,80.0,80.0,79.0,78.0,77.0,77.0
GUF,FRENCH GUIANA,,92.0,91.0,91.0,91.0,91.0,91.0,90.0,90.0,89.0,88.0,88.0,87.0,87.0,86.0,86.0,85.0,84.0,84.0,83.0,83.0,83.0,83.0,83.0,,
GUM,GUAM,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
GUY,GUYANA,98.0,98.0,97.0,96.0,95.0,94.0,93.0,93.0,92.0,91.0,90.0,89.0,89.0,88.0,87.0,86.0,86.0,85.0,84.0,83.0,82.0,82.0,81.0,80.0,79.0,79.0
HND,HONDURAS,91.0,91.0,90.0,89.0,89.0,88.0,87.0,87.0,86.0,85.0,85.0,84.0,83.0,82.0,82.0,81.0,80.0,79.0,79.0,78.0,77.0,76.0,76.0,75.0,74.0,73.0
HRV,CROATIA (LOCAL NAME: HRVATSKA),100.0,100.0,100.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,98.0,98.0,98.0,98.0,98.0,98.0,98.0,98.0,98.0,98.0,98.0,98.0,98.0
HTI,HAITI,58.0,58.0,58.0,59.0,59.0,59.0,60.0,60.0,60.0,60.0,61.0,61.0,61.0,61.0,61.0,61.0,61.0,61.0,62.0,62.0,62.0,62.0,63.0,63.0,62.0,62.0
HUN,HUNGARY,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,99.0,99.0,99.0,99.0,99.0,98.0,98.0,98.0,98.0,98.0,97.0,97.0,97.0,97.0,97.0,96.0,96.0
IDN,INDONESIA,87.0,87.0,86.0,86.0,85.0,85.0,84.0,83.0,83.0,82.0,81.0,81.0,80.0,79.0,79.0,78.0,77.0,76.0,75.0,75.0,74.0,73.0,72.0,71.0,70.0,70.0
IND,INDIA,94.0,94.0,93.0,92.0,91.0,90.0,89.0,88.0,87.0,87.0,86.0,85.0,84.0,83.0,82.0,81.0,80.0,79.0,78.0,77.0,76.0,75.0,74.0,73.0,72.0,71.0
IRL,IRELAND,98.0,98.0,98.0,98.0,98.0,97.0,97.0,97.0,97.0,97.0,97.0,97.0,97.0,97.0,96.0,96.0,96.0,96.0,96.0,96.0,96.0,96.0,96.0,96.0,96.0,96.0
IRN,IRAN (ISLAMIC REPUBLIC OF),96.0,96.0,96.0,96.0,96.0,96.0,96.0,96.0,95.0,95.0,95.0,95.0,95.0,95.0,94.0,94.0,94.0,94.0,94.0,93.0,93.0,93.0,93.0,92.0,92.0,92.0
IRQ,IRAQ,87.0,87.0,87.0,86.0,86.0,85.0,85.0,84.0,84.0,83.0,83.0,82.0,82.0,81.0,81.0,80.0,80.0,79.0,79.0,79.0,78.0,78.0,78.0,78.0,78.0,78.0
ISL,ICELAND,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
ISR,ISRAEL,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
ITA,ITALY,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
JAM,JAMAICA,94.0,94.0,94.0,94.0,94.0,94.0,94.0,94.0,94.0,94.0,94.0,94.0,94.0,94.0,94.0,94.0,93.0,93.0,93.0,93.0,93.0,93.0,93.0,93.0,93.0,93.0
JOR,JORDAN,97.0,97.0,97.0,97.0,97.0,97.0,97.0,97.0,97.0,97.0,97.0,97.0,97.0,97.0,97.0,97.0,97.0,97.0,97.0,97.0,97.0,97.0,97.0,97.0,96.0,96.0
JPN,JAPAN,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
KAZ,KAZAKHSTAN,93.0,93.0,93.0,93.0,93.0,93.0,93.0,93.0,93.0,93.0,94.0,94.0,94.0,94.0,94.0,94.0,94.0,94.0,94.0,94.0,94.0,94.0,94.0,94.0,94.0,94.0
KEN,KENYA,63.0,63.0,62.0,62.0,61.0,60.0,59.0,59.0,58.0,57.0,56.0,55.0,54.0,54.0,53.0,52.0,51.0,50.0,49.0,48.0,47.0,47.0,46.0,45.0,44.0,43.0
KGZ,KYRGYZSTAN,90.0,89.0,88.0,88.0,87.0,86.0,85.0,85.0,84.0,83.0,82.0,82.0,81.0,80.0,79.0,78.0,78.0,77.0,76.0,76.0,75.0,74.0,74.0,75.0,75.0,75.0
KHM,CAMBODIA,76.0,73.0,71.0,69.0,67.0,64.0,62.0,60.0,57.0,55.0,53.0,51.0,48.0,46.0,44.0,42.0,39.0,37.0,35.0,33.0,30.0,28.0,26.0,24.0,24.0,23.0
KIR,KIRIBATI,67.0,67.0,67.0,67.0,66.0,65.0,65.0,64.0,64.0,63.0,62.0,62.0,61.0,60.0,60.0,59.0,58.0,57.0,55.0,54.0,53.0,53.0,52.0,51.0,50.0,50.0
KNA,SAINT KITTS AND NEVIS,98.0,98.0,98.0,98.0,98.0,98.0,98.0,98.0,98.0,98.0,98.0,98.0,98.0,98.0,98.0,98.0,98.0,98.0,98.0,98.0,98.0,98.0,98.0,98.0,98.0,98.0
KOR,"KOREA, REPUBLIC OF",,,,98.0,98.0,98.0,98.0,98.0,97.0,97.0,96.0,96.0,95.0,95.0,94.0,93.0,93.0,92.0,92.0,91.0,91.0,90.0,90.0,90.0,90.0,
KWT,KUWAIT,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0
LAO,LAOS ,76.0,76.0,74.0,72.0,70.0,68.0,65.0,63.0,61.0,59.0,57.0,55.0,52.0,50.0,48.0,46.0,43.0,41.0,41.0,40.0,40.0,40.0,,,,
LBN,LEBANON,99.0,99.0,99.0,99.0,99.0,98.0,97.0,95.0,94.0,93.0,92.0,91.0,89.0,88.0,87.0,86.0,85.0,83.0,83.0,83.0,83.0,83.0,100.0,100.0,100.0,100.0
LBR,LIBERIA,76.0,75.0,74.0,73.0,72.0,71.0,70.0,69.0,69.0,68.0,67.0,66.0,65.0,64.0,63.0,62.0,62.0,61.0,61.0,61.0,61.0,62.0,,,,
LBY,LIBYA,,,,,,,,,,,,,,,71.0,71.0,71.0,71.0,71.0,71.0,71.0,71.0,71.0,71.0,71.0,71.0
LCA,SAINT LUCIA,96.0,96.0,96.0,96.0,96.0,96.0,96.0,95.0,95.0,95.0,95.0,95.0,95.0,95.0,94.0,94.0,94.0,94.0,94.0,94.0,93.0,93.0,93.0,93.0,93.0,93.0
LKA,SRI LANKA,96.0,96.0,95.0,93.0,92.0,91.0,90.0,89.0,88.0,87.0,85.0,84.0,83.0,82.0,81.0,80.0,79.0,77.0,76.0,75.0,74.0,73.0,72.0,71.0,70.0,68.0
LSO,LESOTHO,82.0,82.0,81.0,81.0,81.0,81.0,81.0,81.0,80.0,80.0,80.0,80.0,80.0,79.0,79.0,79.0,79.0,79.0,78.0,78.0,78.0,78.0,78.0,78.0,78.0,77.0
LTU,LITHUANIA,97.0,97.0,96.0,96.0,95.0,95.0,95.0,94.0,94.0,93.0,93.0,93.0,92.0,92.0,91.0,91.0,91.0,90.0,90.0,90.0,89.0,89.0,88.0,88.0,88.0,87.0
LUX,LUXEMBURG,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
LVA,LATVIA,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,98.0,98.0,98.0,98.0,98.0,98.0,98.0,98.0,98.0,98.0,98.0,98.0,98.0,98.0
MAR,MOROCCO,85.0,85.0,85.0,85.0,84.0,84.0,83.0,83.0,82.0,81.0,81.0,80.0,80.0,79.0,79.0,78.0,78.0,77.0,77.0,76.0,76.0,75.0,75.0,74.0,73.0,73.0
MCO,MONACO,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
MDA,"MOLDOVA, REPUBLIC OF",88.0,88.0,88.0,88.0,88.0,87.0,87.0,87.0,87.0,86.0,86.0,86.0,86.0,86.0,85.0,85.0,85.0,85.0,84.0,84.0,84.0,84.0,84.0,84.0,,
MDG,MADAGASCAR,52.0,51.0,50.0,49.0,48.0,47.0,46.0,45.0,44.0,43.0,42.0,41.0,40.0,40.0,39.0,38.0,37.0,36.0,36.0,35.0,34.0,33.0,32.0,31.0,30.0,30.0
MDV,MALDIVES,99.0,99.0,99.0,99.0,99.0,98.0,98.0,98.0,98.0,97.0,97.0,97.0,96.0,96.0,96.0,95.0,95.0,95.0,94.0,94.0,94.0,93.0,93.0,93.0,93.0,93.0
MEX,MEXICO,96.0,96.0,96.0,95.0,95.0,94.0,94.0,93.0,93.0,92.0,91.0,91.0,90.0,90.0,89.0,89.0,88.0,87.0,87.0,86.0,86.0,85.0,84.0,84.0,83.0,82.0
MHL,MARSHALL ISLANDS,95.0,95.0,95.0,95.0,94.0,94.0,94.0,94.0,94.0,94.0,94.0,94.0,94.0,93.0,93.0,93.0,93.0,93.0,93.0,93.0,93.0,92.0,92.0,92.0,92.0,92.0
