Country code,Country name,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000,1999,1998,1997,1996,1995,1994,1993,1992,1991,1990
BRA,BRAZIL,,0.6,,0.3,0.3,0.3,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.3,0.3,0.3,0.3,0.2
BRB,BARBADOS,,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.7,0.7,0.6,0.6,0.6,0.5,0.5,0.4
BTN,BHUTAN,,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
BWA,BOTSWANA,25.2,25.4,25.6,25.8,26.0,26.2,26.5,26.8,27.1,27.5,27.8,28.3,28.8,29.1,29.0,28.6,27.7,26.3,24.3,21.8,18.8,15.6,12.4,9.4,6.7
CAF,CENTRAL AFRICAN REPUBLIC,4.3,4.5,4.7,4.9,5.2,5.4,5.7,6.1,6.5,7.0,7.6,8.1,8.7,9.2,9.6,9.9,10.0,9.9,9.6,9.1,8.3,7.3,6.3,5.3,4.4
CAN,CANADA,,,,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2
CHE,SWITZERLAND,,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.2,0.2
CHL,CHILE,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2
CHN,CHINA,,,,0.1,,,,,,,,,,,,,,,,,,,,,
CIV,COTE D'IVOIRE,3.5,3.6,3.7,3.8,4.0,4.1,4.2,4.4,4.6,4.8,5.0,5.2,5.3,5.4,5.5,5.5,5.5,5.3,5.1,4.9,4.5,4.2,3.7,3.3,2.9
CMR,CAMEROON,4.8,4.9,4.9,5.0,5.1,5.1,5.2,5.2,5.3,5.3,5.4,5.5,5.5,5.5,5.5,5.4,5.3,5.1,4.9,4.6,4.2,3.8,3.4,3.0,2.6
COD,"CONGO, THE DRC",1.0,1.1,1.1,1.2,1.2,1.2,1.3,1.3,1.4,1.4,1.5,1.5,1.6,1.6,1.7,1.7,1.8,1.8,1.8,1.8,1.8,1.8,1.7,1.7,1.6
COG,CONGO,2.8,2.9,3.0,3.1,3.2,3.3,3.5,3.7,3.9,4.1,4.4,4.7,4.9,5.2,5.4,5.5,5.6,5.7,5.6,5.5,5.4,5.1,4.8,4.3,3.9
COL,COLOMBIA,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.4,0.4,0.3,0.2,0.2,0.1,0.1,0.1
COM,COMOROS,,,2.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
CPV,CAPE VERDE,1.1,1.1,1.0,1.0,1.0,1.0,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.8,0.8,0.8,0.7,0.7,0.6,0.6,0.5,0.4,0.4,0.3
CRI,COSTA RICA,0.3,0.3,0.3,0.3,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
CUB,CUBA,0.3,0.2,0.2,0.2,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
CYP,CYPRUS,,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
CZE,CZECH REPUBLIC,,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
DEU,GERMANY,,,0.2,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
DJI,DJIBOUTI,1.6,1.6,1.7,1.7,1.8,1.9,2.0,2.1,2.3,2.4,2.6,2.8,2.9,3.0,3.0,2.9,2.7,2.4,2.1,1.7,1.3,0.9,0.6,0.4,0.3
DNK,DENMARK,0.2,0.2,0.2,0.2,0.2,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
DOM,DOMINICAN REPUBLIC,1.0,1.1,1.1,1.2,1.2,1.3,1.4,1.4,1.5,1.6,1.7,1.8,1.9,1.9,2.0,1.9,1.9,1.8,1.6,1.4,1.2,1.0,0.8,0.6,0.5
DZA,ALGERIA,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
