Country code,Country name,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000,1999,1998,1997,1996,1995,1994,1993,1992,1991,1990,1989,1988,1987,1986,1985,1984,1983,1982,1981,1980,1979,1978
FIN,FINLAND,,,,0.0,,,0.0,,,0.0,,,,0.0,,,,,0.0,,,,0.0,,,,0.0,,,,,,,,,
FJI,FIJI,,,,,5.88,5.88,,,,,29.16,29.16,,,,,,,,,,,,,,,,,,,,,,,,
FRA,FRANCE,,,,,,,,,0.33,,,,,0.35,,,,,,0.35,,,,,1.68,,,,,3.0,,,,,,
FSM,"MICRONESIA, FEDERATED STATES OF",,,,,,,,,,,,,,31.15,,,,,,,,,,,,,,,,,,,,,,
GAB,GABON,,,,,,,,,6.09,,,,,,,,,,,,,,,,,,,,,,,,,,,
GBR,UNITED KINGDOM,,,,1.01,,,1.01,,,0.67,,,,,0.67,,,,1.35,0.67,,,0.68,,,,,,,,,,,,,
GEO,GEORGIA,,14.14,16.05,18.04,13.99,14.05,14.75,13.87,14.86,15.11,15.62,14.19,17.42,17.75,17.19,13.36,17.52,4.72,,,,,,,,,,,,,,,,,,
GHA,GHANA,,,,,,,,28.59,28.59,,,,,,,39.12,,,,,,51.07,51.07,,49.37,49.37,50.59,,,,,,,,,
GIN,GUINEA,,40.87,,,,,39.33,,,,56.32,,,,,,,,,63.81,,,93.74,,,,,,,,,,,,,
GMB,GAMBIA,,,,,,,,,,,33.63,,,,,65.61,,,,,,,,,,,,,,,,,,,,
GNB,GUINEA-BISSAU,,,,,,,,,,,,48.9,,,,,,,,,65.33,,41.31,,,,,,,,,,,,,
GRC,GREECE,,,,1.37,,,1.03,,,1.01,,,,0.68,,,,,1.67,,,,,,,,,,,,,,,,,
GTM,GUATEMALA,,,13.7,,,,,13.45,,16.47,17.97,19.91,,11.79,,16.23,,,,,,,,,28.36,,38.64,,,,,,,,,
GUY,GUYANA,,,,,,,,,,,,,,,,8.7,,,,,6.91,6.91,,,,,,,,,,,,,,
HND,HONDURAS,,,16.48,13.41,12.4,14.61,15.8,22.4,25.85,24.59,25.59,27.48,16.96,,24.84,24.4,19.45,28.48,26.18,24.21,20.97,26.86,33.04,46.91,41.06,,,12.99,,,,,,,,
HRV,CROATIA (LOCAL NAME: HRVATSKA),,,,,,0.0,,,,0.0,,,0.06,0.07,0.19,0.0,,,,,,,,,,0.04,,,,,,,,,,
HTI,HAITI,,,,,,,,,,,,,61.71,,,,,,,,,,,,,,,,,,,,,,,
HUN,HUNGARY,,,0.05,0.05,,0.03,0.17,0.13,0.0,0.13,0.0,0.0,0.0,0.0,0.02,0.0,,,,,0.15,,,,0.04,,0.05,,,,,,,,,
IDN,INDONESIA,,,16.2,18.04,20.42,22.71,24.2,28.63,21.55,,,29.39,,,47.7,,,43.38,,,54.4,,,54.27,,,68.16,,,62.84,,,,,,
IND,INDIA,,23.6294637885289,23.6294637885289,32.68,32.68,,,,41.64,41.64,,,,,,,,,,49.4,49.4,,,,,53.59,53.59,,,,55.51,,,,,65.89
IRL,IRELAND,,,,0.36,,,0.0,,,0.0,,,,0.37,,,,0.0,0.34,0.35,,,,,,,1.37,,,,,,,,,
IRN,IRAN (ISLAMIC REPUBLIC OF),,,,,,,,,1.45,,,,,,,1.26,,,,1.42,,,,3.85,,,,4.19,,,,,,,,
IRQ,IRAQ,,3.91,,,,,3.37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ISL,ICELAND,,,,0.0,,,0.36,,,0.33,,,,,,,,,,,,,,,,,,,,,,,,,,
ISR,ISRAEL,,,,0.39,,,0.33,,0.67,,,,0.33,,,,0.36,,,,,0.0,,,,,,0.0,,,,,,,0.0,
ITA,ITALY,,,,1.35,,1.01,,,,0.67,,,,1.34,,1.67,,,1.01,,1.0,,0.37,,0.34,,1.34,0.0,,,,,,,,
JAM,JAMAICA,,,,,,,,,,0.24,,0.31,37.33,,1.33,,,1.76,,,3.82,,,1.27,,3.97,,,,,,,,,,
JOR,JORDAN,,,,0.08,,0.07,,0.25,,,1.16,1.16,,,,,1.49,,,,,2.74,,,,,0.0,0.0,,,,,,,,
JPN,JAPAN,,,,,,0.35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KAZ,KAZAKHSTAN,,,,0.06,0.11,0.01,0.16,0.41,0.02,1.45,2.41,3.76,6.12,,,,,4.98,,,4.21,,,,,0.02,,,,,,,,,,
KEN,KENYA,,,,,,,,,43.37,,,,,,,,31.83,,,28.5,,38.42,,,,,,,,,,,,,,
KGZ,KYRGYZSTAN,,,5.11,6.02,5.63,5.5,1.9,13.38,19.91,10.99,24.71,29.74,32.58,36.81,,31.84,,,,,18.61,,,,,0.0,,,,,,,,,,
KHM,CAMBODIA,,,10.05,11.25,12.93,20.89,30.82,,,32.77,,,,,,,,,,44.5,,,,,,,,,,,,,,,,
LAO,LAOS ,,30.26,,,,33.88,35.1,,,,,41.22,,,,,47.53,,,,,55.68,,,,,,,,,,,,,,
LBR,LIBERIA,,,,,,,83.76,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LCA,SAINT LUCIA,,,,,,,,,,,,,,,,,,,20.96,,,,,,,,,,,,,,,,,
LKA,SRI LANKA,,,,4.11,4.11,,7.04,7.04,,,,13.95,,,,,,16.32,16.32,,,,15.01,15.01,,,,,19.96,,,,,,,
LSO,LESOTHO,,,,56.22,,,,,,,55.16,55.16,,,,,,,,55.9,67.03,,,,,,57.21,57.21,,,,,,,,
LTU,LITHUANIA,,,0.83,1.48,,0.05,,1.4,1.71,0.06,0.07,0.16,0.3,0.06,,0.12,,0.0,,,2.15,,,,,0.06,,,,,,,,,,
LVA,LATVIA,,,1.07,1.38,0.19,0.0,0.21,1.19,,0.11,0.36,0.41,,,,0.0,0.56,0.42,0.0,,0.0,,,,,0.02,,,,,,,,,,
MAR,MOROCCO,,,,,,,2.57,,,,,,6.27,,6.76,6.76,,,,,,,2.45,2.45,,,,,10.29,10.29,,,,,,
MDA,"MOLDOVA, REPUBLIC OF",,,0.23,0.42,0.78,1.07,1.01,2.17,12.49,6.67,6.25,14.96,25.01,,35.67,25.54,15.66,,,,,12.25,,,,15.86,,,,,,,,,,
MDG,MADAGASCAR,,,,87.67,,,,,82.43,,,,76.34,,82.37,,72.04,,,,67.07,,,,,,,,,,,,,94.64,,
MDV,MALDIVES,,,,,,,,,,1.48,,,,,,25.59,,,,,,,,,,,,,,,,,,,,
MEX,MEXICO,,1.03,,0.72,,1.15,,0.68,4.93,1.6,,3.9,,5.53,,8.62,,7.86,,3.56,,4.83,,,7.95,,,,,12.78,,,,,,
MKD,MACEDONIA,,,,0.6,0.0,0.28,,0.92,0.28,0.52,0.45,0.53,,4.17,,0.0,,,,,,,,,,,,,,,,,,,,
MLI,MALI,,,,50.61,,,,51.43,,,,,61.18,,,,,,,85.92,,,,,,,,,,,,,,,,
MNE,MONTENEGRO,,,0.21,0.0,0.0,0.09,0.37,0.14,0.25,,,,,,,,,,,,,,,,,,,,,,,,,,,
MOZ,MOZAMBIQUE,,,,,60.71,59.58,,,,,74.69,74.69,,,,,,80.59,,,,,,,,,,,,,,,,,,
MRT,MAURITANIA,,,,,,23.43,,,,25.41,,,,21.16,,,,23.4,23.4,,42.79,,,,,,41.32,,,,,,,,,
MUS,MAURITIUS,,0.43,,,,,,0.21,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MWI,MALAWI,,,,72.16,,,,,,74.95,,,,,,83.22,83.22,,,,,,,,,,,,,,,,,,,
MYS,MALAYSIA,,,,,0.0,,0.0,,,0.54,,,,,,,0.54,,2.09,,,1.63,,,1.92,,2.4,,,3.23,,,,,,
NAM,NAMIBIA,,,,23.54,23.54,,,,,31.91,,,,,,,,,,,49.14,,,,,,,,,,,,,,,
NER,NIGER,,,40.81,,,42.06,42.06,,51.25,,,,,,,,,,,78.17,,72.79,,,,,,,,,,,,,,
NGA,NIGERIA,,,,62.03,,,,,,61.84,,,,,,,,68.65,,,,61.9,,,,,,54.05,54.05,,,,,,,
NIC,NICARAGUA,,,,,8.54,,,,2.84,,,,14.37,,,12.51,,,,,32.73,,,,,,,,,,,,,,,
NLD,NETHERLANDS,,,,0.35,,,0.37,,,0.68,,,,,0.34,,,,,,1.02,,,1.34,,,1.34,,,,0.47,,,,,
NOR,NORWAY,,,,0.67,,,0.33,,,0.34,,,,0.34,,,,,0.36,,,,0.36,,,,,0.34,,,,,,,,
NPL,NEPAL,,,,23.74,,,,,,,53.13,,,,,,,67.97,67.97,,,,,,,,,,78.15,78.15,,,,,,
PAK,PAKISTAN,,,12.74,12.74,,17.15,17.15,22.58,22.58,22.59,,35.87,35.87,,29.05,29.05,48.14,48.14,,,,,64.71,64.71,,,66.46,,,,,,,,,
PAN,PANAMA,,3.99,3.55,3.82,2.99,4.73,7.2,10.18,9.49,9.92,10.67,11.07,15.36,13.82,12.66,14.77,14.57,,15.69,,,,20.89,,22.87,,,,,,,,,,7.98,
PER,PERU,,2.89,2.97,2.73,3.5,4.84,6.31,6.43,7.83,6.75,8.95,11.56,13.39,12.51,15.8,14.36,0.97,,,9.81,,,,,,,,11.34,11.34,,,,,,,
PHL,PHILIPPINES,,18.96,,,18.1,,,22.58,,,22.88,,,24.59,,,23.7,,,30.51,,,33.15,,,33.67,,,39.06,,,,,,,
PNG,PAPUA NEW GUINEA,,,,,,,,,,,,,,,,,,35.79,,,,,,,,,,,,,,,,,,
POL,POLAND,,,0.0,0.0,0.0,0.01,0.02,0.01,0.08,0.05,,0.02,0.05,0.05,0.04,0.0,,1.4,,,4.19,0.03,,,0.08,,0.1,,0.13,,,,,,,
PRY,PARAGUAY,,3.03,4.43,5.32,5.7,4.32,7.46,8.7,6.1,5.58,7.81,12.52,8.09,,9.35,9.6,9.6,,11.5,,,,,1.05,,,,,,,,,,,,
PSE,STATE OF PALESTINE,,,,,0.08,,0.92,,,0.23,,,,,,,,,,,,,,,,,,,,,,,,,,
ROU,ROMANIA,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.57,2.63,2.46,3.73,2.89,1.69,,,,4.97,,0.4,,,0.29,,,,,,,,,,,
RUS,RUSSIA,,,,,0.03,0.0,0.09,0.17,0.22,0.7,0.38,0.51,0.89,,2.72,,,2.81,,,1.5,,,,,0.51,,,,,,,,,,
RWA,RWANDA,,,63.02,,,,,71.97,,,,,,79.37,,,,,,,,,,,,,,,63.26,63.26,,,,,,
SDN,SUDAN,,,,,19.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SEN,SENEGAL,,,34.06,,,,,,33.5,,,,44.13,,,,,,,53.49,,,65.71,,,,,,,,,,,,,
SLE,SIERRA LEONE,,,56.63,,,,,,,,59.44,,,,,,,,,,,,,62.85,62.85,,,,,,,,,,,
SLV,EL SALVADOR,,2.53,2.82,5.17,4.24,4.82,2.85,4.27,7.11,8.02,13.4,14.68,14.4,13.67,13.73,17.38,,11.54,9.96,,,,17.07,,15.24,,,,,,,,,,,
SRB,SERBIA,,,,0.05,0.07,0.04,0.12,0.25,0.59,0.41,0.31,0.26,,,,,,,,,,,,,,,,,,,,,,,,
STP,SAO TOME AND PRINCIPE,,,,43.53,,,,,,,,,28.18,28.18,,,,,,,,,,,,,,,,,,,,,,
SUR,SURINAME,,,,,,,,,,,,,,,15.54,,,,,,,,,,,,,,,,,,,,,
SVK,SLOVAKIA (SLOVAK REPUBLIC),,,0.3,0.4,0.0,0.0,0.1,0.0,0.05,0.17,,,,,,,,0.18,,,,0.0,,,,0.0,,,,,,,,,,
SVN,SLOVENIA,,,0.0,0.01,,0.01,,0.05,0.08,0.06,0.0,0.05,,,,0.02,,,,,0.03,,,,,,0.02,,,,,,,,,
SWE,SWEDEN,,,,,,,,,0.35,,,,,0.34,,,,,0.34,,,0.33,,,,,0.35,,,,,,0.41,,,
SWZ,SWAZILAND,,,,39.3,39.3,,,,,,,,43.02,43.02,,,,,78.59,78.59,,,,,,,,,,,,,,,,
SYC,SEYCHELLES,,,,,,,0.25,0.25,,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,
SYR,SYRIAN ARAB REPUBLIC,,,,,,,,,,1.71,,,,,,,,,,,,,,,,,,,,,,,,,,
TCD,CHAD,,,36.52,,,,,,,,61.94,61.94,,,,,,,,,,,,,,,,,,,,,,,,
TGO,TOGO,,,52.46,,,,,53.15,,,,,,,,,,,,,,,,,,,,,,,,,,,,
THA,THAILAND,,,,0.31,0.37,0.32,,1.01,,,,1.64,,3.03,3.61,2.08,,2.86,,4.11,,8.6,,11.55,,17.25,,,,,,,21.96,,,
TJK,TAJIKISTAN,,,,,6.47,,12.18,,,20.7,35.42,,,,50.08,,,,,,,,,,,,,,,,,,,,,
TKM,TURKMENISTAN,,,,,,,,,,,,,,,,24.82,,,,,63.53,,,,,14.4,,,,,,,,,,
TLS,EAST TIMOR,,,,,,,34.87,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TTO,TRINIDAD AND TOBAGO,,,,,,,,,,,,,,,,,,,,,,4.16,,,,1.42,,,,,,,,,,
TUN,TUNISIA,,,,0.74,,,,,1.38,,,,,2.55,,,,,6.47,,,,,5.86,,,,,8.64,,,,,,,
TUR,TURKEY,,,0.08,0.59,0.36,0.1,0.95,1.35,1.45,1.41,2.87,1.15,,,,,,,,1.84,,,,,,,1.16,,,,,,,,,
TZA,"TANZANIA, UNITED REPUBLIC OF",,43.48,,,,,67.87,,,,,,,84.23,,,,,,,,71.98,,,,,,,,,,,,,,
UGA,UGANDA,37.78,37.78,,,37.91,,,51.72,51.72,,,56.57,,,59.43,,,63.01,,,,71.92,,,70.8,,,,,,,,,,,
UKR,UKRAINE,,,,0.0,0.06,0.0,0.06,0.14,0.05,0.04,0.11,0.42,,,2.03,,,1.93,1.96,,,0.03,,,,1.77,,,,,,,,,,
URY,URUGUAY,,0.31,0.25,0.2,0.27,0.26,0.48,0.73,1.31,1.19,0.95,0.79,0.61,0.48,,0.81,0.61,0.68,0.55,,,0.9,,,0.49,,,,,,,,0.0,,,
USA,UNITED STATES,,,,1.67,,,1.33,,,1.0,,,,0.67,,,1.0,,,0.67,,,0.67,,,,,0.68,,,,,,,,
VEN,VENEZUELA,,,,,,,,6.63,13.17,15.88,19.06,15.85,9.57,,11.41,9.88,,,9.56,,,4.4,,,6.31,,3.13,,,,,,3.27,,,
VNM,VIET NAM,,2.44,,3.93,,16.82,,21.44,,31.4,,40.07,,,,49.36,,,,,63.76,,,,,,,,,,,,,,,
YEM,YEMEN,,,,,,,,,9.78,,,,,,,10.47,,,,,,,,,,,,,,,,,,,,
ZAF,SOUTH AFRICA,,,9.42,,13.67,,,16.72,,,,,,26.2,,,,,21.43,,24.3,,,,,,,,,,,,,,,
ZMB,ZAMBIA,,,,74.32,,,,68.51,,64.29,64.6,,,,,55.67,,62.07,,,65.27,,61.05,,,,,,,,,,,,,
