Country code,Country name,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000,1999,1998,1997,1996,1995,1994,1993,1992,1991,1990,1989,1988,1987,1986,1985,1984,1983,1982,1981,1980,1979,1978,1977,1976,1975,1974,1973,1972,1971,1970
MDV,MALDIVES,,,,,,7.9,,,,,,,,3.6,,,6.8,,,,1.3,,,,,,,,,,,,,,,,,,,,,,,,
MEX,MEXICO,,,9.0,,,,,,8.4,,,,,,,7.9,,,,,,,,,,10.1,,,,,,,,,,,,,,,,,,,
MKD,MACEDONIA,,,,13.4,,,,,,16.6,8.2,,,,,10.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MLI,MALI,,,,,,,,,4.9,,,,,3.2,,,,,2.3,,,,,,,,,0.9,,,,,,,,,,,,,,,,,
MMR,MYANMAR (Burma) ,,,,,2.7,,,,,,,2.2,,,2.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MNE,MONTENEGRO,,24.7,,,,,,,18.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MNG,MONGOLIA,,,,,8.2,,,,,15.6,6.2,,,,13.2,8.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MOZ,MOZAMBIQUE,,,,8.1,,,4.1,,,,,7.3,,,,,,5.5,,,,,,,,,,,,,,,,,,,,,,,,,,,
MRT,MAURITANIA,,,1.1,2.9,,,1.3,2.4,,,,,,3.9,,,,,,,,,,,6.5,,,,,,,,,,,,,,,,,,,,
MWI,MALAWI,,,,,10.3,6.2,,,11.9,10.4,,,,,9.8,,,,,,,,10.2,,,,,,,,,,,,,,,,,,,,,,
NAM,NAMIBIA,,3.9,,,,,,4.9,,,,,,,3.7,,,,,,,,5.2,,,,,,,,,,,,,,,,,,,,,,
NER,NIGER,,,3.4,,,,,,3.6,,,,,,1.9,,0.8,,,,,,2.1,,,,,,,,,,,,,,,,,,,,,,
NGA,NIGERIA,1.8,4.8,,3.2,,,10.3,13.5,,,,6.5,,,,,,,,,,,,,3.2,,,,,,,,,,,,,,,,,,,,
NIC,NICARAGUA,,,,,,,,6.7,,6.7,,,,8.1,,,4.0,,,,,5.8,,,,,,,,,,,,,,,,,,,,,,,
NLD,NETHERLANDS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.5,,,,,,,,,,
NPL,NEPAL,,,,1.5,,,,,0.6,,,,,0.6,,,0.5,,1.3,,,,,,,,,,,,,,,,,,,,,0.4,,,,,
OMN,OMAN,,,,,,1.5,,,,,,,,,,1.7,,,,0.6,,,,,,,,,,,,,,,,,,,,,,,,,
PAK,PAKISTAN,,4.7,,6.6,,,,,,,,,,4.8,,,,,,,1.3,,,5.2,,,,,,,,,,,,,,,,,,,,,
PAN,PANAMA,,,,,,,,,,,,,,,,,,6.2,,,,,,,,,,,,,,,,,,,,,,,,,,,
PER,PERU,,,8.2,10.4,9.2,11.6,9.8,,,10.9,,,,,12.9,,,,10.9,,,,9.9,,,,,,,,,,,,,,,,,,,,,,
PHL,PHILIPPINES,,,,4.7,,,3.6,,,,,2.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PNG,PAPUA NEW GUINEA,,,,14.4,,,,,,4.2,,,,,,,,,,,,,,,,,,,,,,3.1,,,,,,,,,,,,,
PRK,"KOREA, D.P.R.O.",,,,,,0.0,,,,,,,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PRY,PARAGUAY,,,,,,,,,,,,,,,,,,,,,,,,,7.8,,,,,,,,,,,,,,,,,,,,
PSE,STATE OF PALESTINE,,,,,6.0,,,13.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ROU,ROMANIA,,,,,,,,,,,,,8.6,9.1,9.4,10.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RWA,RWANDA,,,,7.1,,,,,,7.2,,,,,7.5,,,,,,,,4.3,,,,,,,,,,,,,,,,,,,,,,
SAU,SAUDI ARABIA,,,,,,,,,,6.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SDN,SUDAN,,,,,,,,,5.1,,,,,,5.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SEN,SENEGAL,1.7,1.7,0.8,2.8,,,,,,3.0,,,,,3.1,,,,,,,4.1,,,,,,,1.0,,,,,,,,,,,,,,,,
SGP,SINGAPORE,,,,,,,,,,,,,,,3.1,,,,,,,,,,,,,,,,,,,,,,,0.7,,,,,,,
