Country code,Country name,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000,1999,1998,1997,1996,1995,1994,1993,1992,1991,1990,1989,1988,1987,1986,1985,1984,1983,1982,1981,1980
CAN,CANADA,42120.0,41270.0,40570.0,39280.0,38030.0,39500.0,38650.0,37220.0,35230.0,32860.0,31220.0,29850.0,29090.0,28310.0,26650.0,25210.0,24220.0,23030.0,22460.0,21560.0,20420.0,19620.0,19310.0,19290.0,18370.0,17590.0,16430.0,15460.0,14960.0,13980.0,12880.0,12120.0,11920.0,10730.0
CHE,SWITZERLAND,59610.0,57020.0,55100.0,54430.0,50950.0,47200.0,47760.0,46690.0,42500.0,40170.0,38860.0,37390.0,36780.0,36810.0,34430.0,33590.0,32360.0,30550.0,29730.0,28940.0,28440.0,27940.0,27710.0,27380.0,24540.0,22990.0,21510.0,20810.0,20320.0,19140.0,17860.0,17070.0,16550.0,14840.0
CHL,CHILE,21060.0,20270.0,19040.0,16900.0,15040.0,15090.0,14840.0,13590.0,11700.0,10880.0,10320.0,9940.0,9720.0,9320.0,8420.0,8530.0,8170.0,7590.0,6940.0,6130.0,5780.0,5280.0,4590.0,4140.0,3910.0,3400.0,3070.0,2740.0,2530.0,2380.0,2200.0,2250.0,2500.0,2240.0
CHN,CHINA,11850.0,10920.0,9940.0,9000.0,8110.0,7470.0,6690.0,5710.0,4920.0,4330.0,3840.0,3430.0,3100.0,2830.0,2570.0,2360.0,2200.0,1990.0,1790.0,1630.0,1420.0,1240.0,1070.0,970.0,750.0,700.0,620.0,550.0,500.0,440.0,370.0,320.0,280.0,250.0
CIV,COTE D'IVOIRE,3090.0,2880.0,2600.0,2730.0,2690.0,2640.0,2560.0,2490.0,2420.0,2330.0,2250.0,2250.0,2280.0,2250.0,2340.0,2340.0,2260.0,2130.0,1970.0,1850.0,1790.0,1810.0,1820.0,1780.0,1230.0,1260.0,1260.0,1290.0,1230.0,1230.0,1220.0,1320.0,1310.0,1220.0
CMR,CAMEROON,2770.0,2660.0,2580.0,2490.0,2460.0,2420.0,2360.0,2300.0,2190.0,2140.0,2030.0,1920.0,1840.0,1780.0,1750.0,1700.0,1620.0,1560.0,1500.0,1450.0,1440.0,1570.0,1620.0,1710.0,1570.0,1620.0,1730.0,1770.0,1640.0,1510.0,1370.0,1260.0,1090.0,810.0
COD,"CONGO, THE DRC",740.0,710.0,680.0,640.0,610.0,590.0,580.0,550.0,510.0,490.0,460.0,440.0,420.0,450.0,440.0,480.0,490.0,530.0,490.0,510.0,570.0,650.0,740.0,820.0,470.0,470.0,460.0,490.0,450.0,460.0,430.0,410.0,400.0,370.0
COG,CONGO,4600.0,4420.0,4140.0,4070.0,3690.0,3570.0,3180.0,3110.0,2940.0,2780.0,2910.0,2830.0,2670.0,2590.0,2390.0,2700.0,2500.0,2030.0,2000.0,2850.0,2850.0,3130.0,2930.0,2830.0,2140.0,2100.0,2420.0,2410.0,2400.0,2440.0,2200.0,2100.0,1660.0,1280.0
COL,COLOMBIA,11960.0,11360.0,10810.0,10150.0,9810.0,9680.0,9320.0,8640.0,7970.0,7500.0,7040.0,6800.0,6650.0,6520.0,6240.0,6530.0,6510.0,6300.0,6200.0,5870.0,5450.0,5250.0,4970.0,4760.0,3860.0,3710.0,3490.0,3320.0,3100.0,3010.0,2880.0,2800.0,2730.0,2510.0
COM,COMOROS,1490.0,1460.0,1420.0,1380.0,1360.0,1350.0,1340.0,1320.0,1280.0,1240.0,1210.0,1200.0,1190.0,1070.0,1050.0,1040.0,1050.0,1020.0,1040.0,1000.0,1070.0,1040.0,950.0,990.0,880.0,880.0,850.0,830.0,820.0,800.0,770.0,730.0,670.0,610.0
