Country code,Country name,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000,1999,1998,1997,1996,1995,1994,1993,1992,1991,1990,1989,1988,1987,1986,1985,1984,1983,1982,1981,1980
BEL,BELGIUM,,1.8443830220776E11,1.84032168700932E11,1.79227273443046E11,1.78238416831345E11,1.74753563471888E11,1.71862605525248E11,1.68980992294504E11,1.67198051599093E11,1.64461523338072E11,1.6315869947067E11,1.62312498955189E11,1.59973810061544E11,1.55923817683371E11,1.52839189354937E11,1.49003844627308E11,1.46094695523591E11,1.4323633416332E11,1.41011653948132E11,1.37681458559412E11,1.38310578131682E11,1.35706754946645E11,1.31748178622841E11,1.27586761102534E11,1.23438435924449E11,1.19353743568651E11,1.17345871277853E11,1.14198557970613E11,1.11192859457158E11,1.10779865796603E11,1.10968855403161E11,1.08239180369201E11,1.07863485147769E11
BEN,BENIN,,,7.43117016763507E9,7.21333622716298E9,7.0027816440982E9,6.75877421716326E9,6.58506052085344E9,6.41650510599719E9,6.26597806973425E9,6.24033684852008E9,5.94719195231242E9,5.6317937477936E9,5.34804289281161E9,5.07163053772857E9,4.815560496305E9,4.566683314309E9,4.34842122165152E9,4.11272502982512E9,3.9458986311062E9,4.1673142399854E9,3.95792849847624E9,3.73998885576585E9,3.4159471275477E9,3.61201637919559E9,3.89621128295736E9,3.4963260899566E9,3.57154972794832E9,3.62982478880906E9,3.26356840925566E9,3.0181356216306E9,3.06963793161242E9,3.47503667194618E9,3.18465708334597E9
BFA,BURKINA FASO,,9.97119250259177E9,9.25112813518367E9,9.2788367511287E9,9.79614818757415E9,8.87964421275303E9,8.83077052738647E9,8.57970920762475E9,7.98680203146966E9,7.70156953707471E9,7.0898375044055E9,6.7401837789623E9,6.74854204872533E9,6.73673069817462E9,5.76270418789584E9,5.08892217226044E9,4.96728368179316E9,4.19745908066347E9,3.58920270294447E9,4.48775181716573E9,4.20768532409672E9,4.17799001461182E9,3.96902672483238E9,4.09069429983392E9,4.16727963486861E9,3.94553611599075E9,4.16010635864152E9,3.64495321067263E9,3.48358918492959E9,3.72052210182752E9,3.70489764764907E9,3.64299030757362E9,3.49840442253489E9
BGD,BANGLADESH,1.54084388818921E11,1.4885393399726E11,1.40401457320668E11,1.33615478224438E11,1.26118819197686E11,1.19550219666251E11,1.12922070589644E11,1.08254133583129E11,1.04218702901025E11,1.0100456958146E11,9.75671847797986E10,9.30271843957288E10,8.8815240320766E10,8.53095277541268E10,8.42372207549681E10,8.33464686938273E10,7.9784350133704E10,7.98613070610088E10,7.69775452787522E10,7.42579781214054E10,7.18127392739338E10,6.9086790112238E10,6.93064303552472E10,6.43880050289638E10,6.38117860734449E10,6.14283807714818E10,5.97918359005937E10,5.81306171145749E10,5.7373317719406E10,5.35189081646561E10,5.21522342405113E10,5.38594200559205E10,5.30614301442315E10
BGR,BULGARIA,4.96332090968461E10,4.82943056850255E10,4.85657951245722E10,4.85102628505188E10,5.24803533699573E10,5.0750914962104E10,4.65554013098391E10,4.2869354528964E10,4.01622958087321E10,3.73002263929102E10,3.49262892194612E10,3.37183900917459E10,3.12540857355597E10,2.92146153380404E10,2.67530808004182E10,2.5906123661453E10,2.89225216124091E10,2.85729853368625E10,2.9426349471537E10,3.07807002840344E10,3.17000002925176E10,3.24795084964318E10,4.33348353620768E10,4.09993793170134E10,4.26262092912416E10,4.00020951616404E10,3.7839528903466E10,3.71325639594991E10,3.71728018598216E10,3.53503811352407E10,3.45529855317847E10,3.28204766123733E10,3.13989602564701E10
BHR,BAHRAIN,,,,,,,,5.82207281514352E9,,,,,,,,,,,,,,,,,,,,,,,,,
BHS,BAHAMAS,5.10625896525795E9,5.14358784909227E9,5.17886402444691E9,5.18147063838937E9,5.77627821827608E9,6.00577971501833E9,5.9315346612239E9,5.76149654504404E9,5.32408500371626E9,5.40560685476672E9,5.42421156178104E9,5.22597857145689E9,5.19020279509661E9,5.07398039593714E9,4.68254300801951E9,4.17777221806197E9,4.1316016057165E9,3.8817093045404E9,3.61729166652104E9,3.53968902545312E9,3.55064361867821E9,3.73724824377949E9,3.90627113401294E9,3.98768022777054E9,,,,,,,,,
BLR,BELARUS,,7.00831720236157E10,6.77132096846533E10,6.61908208061123E10,6.61906891619414E10,5.68984537101021E10,5.01886819601122E10,4.45312737128281E10,3.8843786476095E10,3.55059466845734E10,3.31235225625289E10,2.98302003470044E10,2.54293199770018E10,2.36050928142447E10,2.16371137851637E10,1.9106037640971E10,1.7232654339582E10,1.63602202323165E10,1.85186396598531E10,2.15292007969326E10,2.26378256303312E10,2.39505672447593E10,2.55438824906518E10,,,,,,,,,,
BLZ,BELIZE,,,,,1.08480287355843E9,1.10329198017445E9,1.06540344368107E9,1.09370658581286E9,1.11259720132709E9,1.11424538248857E9,1.07978341274846E9,1.01190831582553E9,9.38039808887306E8,8.70314546615426E8,8.02214721689481E8,7.51795385586725E8,7.34789128719689E8,7.17857813151719E8,6.92011311873087E8,7.41318898838641E8,7.15560428414191E8,6.87799735527999E8,5.8528766199254E8,5.79648748774834E8,5.28175823353026E8,4.33182236845056E8,3.43538394665049E8,3.79106767442018E8,3.92553336576956E8,4.50966435220312E8,4.9029407548457E8,4.42146616268348E8,5.63165834376965E8
BOL,BOLIVIA,2.75568432164923E10,2.5757934457015E10,2.44932099060004E10,2.35562357997812E10,2.27216367878458E10,2.15405853277612E10,2.06783638183044E10,1.98694354569184E10,1.92292241644045E10,1.86854772942891E10,1.83399675233019E10,1.79724904512042E10,1.77472353609535E10,1.73476917981777E10,1.68813609002567E10,1.60388065410305E10,1.52128988078828E10,1.47317762589128E10,1.43100537846361E10,1.39022143450954E10,1.34548516995763E10,1.29928831279263E10,1.25749690982509E10,1.21642110718272E10,1.19509137679721E10,1.18454828130144E10,1.14883481094569E10,1.09438660834843E10,1.05251369917909E10,1.05272862597094E10,1.10330120990547E10,1.1493497493529E10,1.14462683852647E10
BRA,BRAZIL,1.13378144237758E12,1.12917016937989E12,1.08475272729192E12,1.01431379933665E12,9.71181368896447E11,9.19070764969866E11,8.66452919603377E11,8.23658650123112E11,7.88439186145479E11,7.59424975782724E11,7.65359700629651E11,7.50903319592264E11,7.45813997145184E11,7.1690123507041E11,7.14212855438897E11,7.19403626173958E11,6.98217842033788E11,6.76321919877745E11,6.22638072413574E11,5.79505685200591E11,5.54346542847101E11,5.57947928316139E11,5.26758236369613E11,5.11816383021832E11,5.32526667957302E11,5.25553523984352E11,5.47018637932516E11,5.42366011136383E11,5.4914540031349E11,5.01585698304793E11,4.77061692995217E11,4.62065194161555E11,4.73113435885688E11
BRB,BARBADOS,,,,,,,,2.72427775847715E9,,,,,,,,,,,,,,,,,,,,,,,,,
BRN,BRUNEI DARUSSALAM,4.14384953829122E9,3.93776985379067E9,3.79845960824534E9,3.73131134634066E9,3.55402220599828E9,3.49265288818745E9,3.42408593433708E9,3.30096218730502E9,3.31972759881125E9,2.95712399182468E9,2.55343035921582E9,2.53546683065842E9,2.43295781406606E9,2.61577246594911E9,2.69248411321265E9,2.98512484166242E9,2.64323712978421E9,2.3733257783014E9,2.49170795000439E9,2.70195468694889E9,2.30513764740049E9,1.88369711613787E9,1.91589706684108E9,1.82782073109406E9,,,,,,,,,
BTN,BHUTAN,1.23929473262649E9,1.14362601768549E9,1.21513979125596E9,9.87236321762866E8,9.67722782821571E8,9.17707503329133E8,8.00236212643262E8,7.89966646242114E8,7.79828870920152E8,7.62506667181276E8,6.88676949325327E8,6.42125408186896E8,6.05796253096516E8,,,,,,,,,,,,,,,,,,,,
BWA,BOTSWANA,,,,,,,5.88788517681395E9,5.6601876402402E9,5.47707027895991E9,4.79825909929281E9,4.66851818785537E9,4.29890475710605E9,4.09658250829259E9,3.75021738197041E9,3.41366069206687E9,3.19958606313631E9,3.04288855517921E9,2.99372749635862E9,2.97858506095348E9,2.91014600474592E9,2.98018397611589E9,3.01889124233123E9,2.74534163912741E9,2.24296705446384E9,1.7921021280477E9,1.64449225024494E9,1.64132449050146E9,1.53501138301305E9,1.30925055446572E9,1.22036012556643E9,1.30755078094482E9,1.37341700487933E9,1.39999528175143E9
