Country code,Country name,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000,1999,1998,1997,1996,1995,1994,1993,1992,1991,1990,1989,1988,1987,1986,1985,1984,1983,1982,1981,1980,1979,1978,1977,1976,1975,1974,1973,1972,1971,1970,1969,1968,1967,1966,1965,1964,1963,1962,1961,1960,1959,1958,1957,1956,1955,1954,1953,1952,1951,1950
CAN,CANADA,50.0,11.0,20.0,0.0,18.0,2.0,6.0,1.0,4.0,10.0,7.0,45.0,12.0,17.0,19.0,293.0,48.0,10.0,4.0,36.0,33.0,43.0,51.0,8.0,64.0,2.0,27.0,30.0,268.0,0.0,0.0,84.0,13.0,43.0,73.0,83.0,0.0,21.0,43.0,32.0,,67.0,31.0,119.0,38.0,,,0.0,26.0,,219.0,33.0,0.0,,41.0,93.0,,39.0,3.0,120.0,501.0,19.0,,22.0
CHE,SWITZERLAND,0.0,39.0,0.0,0.0,0.0,,1.0,1.0,18.0,,1039.0,5.0,35.0,26.0,66.0,0.0,0.0,,0.0,0.0,2.0,,0.0,51.0,,0.0,1.0,0.0,13.0,6.0,0.0,0.0,,,,,0.0,0.0,13.0,,,13.0,28.0,30.0,,20.0,,,90.0,,,,,,,,,,,,,,92.0,
CHL,CHILE,15.0,9.0,22.0,674.0,24.0,19.0,39.0,38.0,61.0,3.0,0.0,19.0,28.0,16.0,0.0,,81.0,,33.0,20.0,115.0,0.0,171.0,28.0,21.0,0.0,237.0,129.0,180.0,127.0,4.0,0.0,,,30.0,4.0,15.0,,,32.0,,,85.0,,,0.0,,4.0,1084.0,4.0,280.0,,5.0,6570.0,,0.0,,,,,15.0,,,
CHN,CHINA,1649.0,1092.0,1375.0,7997.0,1136.0,89232.0,2220.0,3081.0,3108.0,2561.0,2752.0,3196.0,2315.0,2594.0,2828.0,5388.0,2661.0,6315.0,2886.0,4636.0,3050.0,1946.0,5927.0,1819.0,3909.0,4988.0,1365.0,924.0,2192.0,144.0,1702.0,707.0,2465.0,6491.0,113.0,100.0,,242000.0,10500.0,20000.0,,,,10407.0,3000.0,,,0.0,0.0,686.0,,,,,2002018.0,,560.0,4000.0,39.0,32050.0,,,4800.0,500.0
CIV,COTE D'IVOIRE,,36.0,94.0,18.0,27.0,50.0,69.0,50.0,40.0,49.0,,77.0,215.0,209.0,53.0,37.0,21.0,28.0,150.0,16.0,23.0,,16.0,,48.0,,51.0,,,,,,,0.0,,,41.0,,,,,,,120.0,,,,,,,,,,,,,,,,,,,,
CMR,CAMEROON,,25.0,713.0,299.0,145.0,76.0,191.0,190.0,98.0,46.0,139.0,,61.0,76.0,67.0,359.0,109.0,378.0,374.0,6.0,513.0,731.0,310.0,118.0,100.0,101.0,0.0,1746.0,,37.0,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,
COD,"CONGO, THE DRC",16.0,718.0,1049.0,552.0,672.0,491.0,584.0,381.0,387.0,1057.0,1197.0,2875.0,1144.0,196.0,44.0,1202.0,100.0,749.0,296.0,39.0,,46.0,500.0,67.0,86.0,,1021.0,,,,0.0,,,,,0.0,147.0,245.0,,,,,,,,154.0,,24.0,,,,,,,,,,,,,,,,
COG,CONGO,,342.0,65.0,273.0,,26.0,15.0,56.0,29.0,42.0,29.0,128.0,64.0,35.0,17.0,0.0,83.0,,,142.0,367.0,21.0,110.0,23.0,,,,,,,0.0,,,,,,,,,,,,,,,,154.0,,,,,,,35.0,,,,,,,,15.0,,
COK,COOK ISLANDS,,,,0.0,0.0,,,,0.0,,,,0.0,,,,19.0,,,,,0.0,,8.0,,,5.0,,,,,,0.0,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,
COL,COLOMBIA,0.0,114.0,368.0,702.0,83.0,178.0,375.0,150.0,395.0,143.0,103.0,252.0,163.0,153.0,1286.0,172.0,55.0,93.0,373.0,311.0,322.0,66.0,558.0,95.0,200.0,308.0,674.0,322.0,21839.0,0.0,427.0,144.0,242.0,205.0,701.0,,155.0,170.0,,390.0,225.0,70.0,251.0,837.0,0.0,0.0,61.0,1.0,32.0,,,247.0,,,184.0,84.0,,2700.0,,187.0,,,,150.0
