Country code,Country name,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000,1999,1998,1997,1996,1995,1994,1993,1992,1991,1990,1989,1988,1987,1986,1985,1984,1983,1982,1981,1980,1979,1978,1977,1976,1975,1974,1973,1972,1971,1970,1969,1968,1967,1966,1965,1964,1963,1962,1961,1960,1959,1958,1957,1956,1955,1954,1953,1952,1951,1950
SLV,EL SALVADOR,,,35.0,44.0,282.0,43.0,2.0,1.0,120.0,68.0,304.0,29.0,1159.0,87.0,53.0,475.0,4.0,12.0,78.0,0.0,22.0,2.0,155.0,33.0,10.0,55.0,,1137.0,,,,520.0,0.0,,,,,,,,,,,,14.0,,,,125.0,,,,,,,,,,,,,,1000.0,
SOM,SOMALIA,7.0,86.0,0.0,11.0,15.0,13.0,1180.0,258.0,227.0,416.0,1.0,194.0,163.0,688.0,48.0,481.0,2811.0,250.0,20.0,230.0,,50.0,130.0,,64.0,0.0,600.0,1307.0,1262.0,,0.0,,5.0,0.0,,,0.0,,,,19000.0,,,,0.0,,,,0.0,50.0,,,200.0,,,,,,,,,,,
SRB,SERBIA,0.0,25.0,,9.0,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SSD,SOUTH SUDAN,,47.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
STP,SAO TOME AND PRINCIPE,,,,,,20.0,13.0,,,,,,,,,,,,,,,,,,31.0,,,150.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SUR,SURINAME,,,,,,22.0,,3.0,,,,,10.0,,,,,,,,,,,,169.0,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,
SVK,SLOVAKIA (SLOVAK REPUBLIC),1.0,5.0,,126.0,32.0,,12.0,1.0,1.0,3.0,11.0,0.0,1.0,6.0,2.0,54.0,0.0,,11.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SVN,SLOVENIA,,0.0,,,,13.0,6.0,,0.0,1.0,289.0,,,,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SWE,SWEDEN,,,,,,,,,7.0,,,1.0,,,3.0,63.0,,,0.0,,,13.0,,0.0,16.0,,7.0,,11.0,,,,,,,,13.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
SWZ,SWAZILAND,,,,,,0.0,2.0,1.0,0.0,22.0,,,30.0,32.0,,,,80.0,,,,30.0,,0.0,,,,,,53.0,,,500.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SYC,SEYCHELLES,0.0,,,,,,,,0.0,3.0,,0.0,,,,,5.0,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SYR,SYRIAN ARAB REPUBLIC,,,25.0,,22.0,0.0,46.0,28.0,62.0,28.0,,113.0,54.0,10.0,62.0,37.0,,,0.0,46.0,,,,,,,,,,,,,,,,,88.0,,,0.0,,,,,,,0.0,,54.0,,,,,,,,,,,,,,,
TCA,TURKS AND CAICOS ISLANDS,,,,,85.0,4.0,,,,0.0,,,,,,43.0,,,,,,,,0.0,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TCD,CHAD,,108.0,557.0,263.0,108.0,22.0,29.0,72.0,129.0,174.0,11.0,,242.0,1209.0,0.0,0.0,239.0,94.0,2.0,,0.0,,1301.0,,,487.0,0.0,0.0,0.0,,,,,3000.0,,,13.0,,,,,,2312.0,,0.0,,,0.0,,,,,,,,,,,,,,,,
TGO,TOGO,,,36.0,96.0,19.0,12.0,71.0,0.0,,,40.0,95.0,235.0,,0.0,239.0,,360.0,3.0,0.0,,0.0,,,0.0,50.0,,,,,,,,0.0,,,,,,,,,0.0,,,,,0.0,150.0,,,,,,,,,,,,,,,
THA,THAILAND,71.0,12.0,935.0,260.0,98.0,71.0,213.0,280.0,113.0,8442.0,16.0,217.0,282.0,304.0,57.0,101.0,373.0,112.0,306.0,353.0,401.0,160.0,555.0,287.0,592.0,840.0,256.0,42.0,18.0,17.0,80.0,7.0,55.0,95.0,100.0,146.0,100.0,,239.0,,,,,,,0.0,,6.0,,,,769.0,,,,,,,500.0,,,,,
TJK,TAJIKISTAN,0.0,3.0,0.0,121.0,21.0,0.0,49.0,43.0,45.0,0.0,7.0,35.0,1.0,0.0,30.0,83.0,208.0,0.0,0.0,0.0,117.0,1601.0,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TKL,TOKELAU,,,,,,,,,0.0,,,,,,,,,,,,,,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,
TKM,TURKMENISTAN,,,15.0,,,,,,,,,,,11.0,,40.0,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TLS,EAST TIMOR,,,,,,,1.0,0.0,22.0,,3.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TON,TONGA,,,0.0,,84.0,,,,,0.0,,,0.0,,,0.0,0.0,,,,,,,1.0,,,,,,,,7.0,,,,,1.0,,,,3.0,,,,,,,,,,,,2.0,,,,,,,,,,,
TTO,TRINIDAD AND TOBAGO,,,,0.0,,,,,0.0,3.0,,,,,,0.0,0.0,0.0,,,5.0,,,0.0,,6.0,,,,,,,,,26.0,,,,,2.0,,,,,,,,,,,24.0,,,,,,,,,,,,,
TUN,TUNISIA,,,150.0,,110.0,20.0,16.0,17.0,,93.0,250.0,27.0,,13.0,,,,,,21.0,,,,57.0,,8.0,,23.0,,,,117.0,,,0.0,3.0,0.0,,,,111.0,,,,540.0,,,,,49.0,,40.0,,,,,13.0,,,,,,,
TUR,TURKEY,28.0,183.0,700.0,146.0,81.0,88.0,160.0,192.0,66.0,344.0,518.0,178.0,155.0,106.0,18021.0,330.0,111.0,46.0,293.0,244.0,266.0,1292.0,167.0,188.0,29.0,105.0,41.0,63.0,59.0,6.0,1486.0,,36.0,212.0,136.0,32.0,30.0,3913.0,2385.0,33.0,,30.0,935.0,1086.0,41.0,274.0,293.0,2408.0,461.0,42.0,95.0,97.0,,,,,175.0,138.0,,2000.0,1200.0,80.0,54.0,
TUV,TUVALU,,,0.0,,,,,,,,,,,18.0,,,,,,,0.0,,,0.0,,,0.0,,,0.0,,,,,,,,,,,,6.0,,,,,,,,,,,,,,,,,,,,,,
TZA,"TANZANIA, UNITED REPUBLIC OF",47.0,154.0,319.0,66.0,169.0,104.0,220.0,255.0,25.0,21.0,89.0,506.0,111.0,135.0,201.0,2617.0,2546.0,902.0,3.0,83.0,54.0,24.0,687.0,389.0,30.0,0.0,90.0,0.0,10.0,33.0,183.0,0.0,,12.0,0.0,0.0,500.0,,,25.0,,,,,,40.0,0.0,,,4.0,,,,,,,,,,,,,,
UGA,UGANDA,51.0,203.0,69.0,501.0,28.0,126.0,232.0,286.0,65.0,154.0,176.0,281.0,69.0,439.0,302.0,30.0,120.0,70.0,,91.0,30.0,124.0,100.0,220.0,156.0,0.0,171.0,27.0,,,,3.0,,,0.0,,,,,,,,,,,,0.0,104.0,,,,,,,,,,,,,,,,
UKR,UKRAINE,,209.0,54.0,67.0,40.0,135.0,147.0,184.0,814.0,66.0,17.0,136.0,84.0,90.0,49.0,109.0,27.0,30.0,204.0,122.0,9.0,57.0,32.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
URY,URUGUAY,,,,16.0,12.0,,2.0,,18.0,0.0,0.0,2.0,0.0,7.0,14.0,1.0,75.0,,,,0.0,20.0,0.0,,,,,0.0,,,,,,,,,,,,,,,8.0,,,,8.0,,,,,,,,,,,,,,,,,
USA,UNITED STATES,117.0,318.0,833.0,157.0,221.0,370.0,382.0,415.0,2072.0,240.0,413.0,507.0,517.0,280.0,844.0,366.0,345.0,764.0,920.0,546.0,714.0,155.0,302.0,430.0,603.0,85.0,535.0,200.0,387.0,1145.0,332.0,667.0,86.0,1482.0,214.0,599.0,552.0,432.0,246.0,386.0,214.0,1315.0,248.0,134.0,830.0,159.0,275.0,552.0,577.0,450.0,442.0,158.0,162.0,111.0,99.0,232.0,541.0,325.0,546.0,326.0,489.0,295.0,205.0,415.0
UZB,UZBEKISTAN,,,13.0,,,8.0,,15.0,0.0,37.0,,,,0.0,36.0,135.0,,,,,,10.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VCT,SAINT VINCENT AND THE GRENADINES,,,0.0,0.0,,,,,0.0,0.0,,4.0,,,0.0,,,,,,,3.0,,,,,0.0,0.0,,,,,,0.0,2.0,,0.0,,,,,,0.0,,,,2.0,,,,,,,,,,,,122.0,,,,,
VEN,VENEZUELA,16.0,48.0,31.0,65.0,18.0,79.0,29.0,0.0,323.0,81.0,37.0,54.0,37.0,15.0,30043.0,29.0,99.0,30.0,0.0,74.0,171.0,67.0,160.0,99.0,37.0,77.0,215.0,3.0,38.0,,,150.0,180.0,0.0,,,,,,,,,1.0,,155.0,,240.0,,,,,30.0,,,,,,22.0,,,,,,100.0
VGB,VIRGIN ISLANDS (BRITISH),,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VIR,VIRGIN ISLANDS (U.S.),,,,,,,,,,0.0,,,,,3.0,0.0,,,7.0,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VNM,VIET NAM,70.0,107.0,201.0,285.0,410.0,436.0,448.0,598.0,418.0,281.0,206.0,212.0,462.0,649.0,893.0,722.0,3779.0,1086.0,313.0,361.0,379.0,345.0,820.0,384.0,1181.0,207.0,123.0,600.0,891.0,188.0,734.0,70.0,177.0,402.0,,74.0,0.0,,172.0,,100.0,,112.0,237.0,,,3.0,31.0,,7998.0,,,,,,,,56.0,,,1000.0,,,
VUT,VANUATU,,,0.0,,0.0,0.0,,0.0,0.0,2.0,,0.0,2.0,,44.0,0.0,100.0,,,0.0,4.0,2.0,,0.0,,1.0,48.0,,9.0,,,,0.0,,0.0,,0.0,,0.0,,,4.0,,,,,,,,,,,,,0.0,,,,,,,,100.0,
WLF,WALLIS AND FUTUNA ISLANDS,,0.0,,,,,,,,,,,,,,,,,,,5.0,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,
WSM,SAMOA,,12.0,,,143.0,,,,9.0,1.0,,,0.0,,,,,,,,,,13.0,8.0,0.0,,,,,,0.0,,,,,,,,,,,,,,,0.0,,10.0,,250.0,,,,,,,,,,,,,,
YEM,YEMEN,76.0,15.0,279.0,83.0,158.0,133.0,293.0,40.0,87.0,41.0,153.0,53.0,98.0,46.0,10.0,250.0,,383.0,131.0,,31.0,147.0,10.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ZAF,SOUTH AFRICA,57.0,100.0,156.0,139.0,94.0,244.0,198.0,140.0,112.0,63.0,143.0,262.0,206.0,418.0,306.0,181.0,81.0,203.0,341.0,294.0,120.0,75.0,45.0,59.0,181.0,113.0,758.0,245.0,,64.0,83.0,17.0,104.0,0.0,,38.0,4.0,,,26.0,,,,,26.0,0.0,,,90.0,0.0,,,,417.0,51.0,,,,,,,35.0,,
ZMB,ZAMBIA,53.0,47.0,89.0,9.0,118.0,194.0,34.0,5.0,132.0,2.0,252.0,,129.0,163.0,480.0,0.0,,116.0,0.0,,,0.0,0.0,114.0,0.0,,400.0,0.0,,,0.0,51.0,0.0,,0.0,11.0,,,,,,,,89.0,,,,,,,,,,,,,,,,,,,,
ZWE,ZIMBABWE,125.0,15.0,119.0,26.0,117.0,4290.0,140.0,51.0,119.0,21.0,138.0,78.0,13.0,210.0,67.0,98.0,,1311.0,35.0,,,258.0,87.0,0.0,111.0,,,,,,31.0,60.0,0.0,,,,,,11.0,,,,,,,,,,,,,,,,,,,,,,,,,
