Country code,Country name,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000,1999,1998,1997,1996,1995,1994,1993,1992,1991,1990,1989,1988,1987,1986,1985,1984,1983,1982,1981,1980,1979,1978,1977,1976,1975,1974,1973,1972,1971,1970,1969,1968,1967,1966,1965,1964,1963,1962,1961,1960
CMR,CAMEROON,5768541.0,5483216.0,5212117.0,4954528.0,4709770.0,4477200.0,4256207.0,4046208.0,3846654.0,3657020.0,3477052.0,3305551.0,3142795.0,2988118.0,2841310.0,2701399.0,2568611.0,2442403.0,2322606.0,2208426.0,2100050.0,1997035.0,1899246.0,1806033.0,1717551.0,1633439.0,1553586.0,1477464.0,1396683.0,1317718.0,1243381.0,1173110.0,1106955.0,1044584.0,985857.0,930329.0,878044.0,828738.0,782304.0,724534.0,667447.0,614906.0,566610.0,522030.0,481051.0,443323.0,407594.0,374629.0,344423.0,316700.0,291286.0,275248.0,260113.0,243525.0,228067.0
COD,"CONGO, THE DRC",1.8945982E7,1.8266604E7,1.7615469E7,1.6991393E7,1.6393238E7,1.5819921E7,1.5270399E7,1.4743659E7,1.4238768E7,1.3754808E7,1.3290903E7,1.2846193E7,1.2420461E7,1.2012317E7,1.1621549E7,1.1245873E7,1.0886192E7,1.0508679E7,1.0120295E7,9750024.0,9398468.0,9035021.0,8660573.0,8302136.0,7960406.0,7634100.0,7322905.0,7024856.0,6713686.0,6416752.0,6133764.0,5833813.0,5550010.0,5281053.0,5026461.0,4736473.0,4463956.0,4207485.0,3966415.0,3738883.0,3525005.0,3323667.0,3134370.0,2955652.0,2787613.0,2617944.0,2458870.0,2307841.0,2162999.0,2028645.0,1904100.0,1788107.0,1680458.0,1580344.0,1491787.0
COG,CONGO,1826886.0,1749361.0,1690862.0,1632557.0,1574151.0,1509237.0,1445191.0,1383864.0,1325139.0,1268906.0,1215132.0,1163498.0,1114124.0,1066846.0,1021635.0,978223.0,936712.0,896962.0,858950.0,830327.0,803255.0,777065.0,751764.0,727220.0,703509.0,680572.0,658412.0,636916.0,616150.0,596061.0,569120.0,535499.0,503907.0,474179.0,446242.0,419881.0,395110.0,371800.0,349895.0,329225.0,309803.0,290626.0,272112.0,254732.0,238483.0,223270.0,209047.0,195695.0,183212.0,171525.0,160599.0,150341.0,140751.0,131867.0,123643.0
COL,COLOMBIA,2.0259405E7,1.9756515E7,1.9266501E7,1.8789023E7,1.8323753E7,1.7870368E7,1.7429163E7,1.699803E7,1.6578477E7,1.6169615E7,1.5744733E7,1.5329957E7,1.4926796E7,1.4534373E7,1.4152918E7,1.3780592E7,1.3418679E7,1.3066395E7,1.2723943E7,1.2389679E7,1.2064751E7,1.175033E7,1.1448737E7,1.1154407E7,1.0868347E7,1.0589931E7,1.0319314E7,1.0055188E7,9798459.0,9541690.0,9275828.0,9016766.0,8765373.0,8521078.0,8284001.0,8052977.0,7828781.0,7610906.0,7399461.0,7193403.0,6993427.0,6749305.0,6411152.0,6089359.0,5784398.0,5494964.0,5220626.0,4959515.0,4712020.0,4477083.0,4252232.0,3987790.0,3740464.0,3508800.0,3292079.0
CRI,COSTA RICA,1170188.0,1159505.0,1149891.0,1140356.0,1130901.0,1121524.0,1112224.0,1103014.0,1093856.0,1084786.0,1075791.0,1066883.0,1058024.0,1049251.0,1040551.0,1031934.0,998537.0,965936.0,934400.0,903935.0,874383.0,845835.0,818220.0,791543.0,765665.0,740667.0,716486.0,693125.0,670465.0,648576.0,627401.0,606945.0,585653.0,565050.0,545173.0,526020.0,507491.0,489638.0,472413.0,455817.0,439760.0,424290.0,409364.0,391984.0,374861.0,358509.0,342870.0,327933.0,313608.0,299928.0,286844.0,274348.0,262364.0,251001.0,240155.0
CUB,CUBA,2146128.0,2150763.0,2155408.0,2160076.0,2164747.0,2169428.0,2174113.0,2178822.0,2183534.0,2188256.0,2192981.0,2197730.0,2200288.0,2193102.0,2185949.0,2178800.0,2171684.0,2164591.0,2157531.0,2150475.0,2143452.0,2136451.0,2129483.0,2122518.0,2108381.0,2087244.0,2066348.0,2045604.0,2025096.0,2004794.0,1984723.0,1964799.0,1945101.0,1926775.0,1913377.0,1900036.0,1886807.0,1873669.0,1860641.0,1847668.0,1834803.0,1822027.0,1809358.0,1796743.0,1779491.0,1741668.0,1704701.0,1668419.0,1632957.0,1598250.0,1564326.0,1531032.0,1498491.0,1466641.0,1435511.0
CZE,CZECH REPUBLIC,1302883.0,1292340.0,1281883.0,1271510.0,1261221.0,1251015.0,1240906.0,1230850.0,1220890.0,1211011.0,1201224.0,1191491.0,1181849.0,1172285.0,1172049.0,1176499.0,1180960.0,1185438.0,1189927.0,1194445.0,1198974.0,1203520.0,1208077.0,1212664.0,1212070.0,1208943.0,1205828.0,1202712.0,1199608.0,1196513.0,1193430.0,1190346.0,1187275.0,1184211.0,1178553.0,1167793.0,1157146.0,1146595.0,1136156.0,1125783.0,1115519.0,1105348.0,1095284.0,1085284.0,1076230.0,1068406.0,1060651.0,1052930.0,1045276.0,1037678.0,1030146.0,1022647.0,1015213.0,1007834.0,1000830.0
DEU,GERMANY,7822685.0,7771665.0,7721036.0,7670795.0,7621007.0,7571599.0,7522633.0,7473486.0,7415161.0,7361593.0,7338962.0,7330437.0,7318274.0,7293731.0,7259533.0,7249421.0,7275566.0,7328811.0,7367007.0,7383559.0,7391398.0,7384058.0,7336044.0,7284512.0,7228538.0,7146814.0,7018943.0,7076750.0,6856896.0,6832878.0,6850568.0,6894482.0,6935033.0,6962105.0,6976821.0,6991768.0,7007045.0,7022675.0,7038629.0,7054977.0,7071651.0,7088671.0,7106011.0,7123747.0,7141802.0,7125165.0,7105358.0,7086016.0,7067211.0,7048908.0,7031118.0,7013766.0,6996913.0,6980524.0,6919572.0
DNK,DENMARK,1254808.0,1238666.0,1222732.0,1206959.0,1192357.0,1178851.0,1165516.0,1152295.0,1139475.0,1127024.0,1114726.0,1102529.0,1090481.0,1082059.0,1077131.0,1072211.0,1067321.0,1062331.0,1055625.0,1048351.0,1042122.0,1038026.0,1036008.0,1035100.0,1035290.0,1036500.0,1040126.0,1045180.0,1050252.0,1056487.0,1063876.0,1071338.0,1078841.0,1086397.0,1096133.0,1108120.0,1120221.0,1132454.0,1144804.0,1171666.0,1213758.0,1257362.0,1302468.0,1349325.0,1380022.0,1379513.0,1379006.0,1378498.0,1377990.0,1373068.0,1354433.0,1336000.0,1317844.0,1299934.0,1284407.0
DOM,DOMINICAN REPUBLIC,2872818.0,2802343.0,2733596.0,2666536.0,2601121.0,2537311.0,2475151.0,2414349.0,2355121.0,2297346.0,2241064.0,2186012.0,2127946.0,2061307.0,1996842.0,1934224.0,1873651.0,1814975.0,1758214.0,1703079.0,1649745.0,1603496.0,1576043.0,1548987.0,1522431.0,1496331.0,1470713.0,1445465.0,1420684.0,1396328.0,1372422.0,1348861.0,1325737.0,1280183.0,1209802.0,1143111.0,1080181.0,1020716.0,964599.0,911425.0,861250.0,813837.0,769094.0,726698.0,686692.0,646791.0,607487.0,570473.0,535761.0,503160.0,472585.0,443790.0,416786.0,391425.0,367328.0
