Country code,Country name,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000,1999,1998,1997,1996,1995,1994,1993,1992,1991,1990,1989,1988,1987,1986,1985,1984,1983,1982,1981,1980
PER,PERU,4.91,,4.9,,4.9,5.5,6.2,7.9,7.2,8.6,,,,,12.4,,,,,,,,,,,,,,,,,,,,
PHL,PHILIPPINES,18.42,,18.4,,,18.4,,,22.6,,,,,,22.5,,,,,,,,,,,,,,,,,,,,
POL,POLAND,,,0.1,,,0.1,0.1,0.1,0.1,0.1,,,,,0.1,,,,,,,,,,,,,,,,,,,,
PRY,PARAGUAY,,,7.2,,7.2,7.6,5.6,8.8,10.9,7.2,,,,,,,,,,,,,,,1.0,,,,,,,,,,
PSE,STATE OF PALESTINE,0.04,,0.0,,,0.0,,0.4,,,,,,,,,,,,,,,,,,,,,,,,,,,
ROU,ROMANIA,,,0.4,,,0.4,0.5,0.8,1.0,1.2,,,,,3.7,,,,,,,,,,,,,,,,,,,,
RUS,RUSSIA,,,0.0,,,0.0,0.0,0.0,0.1,0.2,,,,,,,,,,,,,,,,,,,,,,,,,
RWA,RWANDA,63.17,,63.2,63.2,,,,,72.1,,,,,,74.6,,,,,,,,,,,,,,,,,,,,
SDN,SUDAN,,,19.8,,,19.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SEN,SENEGAL,29.61,,33.5,,,,,,,33.5,,,,,,,,,,,,,,,,,,,,,,,,,
SLE,SIERRA LEONE,51.71,,53.4,,,,,,,,,,,,,,,,,,,,,,62.8,,,,,,,,,,
SLV,EL SALVADOR,,,9.0,,,9.0,5.4,6.6,5.3,11.6,,,,,,,,,,,,,,,,,,,,,,,,,
SRB,SERBIA,0.21,,0.3,,,0.3,0.1,0.2,0.3,0.0,,,,,,,,,,,,,,,,,,,,,,,,,
SVK,SLOVAKIA (SLOVAK REPUBLIC),,,0.1,,,0.1,0.1,0.1,0.1,0.2,,,,,,,,,,,,,,,,,,,,,,,,,
SVN,SLOVENIA,,,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SWZ,SWAZILAND,40.63,,40.6,,40.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SYC,SEYCHELLES,,,0.3,,,,,0.3,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,
SYR,SYRIAN ARAB REPUBLIC,1.71,,1.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TCD,CHAD,,,61.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TGO,TOGO,28.22,,38.7,,,,,,38.7,,,,,,,,,,,,,,,,,,,,,,,,,,
THA,THAILAND,0.38,,0.4,,,0.4,0.4,,1.0,,,,,,3.0,,,,,,,,,,11.6,,,,,,,,,,
TJK,TAJIKISTAN,6.56,,6.6,,,6.6,,14.7,,,,,,,,,,,,,,,,,,,,,,,,,,,
TLS,EAST TIMOR,,,37.4,,,,,37.4,,,,,,,,,,,,,,,,,,,,,,,,,,,
TUN,TUNISIA,,,1.4,,,,,,,1.4,,,,,2.6,,,,,,,,,,5.9,,,,,,,,,,
TUR,TURKEY,,,0.0,,,,0.0,1.1,1.5,2.0,,,,,,,,,,,,,,,,,,,,,,,,,
TZA,"TANZANIA, UNITED REPUBLIC OF",67.87,,67.9,,,,,67.9,,,,,,,84.6,,,,,,,,,,,,,,,,,,,,
UGA,UGANDA,38.01,,38.0,,,38.0,,,51.5,,,,,,,,,,,,,,,,,,,,,,,,,,
UKR,UKRAINE,0.02,,0.1,,,0.1,0.0,0.1,0.1,0.1,,,,,,,,,,,,,,,,,,,,,,,,,
URY,URUGUAY,,,0.2,,0.2,0.3,0.3,0.5,0.7,1.4,,,,,0.5,,,,,,,,,,,,,,,,,,,,
VEN,VENEZUELA,,,6.6,,,,,,6.6,13.4,,,,,,,,,,,,,,,,,,,,,,,,,
VNM,VIET NAM,16.85,,16.9,,,,16.9,,21.4,,,,,,,,,,,,,,,,,,,,,,,,,,
YEM,YEMEN,17.53,,17.5,,,,,,,17.5,,,,,,,,,,,,,,,,,,,,,,,,,
ZAF,SOUTH AFRICA,13.77,,13.8,,,13.8,,,17.4,,,,,,26.2,,,,,,,,,,,,,,,,,,,,
ZMB,ZAMBIA,74.45,,68.5,,,,,,68.5,,,,,,,,,,,,,,,,,,,,,,,,,,
