Country code,Country name,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000,1999,1998,1997,1996,1995,1994,1993,1992,1991,1990,1989,1988,1987,1986,1985,1984,1983,1982,1981,1980,1979,1978,1977,1976,1975,1974,1973,1972,1971,1970
THA,THAILAND,,,11.6,,,,,,7.2,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,
TJK,TAJIKISTAN,,,6.3,,,4.0,,,,6.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TLS,EAST TIMOR,,,,,5.7,,,,,,,,6.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TTO,TRINIDAD AND TOBAGO,,,,,,,,,,,,,,,6.2,,,,,,,,,,,,,3.8,,,,,,,,,,,,,,,,,
TUN,TUNISIA,,,13.7,,,,,,9.2,,,,,,,,,,,24.9,,,,,,,4.2,,,,,,,,,,,,,1.9,,,,,
TUR,TURKEY,9.9,,,,,,,,,,7.5,,,,,,3.5,,,,,4.2,,,,,,,,,,,,,,,,,,,,,,,
TZA,"TANZANIA, UNITED REPUBLIC OF",,,,,5.0,,,,,4.3,,,,,,1.8,,,4.2,,,,5.6,,,,,,,,,,,,,,,,,,,,,,
UGA,UGANDA,,,,3.1,,,,,4.7,,,,,4.5,,,,,,4.6,,,,,,3.7,,,,,,,,,,,,,,,,,,,
UKR,UKRAINE,,,,,,,,,,,,,,,25.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
URY,URUGUAY,,,,7.6,,,,7.2,,,8.6,11.0,9.8,,,8.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USA,UNITED STATES,,,6.9,,6.4,,,,8.7,,8.1,,6.9,,,,,,,,5.1,,,,,,,,,,,,,,,,,,,,,,,,
UZB,UZBEKISTAN,,,,,,,,,12.5,,,,10.7,,,,,,18.8,,,,,,,,,,,,,,,,,,,,,,,,,,
VNM,VIET NAM,,,,3.8,,,2.5,2.5,2.6,2.3,2.2,1.9,2.3,,2.3,1.6,,,,,,2.5,,,,,,,,,,,,,,,,,,,,,,,
VUT,VANUATU,,,,,,,,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
YEM,YEMEN,,,,1.6,,,,,,,,5.3,,,,,,3.8,,,,,10.8,,,,,,,,,,,,,,,,,,,,,,
ZAF,SOUTH AFRICA,,,,,,,,,,17.7,17.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ZMB,ZAMBIA,,,,,,,,8.2,,,,,5.4,,,12.9,,6.0,,,,,4.2,,,,,,,,,,,,,,,,,,,,,,
ZWE,ZIMBABWE,,,,5.0,,2.7,,,8.7,,,,,,,10.2,,,,,7.6,,,,,,3.9,,,,,,,,,,,,,,,,,,
