Country code,Country name,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000,1999,1998,1997,1996,1995,1994,1993,1992,1991,1990,1989,1988,1987,1986,1985,1984,1983,1982,1981,1980
EGY,EGYPT,5401.0,5403.0,5433.0,5368.0,5259.0,4999.0,4737.0,4480.0,,,,,4182.0,,,,,,,,,,3157.0,,,,,,,,,,2241.0
ERI,ERITREA,531.0,509.0,487.0,492.0,488.0,555.0,562.0,590.0,,,,,575.0,,,,,,,,,,,,,,,,,,,,
ESP,SPAIN,25947.0,26426.0,26575.0,26481.0,27595.0,27864.0,27571.0,27000.0,,,,,24941.0,,,,,,,,,,19603.0,,,,,,,,,,15196.0
EST,ESTONIA,17402.0,16980.0,15788.0,15782.0,17930.0,18347.0,17301.0,15920.0,,,,,11137.0,,,,,,,,,,10181.0,,,,,,,,,,
ETH,ETHIOPIA,1017.0,974.0,928.0,866.0,811.0,753.0,688.0,630.0,,,,,519.0,,,,,,,,,,540.0,,,,,,,,,,
FIN,FINLAND,32510.0,32607.0,32019.0,30993.0,33618.0,33513.0,32238.0,30850.0,,,,,27126.0,,,,,,,,,,22484.0,,,,,,,,,,17604.0
FJI,FIJI,4087.0,4026.0,4019.0,4183.0,4200.0,4208.0,4204.0,4390.0,,,,,3968.0,,,,,,,,,,3309.0,,,,,,,,,,3393.0
FRA,FRANCE,30277.0,30378.0,30050.0,29700.0,30804.0,30997.0,30510.0,29910.0,,,,,28611.0,,,,,,,,,,24218.0,,,,,,,,,,20345.0
FSM,"MICRONESIA, FEDERATED STATES OF",3352.0,3162.0,3128.0,3100.0,3029.0,3174.0,3228.0,3200.0,,,,,3117.0,,,,,,,,,,,,,,,,,,,,
GAB,GABON,12521.0,11972.0,11776.0,11721.0,11725.0,11665.0,11082.0,11580.0,,,,,11216.0,,,,,,,,,,13403.0,,,,,,,,,,15331.0
GBR,UNITED KINGDOM,32538.0,32882.0,32616.0,32475.0,34456.0,34796.0,33594.0,33290.0,,,,,29001.0,,,,,,,,,,22039.0,,,,,,,,,,17169.0
GEO,GEORGIA,5005.0,4727.0,4460.0,4284.0,4476.0,4425.0,4001.0,3650.0,,,,,2604.0,,,,,,,,,,6134.0,,,,,,,,,,6849.0
GHA,GHANA,1684.0,1596.0,1451.0,1394.0,1225.0,1130.0,1075.0,1190.0,,,,,1037.0,,,,,,,,,,886.0,,,,,,,,,,984.0
GIN,GUINEA,941.0,921.0,892.0,875.0,884.0,885.0,862.0,870.0,,,,,643.0,,,,,,,,,,609.0,,,,,,,,,,
GMB,GAMBIA,1731.0,1807.0,1766.0,1695.0,1640.0,1563.0,1492.0,1490.0,,,,,1522.0,,,,,,,,,,1412.0,,,,,,,,,,1613.0
GNB,GUINEA-BISSAU,1042.0,1096.0,1063.0,1039.0,1022.0,1026.0,1007.0,1000.0,,,,,1082.0,,,,,,,,,,1149.0,,,,,,,,,,859.0
GNQ,EQUATORIAL GUINEA,21715.0,21146.0,19804.0,23660.0,19297.0,15289.0,13272.0,12600.0,,,,,6121.0,,,,,,,,,,1869.0,,,,,,,,,,
GRC,GREECE,20511.0,21840.0,23548.0,24551.0,25258.0,25519.0,25039.0,23990.0,,,,,20396.0,,,,,,,,,,17691.0,,,,,,,,,,17543.0
GRD,GRENADA,9257.0,9235.0,9100.0,9050.0,9911.0,9810.0,9407.0,9620.0,,,,,8510.0,,,,,,,,,,6037.0,,,,,,,,,,
GTM,GUATEMALA,4235.0,4210.0,4172.0,4156.0,4265.0,4227.0,4078.0,3990.0,,,,,3911.0,,,,,,,,,,3268.0,,,,,,,,,,3854.0
GUY,GUYANA,3387.0,3277.0,3117.0,2953.0,2865.0,2777.0,2577.0,2470.0,,,,,2311.0,,,,,,,,,,1080.0,,,,,,,,,,1906.0
HKG,HONG KONG,45598.0,45160.0,42591.0,40393.0,42591.0,41057.0,38643.0,35720.0,,,,,29984.0,,,,,,,,,,23066.0,,,,,,,,,,13809.0
