Country code,Country name,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000,1999,1998,1997,1996,1995,1994,1993,1992,1991,1990
HTI,HAITI,4.2,4.2,4.2,4.2,11.1,4.1,4.1,4.1,4.1,3.6,3.6,3.6,3.6,3.6,,3.6,3.6,3.6,3.6,,,,,,,
HUN,HUNGARY,10.1,9.4,8.8,8.8,9.1,11.1,11.1,11.1,10.4,9.1,9.1,9.8,9.8,8.3,8.3,8.3,8.3,11.4,11.4,,,,,,,20.7
IDN,INDONESIA,17.1,18.6,18.6,18.2,18.0,18.0,11.6,11.6,11.3,11.3,11.3,8.0,8.0,8.0,8.0,,11.4,11.4,12.6,,,,,,,12.4
IND,INDIA,12.0,11.4,11.0,11.0,10.8,10.8,9.1,9.1,8.3,8.3,8.3,8.8,8.8,8.8,9.0,9.0,8.1,7.2,7.2,,,,,,,5.0
IRL,IRELAND,16.3,15.7,15.1,15.1,13.9,13.9,13.3,13.3,13.3,13.3,13.3,13.3,13.3,12.0,12.0,12.0,12.0,12.0,13.9,,,,,,,7.8
IRN,IRAN (ISLAMIC REPUBLIC OF),3.1,3.1,3.1,2.8,2.8,2.8,2.8,4.1,4.1,4.1,4.1,4.1,4.1,3.4,3.4,4.9,4.9,4.9,4.0,,,,,,,1.5
IRQ,IRAQ,26.5,25.2,25.2,25.2,25.2,25.5,25.5,25.5,25.5,25.5,,,7.6,7.6,7.6,6.4,6.4,6.4,,,,,,,,10.8
ISL,ICELAND,41.3,39.7,39.7,39.7,42.9,42.9,33.3,33.3,33.3,33.3,30.2,30.2,34.9,34.9,34.9,34.9,25.4,25.4,25.4,,,,,,,20.6
ISR,ISRAEL,22.5,22.5,21.7,20.0,19.2,19.2,14.2,14.2,14.2,15.0,15.0,15.0,15.0,13.3,12.5,11.7,7.5,7.5,7.5,,,,,,,6.7
ITA,ITALY,31.0,31.4,21.4,21.6,21.3,21.3,21.3,17.3,17.3,11.5,11.5,11.5,11.5,9.8,11.1,11.1,11.1,11.1,11.1,,,,,,,12.9
JAM,JAMAICA,12.7,12.7,12.7,12.7,13.3,13.3,13.3,13.3,11.7,11.7,11.7,11.7,11.7,13.3,13.3,13.3,13.6,11.7,11.7,,,,,,,5.0
JOR,JORDAN,12.0,12.0,12.0,10.8,10.8,6.4,6.4,6.4,5.5,5.5,5.5,5.5,1.3,1.3,0.0,0.0,0.0,0.0,1.3,,,,,,,0.0
