Country code,Country name,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000,1999,1998,1997,1996,1995,1994,1993,1992,1991,1990,1989,1988,1987,1986,1985,1984,1983,1982,1981,1980,1979,1978,1977,1976,1975,1974,1973,1972,1971,1970,1969,1968,1967,1966
ERI,ERITREA,,,,,50.3,,,,,,,,43.7,,,,,,44.4,,,69.6,,,,,,,,,,,,,,,,,,,,,,,,,,,
ETH,ETHIOPIA,40.4,,,44.2,,,,,,50.7,,,,,57.4,,,,,,,,68.1,,,,,,,,,,,,,,,,,,,,,,,,,,
FJI,FIJI,,,,,,,,,,,7.5,,,,,,,,,,,4.3,,,,,,,,,,,,,,,,,,,,,,,,,,,
GAB,GABON,,,17.5,,,,,,,,,,,26.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GBR,UNITED KINGDOM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.9,,,,,,,,,,,,,
GEO,GEORGIA,,,,,,11.3,,,,14.7,,,,,,16.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GHA,GHANA,18.8,,,22.7,,,28.6,,28.1,,,35.6,,,,31.3,,,,,33.5,,,,,,34.7,,,,,,,,,,,,,,,,,,,,,,
GIN,GUINEA,,,31.3,,,,40.0,,,39.3,,,,,46.9,34.3,,,,35.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GMB,GAMBIA,,,,,23.4,,,,27.6,,,,,,24.1,,,,36.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GNB,GUINEA-BISSAU,27.6,,,,32.2,,27.7,,47.7,,,,,,36.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GNQ,EQUATORIAL GUINEA,,,,,26.2,,,,,,35.0,,,,42.6,,,38.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GTM,GUATEMALA,,,,,,48.0,,,,,,,54.3,,50.0,53.1,,,,55.4,,,,,,,,62.1,,,,,,,,,,,,,,,,,,,,,
GUY,GUYANA,12.0,,,,,19.5,,18.2,,,,,,,13.8,,,14.0,,,,,,,,,,,,,,,,26.4,,,,,,,,,,29.6,,,,,
HND,HONDURAS,,,22.7,,,,,,29.9,,,,,34.5,,,,,43.3,,45.7,,42.5,,,,,43.3,,,,,,,,,,,,,,,,,,,,,
HRV,CROATIA (LOCAL NAME: HRVATSKA),,,,,,,,,,,,,,,,,,,1.4,1.6,1.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HTI,HAITI,,,21.9,,,,,,29.7,,,,,,28.3,,,,,37.2,,,,,40.1,,,,,,,,,,,,45.7,,,,,,,,,,,,
HUN,HUNGARY,,,,,,,,,,,,,,,,,,,,,,,,,,,3.3,,,,,,,,,,,,,,,,,,,,,,
IDN,INDONESIA,,36.4,,,39.2,,,40.1,,,28.6,,,41.6,42.4,,,,,48.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IND,INDIA,,,,,,,,,47.9,,,,,,,51.0,,48.5,,,,57.1,65.4,,66.2,,,,,,,,,,,75.1,,,,,,,,,,,,,
IRN,IRAN (ISLAMIC REPUBLIC OF),,,,,,,,,,,7.1,,,,,,20.4,,,24.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IRQ,IRAQ,,,,22.6,,,,,27.5,,20.0,33.7,,,28.3,,,,,,,,,27.6,,,,,,,,,,,,,,,,,,,,,,,,,
ITA,ITALY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.3,,,,,,,,,,,
JAM,JAMAICA,,,5.7,,4.8,,5.2,3.8,5.6,,4.5,,6.6,6.4,6.6,6.3,8.3,8.6,11.1,9.5,11.9,13.5,14.7,9.1,,12.4,,,,,,,,,,,16.6,,,,,,,,,,,,
JOR,JORDAN,,,7.8,,,8.3,,,,,,,12.0,,,,,11.1,,,,,,,20.5,,,,,,,,,,,,,,,,,,,,,,,,
JPN,JAPAN,,,,,7.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.3,,,,,,,,,,,,,,,
KAZ,KAZAKHSTAN,,,,13.1,,,,,17.5,,,,,,,13.9,,,,19.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KEN,KENYA,26.0,,,,,35.2,,,40.9,,,35.8,,,41.0,,37.0,,,,39.8,40.2,,,,38.4,,,,,,,44.3,,,41.6,,,,,,,,,,,,,
KGZ,KYRGYZSTAN,12.9,,17.8,,,22.6,,,18.1,,,,,,,,,32.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KHM,CAMBODIA,32.4,,,40.9,,,39.5,,43.7,,,,,,49.2,,,,58.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KIR,KIRIBATI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,34.4,,,,,,,,,,,,,,,,,,,
KOR,"KOREA, REPUBLIC OF",,,,2.5,,,,,,,,2.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KWT,KUWAIT,5.8,4.8,4.3,4.0,4.1,3.8,5.1,5.1,4.6,4.5,4.1,3.9,3.6,4.0,,,,5.0,,14.9,,,,,,,,,,,16.7,,,,,,,,,,,,,,,,,,
LAO,LAOS ,,,43.8,,,,,,47.6,,,,,,48.2,,,,,,52.9,53.6,,,,,,,,,,,,,,,,,,,,,,,,,,,
LBN,LEBANON,,,,,,,,,,,16.5,,,,,,,,17.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LBR,LIBERIA,,32.1,,,,,,39.4,,,,,,,45.3,,,,,,,,,,,,,,,,,,,,,,,,43.1,,,,,,,,,,
LBY,LIBYA,,,,,,,,21.0,,,,,,,,,,,,21.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LCA,SAINT LUCIA,,,2.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.0,,,,,,,,,,
LKA,SRI LANKA,,,14.7,,,19.2,,17.3,,,,,,,18.4,,,,,26.1,,29.7,,,,,,31.2,,,,,,,,,50.4,,,,,,,,,,,,
LSO,LESOTHO,33.2,,,,39.0,,,,,45.2,,,,,53.0,,,,,,,37.5,39.2,,,,,,,,,,,,,,,,47.4,,,,,,,,,,
MAR,MOROCCO,,,,14.9,,,,,,,23.1,,,,,,,29.0,,,,,29.9,,,,,34.5,,,,,,,,,,,,,,,,,,,,,
MDA,"MOLDOVA, REPUBLIC OF",,,6.4,,,,,,,11.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MDG,MADAGASCAR,,,,,,49.2,,,,,52.8,,,,,,,55.5,,55.2,54.1,,60.9,,,,,,,,40.0,,,,,,,,,,,,,,,,,,
MDV,MALDIVES,,,,,,20.3,,,,,,,,31.9,,,46.7,,,33.0,36.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MEX,MEXICO,,,13.6,,,,,,15.5,,,,,,,21.7,,,40.1,,,,,,,40.4,28.7,,,,,,,,,,,,,,,,,,,,,,
MKD,MACEDONIA,,,,4.9,,,,,,11.5,1.2,,,,,8.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MLI,MALI,,,,,,,,,38.5,,,,,42.7,,,,,54.1,,,,,,,,,32.5,,,,,,,,,,,,,,,,,,,,,
MMR,MYANMAR (Burma) ,,,,,35.1,,,,,,,40.6,,,40.8,,,47.6,,,50.4,,,46.0,,,,,,55.1,,,,,,,,,,,,,,,,,,,
MNE,MONTENEGRO,,9.4,,,,,,,7.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MNG,MONGOLIA,,10.8,,,15.6,,,,,27.5,23.5,,,,29.8,30.1,,,,,,,32.5,,,,,,,,,,,,,,,,,,,,,,,,,,
MOZ,MOZAMBIQUE,,,,43.1,,,43.7,,,,,47.0,,49.6,,,,45.3,,59.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MRT,MAURITANIA,,,22.0,29.7,,,23.0,28.9,,,,,,39.5,,,,,49.8,,,,,,54.8,,40.2,,,,,,,,,,,,,,,,,,,,,,
MUS,MAURITIUS,,,,,,,,,,,,,,,,,,,,13.6,,,,,,,,,,27.3,,,,,,,,,,,,,,,,,,,
MWI,MALAWI,,,,,47.8,48.8,,,53.2,52.5,,,,,54.6,,63.6,,,53.8,,,55.8,,,,,,,,,,61.1,61.2,,,,,,,,,,,,,,,
MYS,MALAYSIA,,,,,,,,,17.2,,,,,,,20.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NAM,NAMIBIA,,23.1,,,,,,29.6,,,,,,,29.5,,,,,,,,35.7,,,,,,,,,,,,,,,,,,,,,,,,,,
NER,NIGER,,,43.0,,,,,,54.8,,,,,,54.2,,47.0,,,,,,48.3,,,,,,,43.8,,,,,,,,,,,,,,,,,,,
NGA,NIGERIA,32.9,36.4,,36.0,,,41.0,42.8,,,,43.0,,,,39.7,,,,,,43.8,,,50.5,,,,,,,,,,,,,,,,,,,,,,,,
NIC,NICARAGUA,,,,,,,,23.0,,18.8,,,,25.2,,,28.3,,,,,29.6,,,,,,,,,,,27.5,,,,,,,,,,,,,,,,
NLD,NETHERLANDS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.8,,,,,,,,,,,,,,
NPL,NEPAL,,,,40.5,,,,,49.3,,,,,57.1,,,61.1,,56.6,64.5,,,,,,,,,,,,,,,,,,,,75.0,,,,,,,,,
NRU,NAURU,,,,,,,,24.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OMN,OMAN,,,,,,9.8,,,,,,,,,,12.9,,,,21.4,,,,26.4,,,,,,,,,,,,,,,,,,,,,,,,,
PAK,PAKISTAN,,45.0,,43.0,,,,,,,,,,41.5,,,,,,,42.7,,,54.5,,,,62.5,,,,,,,,,,70.5,,,,,,,,,,,
PAN,PANAMA,,,,,,,19.1,,,,,22.2,,,,,,21.5,,,,,,,,,,,,,,,,,24.3,,,,,,,,,,,,,,
PER,PERU,,,18.4,19.6,23.3,23.9,28.2,,,29.8,,,,,31.3,,,,31.6,,,,37.3,,,,,,,,43.9,,,,,,,,,,,,,,,,,,
PHL,PHILIPPINES,,,,33.6,,,32.3,,,,,33.8,,,,,38.3,,,,,38.9,40.9,,43.3,,,44.7,,,,,48.7,,,,,,,60.2,,,,,,,,,
PNG,PAPUA NEW GUINEA,,,,49.5,,,,,,43.9,,,,,,,,,,,,,,,,,,,,,,50.2,,,,,,,,,,,,,,,,,
PRK,"KOREA, D.P.R.O.",,,27.9,,,32.4,,,,,43.1,,44.7,,51.0,,63.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PRY,PARAGUAY,,,,,,,,,,17.5,,,,,,,,,,,,,,,18.3,,,,,,,,,,,,,,,,,,,,,,,,
PSE,STATE OF PALESTINE,7.4,,,,10.9,,,11.8,,,,,16.1,,,,,,10.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
QAT,QATAR,,,,,,,,,,,,,,,,,,,,11.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ROU,ROMANIA,,,,,,,,,,,,,12.8,14.0,12.8,15.3,,,,,,,,11.2,,,,,,,,,,,,,,,,,,,,,,,,,
RWA,RWANDA,,,,44.3,,,,,,51.7,,,,,48.3,,,,47.8,,,,56.8,,,,,,,,,,,,,,,,42.8,,,,,,,,,,
SAU,SAUDI ARABIA,,,,,,,,,,9.3,,,,,,,,,,,21.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SDN,SUDAN,38.2,,,,,,,,38.3,,,,,,47.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SEN,SENEGAL,19.4,19.2,15.5,28.7,,,,,,20.1,,,,,29.5,,,,28.8,,,33.7,35.3,,,,,,27.9,,,,,,,,,,,,,,,,,,,,
SGP,SINGAPORE,,,,,,,,,,,,,,,4.4,,,,,,,,,,,,,,,,,,,,,,,10.7,,,,,,,,,,,
SLB,SOLOMON ISLANDS,,,,,,,,32.8,,,,,,,,,,,,,,,,,,33.7,,,,,,,,,,,,,,,,,,,31.3,,,,
SLE,SIERRA LEONE,,37.9,,,32.6,,37.4,,,46.9,,,,,38.4,,,,,,,,,,40.9,41.4,,,,,,,,,,,48.7,,,40.3,,,,,,,,,
SLV,EL SALVADOR,,,,,,,20.6,,,,,24.6,,,,,32.3,,,,,29.5,,,,,36.7,,,,,,,,,,,,,56.2,,,,,,,,,
SOM,SOMALIA,,,,,,25.3,,,42.1,,,,,,29.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SRB,SERBIA,6.0,,,,6.6,,,,8.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SSD,SOUTH SUDAN,,,,,31.1,,,,36.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
STP,SAO TOME AND PRINCIPE,,,,,,31.6,,,28.9,,,,,,35.2,,,,,,,,,,,,,,32.0,,,,,,,,,,,,,,,,,,,,
SUR,SURINAME,,,,,8.8,,,,10.7,,,,,,14.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SWZ,SWAZILAND,,,,,31.0,,40.4,29.5,,,,,,,36.6,,,,,,,,,,,,,,,,36.5,,,,,,,,,,,,,,,,,,
SYC,SEYCHELLES,,,7.9,,,,,,,,,,,,,,,,,,,,,,,,7.7,,,,,,,,,,,,,,,,,,,,,,
SYR,SYRIAN ARAB REPUBLIC,,,,,,27.5,,,28.6,,,,,31.1,24.3,,,,,26.5,,32.9,,,,,,,,,,,,,,,,,,,,,,,,,,,
TCD,CHAD,,,,,38.7,,,,,,44.8,,,,39.3,,,45.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TGO,TOGO,,,,,29.8,,26.9,,27.8,,,,,,,,29.8,,40.2,,,,,,,,39.8,,,,,,,,,,,39.9,,,,,,,,,,,
THA,THAILAND,,,16.3,,,,,,15.7,,,,,,,,,,,18.1,,21.1,,,,,,25.3,,,,,,,,,,,,,,,,,,,,,
TJK,TAJIKISTAN,,,26.8,,,28.8,,39.2,,33.1,,42.4,37.1,43.2,42.1,41.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TKM,TURKMENISTAN,,,,,,,,,,,,,,,28.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TLS,EAST TIMOR,,,,,57.7,,53.9,,,,,54.8,55.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TON,TONGA,,,8.1,,,,,,,,,,,,,,,,,,,,,,,,,,2.2,,,,,,,,,,,,,,,,,,,,
TTO,TRINIDAD AND TOBAGO,,,,,,,,,,,,,,,5.3,,,,,,,,,,,,,5.7,,,,,,,,,,,16.9,,,,,,,,,,
TUN,TUNISIA,,,10.1,,,,,,9.0,,,,,,16.8,,,11.9,,30.9,,,,,,,20.3,,,,,,,,,,,,,41.8,,,,,,,,,
TUR,TURKEY,9.5,,,,,,12.3,,,,15.6,,,,,,19.1,,,,,24.1,,,,,,,,,,,,,,,,,,,,,,,,,,,
TUV,TUVALU,,,,,,,,10.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TZA,"TANZANIA, UNITED REPUBLIC OF",,,,34.8,42.5,43.0,,,,44.4,,,,,,48.3,,,49.7,,,,49.7,,,,,,,,,,,,,,,,,,,,,,,,,,
UGA,UGANDA,,,,33.7,,,,,38.7,,,,,44.8,,,,,,45.0,,,,,,47.6,,,,,,,,,,,,,,,,,,,,,,,
UKR,UKRAINE,,,,,,,,,,,,,4.3,,22.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
URY,URUGUAY,,,,11.7,,,,11.8,,,13.9,17.2,14.7,,,13.9,,,,,,,,,,,,21.0,,,,,,,,,,,,,,,,,,,,,
USA,UNITED STATES,,,2.1,,2.7,,,,3.2,,3.9,,3.3,,,,,,,,3.2,,,,,,,,,,,,,,,,,,,3.7,,,,,,,,,
UZB,UZBEKISTAN,,,,,,,,,19.6,,,,25.3,,,,,,39.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VEN,VENEZUELA,,,,,,13.4,14.6,15.6,16.2,16.2,17.1,17.7,17.6,17.3,17.4,18.3,19.2,19.9,19.3,18.9,17.9,17.4,18.3,18.2,18.6,,,7.0,,,,,9.4,,,,,,,,,,,,,,,,
VNM,VIET NAM,,19.4,,23.3,,,30.5,32.2,31.8,33.2,33.7,35.4,37.5,,43.4,44.8,42.1,,,,52.5,61.4,,,,61.3,,,,,64.1,,,,,,,,,,,,,,,,,,
VUT,VANUATU,,28.5,,,,,,25.9,,,,,,,,,,,25.7,,,,,,,,,,,,,24.6,,,,,,,,,,,,,,,,,
WSM,SAMOA,,,,,,,,,,,,,,,,6.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
YEM,YEMEN,,,,46.6,,,,,,,,57.7,,,,,,59.3,50.4,,,,52.4,,,,,,,,,,,,,,,,,,,,,,,,,,
ZAF,SOUTH AFRICA,,,,,,,23.9,,,32.8,32.8,,,,,30.9,,,,28.7,31.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ZMB,ZAMBIA,,,,,,,,45.8,,,,,52.5,,,57.9,,48.6,,58.1,,,46.4,,,,,,,,,,,,,,,,,,,,,,,,,,
ZWE,ZIMBABWE,27.6,,,32.3,,35.1,,,35.8,,,,,,,33.7,,,,,28.9,,,,,,31.0,,,,,,,,,,,,,,,,,,,,,,
