Country code,Country name,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000,1999,1998,1997,1996,1995,1994,1993,1992,1991,1990,1989,1988,1987,1986,1985,1984,1983,1982,1981,1980,1979,1978,1977,1976,1975,1974,1973,1972,1971,1970,1969,1968,1967,1966,1965,1964,1963,1962,1961,1960
BLZ,BELIZE,204.6736,207.647,209.4648,211.2826,213.1004,214.9182,216.736,222.7404,228.7448,234.7492,240.7536,246.758,249.4144,252.0708,254.7272,257.3836,260.04,248.4208,236.8016,225.1824,213.5632,201.944,194.0656,186.1872,178.3088,170.4304,162.552,163.5528,164.5536,165.5544,166.5552,167.556,169.6642,171.7724,173.8806,175.9888,178.097,179.3756,180.6542,181.9328,183.2114,184.49,190.096,195.702,201.308,206.914,212.52,219.8148,227.1096,234.4044,241.6992,248.994,255.8152,262.6364
BOL,BOLIVIA,230.201,232.337,235.5728,238.8086,242.0444,245.2802,248.516,251.4406,254.3652,257.2898,260.2144,263.139,265.9308,268.7226,271.5144,274.3062,277.098,280.0664,283.0348,286.0032,288.9716,291.94,294.383,296.826,299.269,301.712,304.155,307.7966,311.4382,315.0798,318.7214,322.363,326.4914,330.6198,334.7482,338.8766,343.005,346.8638,350.7226,354.5814,358.4402,362.299,366.2084,370.1178,374.0272,377.9366,381.846,385.6152,389.3844,393.1536,396.9228,400.692,404.3342,407.9764
BRA,BRAZIL,213.9116,217.068,219.6712,222.2744,224.8776,227.4808,230.084,234.3748,238.6656,242.9564,247.2472,251.538,254.6214,257.7048,260.7882,263.8716,266.955,270.2888,273.6226,276.9564,280.2902,283.624,285.616,287.608,289.6,291.592,293.584,295.0412,296.4984,297.9556,299.4128,300.87,293.2994,285.7288,278.1582,270.5876,263.017,265.3788,267.7406,270.1024,272.4642,274.826,278.8186,282.8112,286.8038,290.7964,294.789,299.5816,304.3742,309.1668,313.9594,318.752,324.6354,330.5188
BRB,BARBADOS,126.3454,128.516,130.6328,132.7496,134.8664,136.9832,139.1,141.4024,143.7048,146.0072,148.3096,150.612,153.111,155.61,158.109,160.608,163.107,165.818,168.529,171.24,173.951,176.662,179.601,182.54,185.479,188.418,191.357,194.5404,197.7238,200.9072,204.0906,207.274,210.719,214.164,217.609,221.054,224.499,228.222,231.945,235.668,239.391,243.114,247.1312,251.1484,255.1656,259.1828,263.2,267.527,271.854,276.181,280.508,284.835,289.4856,294.1362
BRN,BRUNEI DARUSSALAM,88.0068,90.458,92.9922,95.5264,98.0606,100.5948,103.129,105.3522,107.5754,109.7986,112.0218,114.245,116.698,119.151,121.604,124.057,126.51,129.2128,131.9156,134.6184,137.3212,140.024,142.9984,145.9728,148.9472,151.9216,154.896,158.164,161.432,164.7,167.968,171.236,174.8202,178.4044,181.9886,185.5728,189.157,193.08,197.003,200.926,204.849,208.772,213.0556,217.3392,221.6228,225.9064,230.19,234.8548,239.5196,244.1844,248.8492,253.514,258.4912,263.4684
BTN,BHUTAN,215.94,219.006,222.2894,225.5728,228.8562,232.1396,235.423,242.9376,250.4522,257.9668,265.4814,272.996,280.9636,288.9312,296.8988,304.8664,312.834,321.3222,329.8104,338.2986,346.7868,355.275,363.8318,372.3886,380.9454,389.5022,398.059,405.9774,413.8958,421.8142,429.7326,437.651,445.7452,453.8394,461.9336,470.0278,478.122,487.5876,497.0532,506.5188,515.9844,525.45,533.9308,542.4116,550.8924,559.3732,567.854,572.6992,577.5444,582.3896,587.2348,592.08,597.089,602.098
BWA,BOTSWANA,698.5854,710.164,711.2786,712.3932,713.5078,714.6224,715.737,705.236,694.735,684.234,673.733,663.232,637.6098,611.9876,586.3654,560.7432,535.121,500.4524,465.7838,431.1152,396.4466,361.778,343.999,326.22,308.441,290.662,272.883,273.7914,274.6998,275.6082,276.5166,277.425,282.6196,287.8142,293.0088,298.2034,303.398,310.1512,316.9044,323.6576,330.4108,337.164,343.7222,350.2804,356.8386,363.3968,369.955,373.9836,378.0122,382.0408,386.0694,390.098,394.4112,398.7244
CAF,CENTRAL AFRICAN REPUBLIC,429.7394,437.422,447.608,457.794,467.98,478.166,488.352,498.2398,508.1276,518.0154,527.9032,537.791,539.9558,542.1206,544.2854,546.4502,548.615,544.8118,541.0086,537.2054,533.4022,529.599,517.6506,505.7022,493.7538,481.8054,469.857,457.7406,445.6242,433.5078,421.3914,409.275,408.6526,408.0302,407.4078,406.7854,406.163,413.876,421.589,429.302,437.015,444.728,452.7962,460.8644,468.9326,477.0008,485.069,490.868,496.667,502.466,508.265,514.064,518.7818,523.4996
CAN,CANADA,,,81.369,85.408,87.745,89.926,91.701,91.915,94.328,94.67,96.894,96.861,99.42,100.968,104.092,105.582,109.329,113.634,118.514,119.139,123.608,123.388,124.692,127.265,130.055,131.234,135.683,139.795,142.101,142.362,148.802,152.953,159.253,164.047,171.143,176.137,179.822,181.097,184.981,188.245,189.682,187.999,186.366,187.213,190.275,189.657,193.087,193.638,192.071,191.411,191.777,191.176,190.738,192.904
CHE,SWITZERLAND,,,68.462,71.01,75.978,75.404,78.37,80.433,83.978,87.127,90.369,92.024,94.508,99.349,97.263,104.051,107.096,108.849,117.641,118.927,119.258,126.065,129.772,126.578,127.467,127.245,130.331,130.017,132.053,135.582,140.489,144.593,143.998,144.903,146.73,149.744,149.943,149.911,153.598,150.469,152.144,159.283,162.011,166.294,168.343,167.929,166.476,171.055,168.052,176.231,185.156,184.109,180.71,178.541
