Country code,Country name,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000,1999,1998,1997,1996,1995,1994,1993,1992,1991,1990,1989,1988,1987,1986,1985,1984,1983,1982,1981,1980,1979,1978,1977,1976,1975,1974,1973,1972,1971,1970,1969,1968,1967,1966,1965,1964,1963,1962,1961,1960,1959,1958,1957,1956,1955,1954,1953,1952,1951,1950,1949,1948,1947,1946,1945,1944,1943,1942,1941,1940,1939,1938,1937,1936,1935,1934,1933,1932,1931,1930,1929,1928,1927,1926,1925,1924,1923,1922,1921,1920,1919,1918,1917,1916,1915,1914,1913,1912,1911,1910,1909,1908,1907,1906,1905,1904,1903,1902,1901,1900
BMU,BERMUDA,,,,,,,,,,,0.0,,,0.0,,,,,,,,,,,0.0,,40.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BOL,BOLIVIA,247490.0,69105.0,92839.0,316005.0,63023.0,41361.0,824723.0,126622.0,3000.0,55025.0,58566.0,17246.0,357255.0,52359.0,7995.0,18238.0,190734.0,30.0,,215000.0,46.0,40650.0,17665.0,283160.0,97.0,0.0,20000.0,310000.0,475.0,3000.0,3133049.0,30000.0,,15000.0,,178000.0,90000.0,110.0,,18000.0,,,,,77.0,26200.0,,6100.0,500.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BRA,BRAZIL,201694.0,210029.0,1215613.0,1249120.0,1997625.0,1954864.0,1211655.0,116000.0,41986.0,155490.0,756196.0,322913.0,1014958.0,230291.0,279.0,1.027442E7,88776.0,14327.0,148848.0,2029.0,15.0,147553.0,34860.0,2800.0,1157185.0,3071904.0,761087.0,66057.0,615040.0,391703.0,2.333834E7,4300.0,52300.0,271048.0,6500000.0,1000.0,131100.0,,828707.0,355000.0,0.0,51.0,13000.0,1.0104371E7,38305.0,0.0,189543.0,4208138.0,270000.0,120000.0,0.0,,1900.0,,0.0,,0.0,0.0,,,,,,,0.0,0.0,,,,0.0,0.0,,,,0.0,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BRB,BARBADOS,,,,2500.0,,,1.0,,,880.0,,2000.0,,,,,,,0.0,,,,,0.0,,,230.0,,,100.0,,,,5007.0,,,,,,,,,,210.0,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BRN,BRUNEI DARUSSALAM,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BTN,BHUTAN,,,20016.0,,12.0,,,,,0.0,,,,1000.0,0.0,,,,,65600.0,,494.0,,,,,,,247.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BWA,BOTSWANA,4210.0,,0.0,,5056.0,15.0,,22264.0,0.0,4960.0,,,,138776.0,,,,,5500.0,,,,,100000.0,,26625.0,,0.0,,,,,1037300.0,,,,,,,,,1000.0,,87600.0,,60000.0,,,60000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CAF,CENTRAL AFRICAN REPUBLIC,8807.0,3893.0,4968.0,1585.0,23972.0,815.0,7830.0,20.0,23846.0,12748.0,649.0,1495.0,4473.0,2582.0,46005.0,9200.0,,17500.0,3999.0,,,418.0,,,,,,0.0,,,0.0,,1850.0,,,,,,,,13000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CAN,CANADA,102100.0,1500.0,9023.0,0.0,204.0,14918.0,500.0,3900.0,6561.0,1000.0,2670.0,1280.0,1629.0,2840.0,5870.0,13450.0,30605.0,12200.0,12136.0,4304.0,200.0,0.0,171.0,4000.0,25045.0,3800.0,250.0,14471.0,1000.0,30000.0,0.0,1400.0,19.0,5046.0,220061.0,4.0,0.0,0.0,340.0,0.0,,0.0,1500.0,0.0,0.0,,,0.0,22.0,,0.0,0.0,0.0,,0.0,0.0,,0.0,2006.0,0.0,8000.0,0.0,,107053.0,0.0,,0.0,18.0,,,2.0,100.0,0.0,,,200.0,,20.0,,,,,25000.0,,,0.0,0.0,,,,,11000.0,,,,2000000.0,15000.0,8000.0,22.0,0.0,0.0,2700.0,200.0,20.0,,0.0,0.0,,18.0,,23.0,,,
CHE,SWITZERLAND,84.0,0.0,3.0,0.0,0.0,,101.0,3000.0,2500.0,,7.0,284.0,9.0,1500.0,6.0,0.0,0.0,,5.0,5000.0,0.0,,200.0,0.0,,2000.0,0.0,0.0,20.0,40.0,140.0,0.0,,,,,0.0,0.0,0.0,,,0.0,0.0,48.0,,22.0,,,0.0,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CHL,CHILE,19.0,28717.0,55932.0,2671747.0,3.0,152760.0,25260.0,95867.0,29105.0,9502.0,285.0,255642.0,14980.0,181667.0,1000.0,,132451.0,,11833.0,1.0,3626.0,38000.0,146179.0,2500.0,0.0,2000.0,202506.0,85388.0,1482275.0,323173.0,1524.0,8000.0,,,0.0,6000.0,16800.0,,,40000.0,,,2438973.0,,,120000.0,,3006.0,395350.0,2000.0,460.0,,300.0,2003000.0,,35.0,,,,,55.0,,,,173.0,0.0,,0.0,,,35.0,16.0,,,58500.0,,,,,,,,,,,0.0,,,,,,0.0,,,,,,,,,,,,,,,,0.0,,,,,,
