Country code,Country name,2050,2049,2048,2047,2046,2045,2044,2043,2042,2041,2040,2039,2038,2037,2036,2035,2034,2033,2032,2031,2030,2029,2028,2027,2026,2025,2024,2023,2022,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000,1999,1998,1997,1996,1995,1994,1993,1992,1991,1990,1989,1988,1987,1986,1985,1984,1983,1982,1981,1980,1979,1978,1977,1976,1975,1974,1973,1972,1971,1970,1969,1968,1967,1966,1965,1964,1963,1962,1961,1960,1959,1958,1957,1956,1955,1954,1953,1952,1951,1950
CYM,CAYMAN ISLANDS,100.0,,,,,100.0,,,,,100.0,,,,,100.0,,,,,100.0,,,,,100.0,,,,,100.0,,,,,100.0,,,,,100.0,,,,,100.0,,,,,100.0,,,,,100.0,,,,,100.0,,,,,100.0,,,,,100.0,,,,,100.0,,,,,100.0,,,,,100.0,,,,,100.0,,,,,100.0,,,,,100.0
CYP,CYPRUS,80.285,,,,,79.047,,,,,77.752,,,,,76.401,,,,,75.001,,,,,73.657,,,,,72.418,,,,,71.299,,,,,70.311,,,,,69.444,,,,,68.648,,,,,68.038,,,,,66.776,,,,,64.678,,,,,58.614,,,,,47.277,,,,,40.761,,,,,38.188,,,,,35.628,,,,,32.334,,,,,28.384
CZE,CZECH REPUBLIC,79.505,,,,,78.395,,,,,77.242,,,,,76.046,,,,,74.931,,,,,74.099,,,,,73.57,,,,,73.356,,,,,73.464,,,,,73.698,,,,,73.988,,,,,74.643,,,,,75.22,,,,,75.365,,,,,75.167,,,,,69.917,,,,,64.402,,,,,62.016,,,,,59.548,,,,,56.884,,,,,54.18
DEU,GERMANY,81.82,,,,,80.786,,,,,79.707,,,,,78.583,,,,,77.415,,,,,76.276,,,,,75.286,,,,,74.462,,,,,73.815,,,,,73.355,,,,,73.067,,,,,73.286,,,,,73.118,,,,,72.711,,,,,72.844,,,,,72.56,,,,,72.274,,,,,71.955,,,,,71.384,,,,,69.691,,,,,68.091
DJI,DJIBOUTI,84.17,,,,,83.16,,,,,82.099,,,,,80.986,,,,,79.846,,,,,78.843,,,,,78.023,,,,,77.404,,,,,76.999,,,,,76.761,,,,,76.532,,,,,76.3,,,,,75.65,,,,,74.631,,,,,72.096,,,,,67.142,,,,,61.777,,,,,56.109,,,,,50.325,,,,,45.011,,,,,39.81
DMA,DOMINICA,77.288,,,,,75.951,,,,,74.562,,,,,73.121,,,,,71.629,,,,,70.088,,,,,68.671,,,,,67.654,,,,,67.06,,,,,66.9,,,,,67.178,,,,,67.629,,,,,67.716,,,,,66.046,,,,,63.411,,,,,55.296,,,,,46.891,,,,,36.583,,,,,27.29,,,,,25.923,,,,,24.924
DNK,DENMARK,91.124,,,,,90.684,,,,,90.224,,,,,89.745,,,,,89.238,,,,,88.692,,,,,88.105,,,,,87.474,,,,,86.795,,,,,85.856,,,,,85.1,,,,,84.979,,,,,84.843,,,,,84.351,,,,,83.723,,,,,82.146,,,,,79.737,,,,,77.048,,,,,73.687,,,,,69.619,,,,,67.983
DOM,DOMINICAN REPUBLIC,83.01,,,,,81.77,,,,,80.46,,,,,79.08,,,,,77.63,,,,,76.097,,,,,74.23,,,,,71.906,,,,,69.073,,,,,65.681,,,,,61.746,,,,,57.596,,,,,55.226,,,,,53.868,,,,,51.281,,,,,45.691,,,,,40.209,,,,,35.039,,,,,30.229,,,,,26.861,,,,,23.741
DZA,ALGERIA,87.376,,,,,86.447,,,,,85.46,,,,,84.415,,,,,83.29,,,,,81.691,,,,,79.389,,,,,76.229,,,,,72.024,,,,,66.689,,,,,60.787,,,,,55.997,,,,,52.085,,,,,47.968,,,,,43.542,,,,,40.33,,,,,39.5,,,,,37.643,,,,,30.51,,,,,26.149,,,,,22.213
ECU,ECUADOR,81.466,,,,,80.127,,,,,78.715,,,,,77.233,,,,,75.678,,,,,74.02,,,,,72.038,,,,,69.664,,,,,66.863,,,,,63.607,,,,,60.299,,,,,57.766,,,,,55.09,,,,,51.215,,,,,46.961,,,,,42.363,,,,,39.278,,,,,36.64,,,,,33.878,,,,,31.009,,,,,28.28
EGY,EGYPT,59.975,,,,,57.437,,,,,54.859,,,,,52.255,,,,,49.638,,,,,47.321,,,,,45.506,,,,,44.193,,,,,43.375,,,,,43.027,,,,,42.797,,,,,42.814,,,,,43.478,,,,,43.938,,,,,43.858,,,,,43.452,,,,,42.209,,,,,40.681,,,,,37.864,,,,,34.837,,,,,31.928
ERI,ERITREA,44.527,,,,,41.113,,,,,37.783,,,,,34.564,,,,,31.48,,,,,28.552,,,,,25.793,,,,,23.215,,,,,20.9,,,,,19.055,,,,,17.624,,,,,16.554,,,,,15.8,,,,,15.228,,,,,14.364,,,,,13.454,,,,,12.593,,,,,11.383,,,,,9.751,,,,,8.33,,,,,7.1
ESH,WESTERN SAHARA,89.028,,,,,88.271,,,,,87.469,,,,,86.62,,,,,85.723,,,,,84.786,,,,,83.822,,,,,82.833,,,,,81.822,,,,,80.793,,,,,83.861,,,,,87.153,,,,,86.156,,,,,84.183,,,,,77.449,,,,,60.574,,,,,42.092,,,,,36.185,,,,,31.19,,,,,31.095,,,,,31.0
ESP,SPAIN,84.532,,,,,83.669,,,,,82.769,,,,,81.829,,,,,80.85,,,,,79.831,,,,,78.86,,,,,78.007,,,,,77.284,,,,,76.701,,,,,76.262,,,,,75.856,,,,,75.351,,,,,74.213,,,,,72.789,,,,,69.57,,,,,66.038,,,,,61.278,,,,,56.567,,,,,54.224,,,,,51.92
EST,ESTONIA,78.006,,,,,76.692,,,,,75.324,,,,,73.904,,,,,72.468,,,,,71.263,,,,,70.349,,,,,69.745,,,,,69.461,,,,,69.425,,,,,69.401,,,,,69.979,,,,,71.128,,,,,70.767,,,,,69.711,,,,,67.589,,,,,64.947,,,,,61.348,,,,,57.533,,,,,53.623,,,,,49.67
ETH,ETHIOPIA,35.541,,,,,32.394,,,,,29.399,,,,,26.572,,,,,23.925,,,,,21.604,,,,,19.666,,,,,18.064,,,,,16.757,,,,,15.7,,,,,14.739,,,,,13.827,,,,,12.621,,,,,11.453,,,,,10.41,,,,,9.46,,,,,8.588,,,,,7.587,,,,,6.433,,,,,5.444,,,,,4.6
FIN,FINLAND,88.664,,,,,88.081,,,,,87.472,,,,,86.836,,,,,86.18,,,,,85.52,,,,,84.862,,,,,84.207,,,,,83.558,,,,,82.905,,,,,82.183,,,,,80.963,,,,,79.367,,,,,75.808,,,,,71.727,,,,,67.831,,,,,63.704,,,,,59.658,,,,,55.29,,,,,49.133,,,,,43.004
FJI,FIJI,67.31,,,,,65.484,,,,,63.61,,,,,61.695,,,,,59.743,,,,,57.772,,,,,55.793,,,,,53.813,,,,,51.837,,,,,49.871,,,,,47.908,,,,,45.496,,,,,41.611,,,,,38.523,,,,,37.769,,,,,36.721,,,,,34.758,,,,,32.582,,,,,29.681,,,,,26.933,,,,,24.352
FLK,FALKLAND ISLANDS (MALVINAS),85.522,,,,,84.501,,,,,83.422,,,,,82.284,,,,,81.086,,,,,79.701,,,,,78.02,,,,,76.006,,,,,73.619,,,,,70.828,,,,,67.606,,,,,65.987,,,,,74.15,,,,,64.012,,,,,58.696,,,,,56.33,,,,,54.041,,,,,51.847,,,,,50.495,,,,,50.774,,,,,51.053
FRA,FRANCE,93.321,,,,,92.886,,,,,92.425,,,,,91.938,,,,,91.421,,,,,90.725,,,,,89.563,,,,,87.801,,,,,85.229,,,,,81.555,,,,,76.895,,,,,74.912,,,,,74.056,,,,,73.65,,,,,73.282,,,,,72.926,,,,,71.055,,,,,67.071,,,,,61.88,,,,,58.164,,,,,55.232
FSM,"MICRONESIA, FEDERATED STATES OF",33.636,,,,,31.774,,,,,29.968,,,,,28.223,,,,,26.541,,,,,25.003,,,,,23.832,,,,,23.01,,,,,22.514,,,,,22.33,,,,,22.33,,,,,25.068,,,,,25.818,,,,,26.149,,,,,26.445,,,,,25.858,,,,,24.808,,,,,23.537,,,,,22.312,,,,,21.133,,,,,20.0
GAB,GABON,92.736,,,,,92.131,,,,,91.481,,,,,90.782,,,,,90.032,,,,,89.228,,,,,88.368,,,,,87.387,,,,,85.838,,,,,83.494,,,,,80.108,,,,,75.359,,,,,69.143,,,,,62.402,,,,,54.682,,,,,42.971,,,,,32.0,,,,,23.775,,,,,17.398,,,,,14.135,,,,,11.4
