Country code,Country name,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000,1999,1998,1997,1996,1995,1994,1993,1992,1991,1990,1989,1988,1987,1986,1985,1984,1983,1982,1981,1980
GRD,GRENADA,8.55,,8.6,8.6,8.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GTM,GUATEMALA,5.6,,4.1,4.1,4.1,4.0,3.9,3.8,3.7,3.6,,,,,3.8,,,,,,,,,,3.1,,,,,,,,,,2.4
GUY,GUYANA,8.53,,8.5,8.5,8.5,8.4,8.3,8.2,8.1,8.0,,,,,7.7,,,,,,,,,,6.7,,,,,,,,,,5.8
HKG,HONG KONG,10.02,,10.0,10.0,10.0,9.9,9.8,9.7,9.5,9.4,,,,,8.7,,,,,,,,,,8.5,,,,,,,,,,6.7
HND,HONDURAS,5.48,,6.5,6.5,6.5,6.4,6.3,6.1,6.0,5.9,,,,,5.3,,,,,,,,,,4.3,,,,,,,,,,2.9
HRV,CROATIA (LOCAL NAME: HRVATSKA),11.03,,9.8,9.8,9.8,9.7,9.7,9.6,9.5,9.5,,,,,9.2,,,,,,,,,,7.9,,,,,,,,,,6.9
HTI,HAITI,4.9,,4.9,4.9,4.9,4.8,4.7,4.6,4.5,4.5,,,,,3.9,,,,,,,,,,2.7,,,,,,,,,,1.4
HUN,HUNGARY,11.31,,11.7,11.7,11.7,11.6,11.6,11.5,11.5,11.5,,,,,11.2,,,,,,,,,,8.7,,,,,,,,,,8.7
IDN,INDONESIA,7.51,,5.8,5.8,5.8,5.7,5.6,5.5,5.4,5.3,,,,,4.8,,,,,,,,,,3.3,,,,,,,,,,3.1
IND,INDIA,4.43,,4.4,4.4,4.4,4.3,4.2,4.1,4.1,4.0,,,,,3.6,,,,,,,,,,3.0,,,,,,,,,,1.9
IRL,IRELAND,11.61,,11.6,11.6,11.6,11.6,11.5,11.5,11.4,11.4,,,,,11.2,,,,,,,,,,10.4,,,,,,,,,,9.5
IRN,IRAN (ISLAMIC REPUBLIC OF),7.84,,7.8,7.8,7.8,7.7,7.5,7.4,7.2,7.0,,,,,6.0,,,,,,,,,,3.8,,,,,,,,,,2.1
IRQ,IRAQ,5.58,,5.6,5.6,5.6,5.5,5.4,5.4,5.3,5.3,,,,,4.8,,,,,,,,,,2.9,,,,,,,,,,1.5
ISL,ICELAND,10.41,,10.4,10.4,10.4,10.3,10.2,10.1,10.0,9.9,,,,,9.3,,,,,,,,,,8.4,,,,,,,,,,7.4
ISR,ISRAEL,12.54,,11.9,11.9,11.9,11.9,11.9,11.9,11.9,11.9,,,,,11.6,,,,,,,,,,10.8,,,,,,,,,,9.8
ITA,ITALY,10.1,,10.1,10.1,10.1,10.0,9.9,9.8,9.6,9.5,,,,,8.4,,,,,,,,,,7.2,,,,,,,,,,6.1
JAM,JAMAICA,9.63,,9.6,9.6,9.6,9.5,9.4,9.3,9.2,9.0,,,,,8.6,,,,,,,,,,6.4,,,,,,,,,,5.2
JOR,JORDAN,9.91,,8.6,8.6,8.6,8.5,8.4,8.3,8.1,8.0,,,,,7.3,,,,,,,,,,5.1,,,,,,,,,,3.1
JPN,JAPAN,11.49,,11.6,11.6,11.6,11.5,11.5,11.4,11.3,11.2,,,,,10.8,,,,,,,,,,9.9,,,,,,,,,,8.9
KAZ,KAZAKHSTAN,10.37,,10.4,10.4,10.4,10.3,10.3,10.2,10.2,10.2,,,,,9.9,,,,,,,,,,7.7,,,,,,,,,,6.1
KEN,KENYA,6.27,,7.0,7.0,7.0,6.9,6.8,6.7,6.6,6.5,,,,,5.9,,,,,,,,,,4.2,,,,,,,,,,2.7
KGZ,KYRGYZSTAN,9.27,,9.3,9.3,9.3,9.3,9.2,9.2,9.2,9.2,,,,,9.2,,,,,,,,,,8.1,,,,,,,,,,6.6
KHM,CAMBODIA,5.77,,5.8,5.8,5.8,5.8,5.7,5.7,5.7,5.7,,,,,5.7,,,,,,,,,,5.3,,,,,,,,,,5.0
KIR,KIRIBATI,7.81,,7.8,7.8,7.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KNA,SAINT KITTS AND NEVIS,8.39,,8.4,8.4,8.4,8.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KOR,"KOREA, REPUBLIC OF",11.77,,11.6,11.6,11.6,11.5,11.4,11.3,11.2,11.1,,,,,10.6,,,,,,,,,,8.9,,,,,,,,,,7.3
KWT,KUWAIT,7.21,,6.1,6.1,6.1,6.1,6.0,6.0,6.0,6.0,,,,,6.1,,,,,,,,,,5.5,,,,,,,,,,4.3
LAO,LAOS ,4.58,,4.6,4.6,4.6,4.5,4.4,4.4,4.3,4.2,,,,,3.9,,,,,,,,,,3.1,,,,,,,,,,2.1
LBN,LEBANON,7.92,,7.9,7.9,7.9,7.9,7.9,7.9,7.9,7.9,,,,,,,,,,,,,,,,,,,,,,,,,
LBR,LIBERIA,3.93,,3.9,3.9,3.9,3.8,3.7,3.6,3.5,3.4,,,,,3.2,,,,,,,,,,2.4,,,,,,,,,,1.5
LBY,LIBYA,7.52,,7.3,7.3,7.3,7.1,6.9,6.7,6.5,6.4,,,,,5.6,,,,,,,,,,3.8,,,,,,,,,,2.2
LCA,SAINT LUCIA,8.28,,8.3,8.3,8.3,8.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LIE,LIECHTENSTEIN,10.26,,10.3,10.3,10.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LKA,SRI LANKA,10.8,,9.3,9.3,9.3,9.2,9.2,9.1,9.1,9.0,,,,,8.8,,,,,,,,,,8.3,,,,,,,,,,7.0
LSO,LESOTHO,5.87,,5.9,5.9,5.9,5.8,5.6,5.5,5.4,5.3,,,,,4.9,,,,,,,,,,4.4,,,,,,,,,,3.7
LTU,LITHUANIA,12.38,,10.9,10.9,10.9,10.9,10.8,10.8,10.7,10.7,,,,,9.9,,,,,,,,,,8.3,,,,,,,,,,6.8
LUX,LUXEMBURG,11.28,,10.1,10.1,10.1,10.0,10.0,10.0,9.9,9.9,,,,,9.7,,,,,,,,,,8.8,,,,,,,,,,8.3
LVA,LATVIA,11.48,,11.5,11.5,11.5,11.3,11.0,10.8,10.6,10.4,,,,,9.4,,,,,,,,,,7.5,,,,,,,,,,6.3
MAR,MOROCCO,4.37,,4.4,4.4,4.4,4.3,4.2,4.1,4.0,3.9,,,,,3.4,,,,,,,,,,2.2,,,,,,,,,,1.2
MDA,"MOLDOVA, REPUBLIC OF",9.77,,9.7,9.7,9.7,9.6,9.6,9.5,9.4,9.4,,,,,9.0,,,,,,,,,,8.0,,,,,,,,,,6.4
MDG,MADAGASCAR,5.17,,5.2,5.2,5.2,5.2,5.2,5.2,5.2,5.2,,,,,5.2,,,,,,,,,,,,,,,,,,,,
MDV,MALDIVES,5.84,,5.8,5.8,5.8,5.7,5.5,5.3,5.2,5.0,,,,,4.2,,,,,,,,,,4.0,,,,,,,,,,4.5
MEX,MEXICO,8.47,,8.5,8.5,8.5,8.4,8.2,8.1,8.0,7.8,,,,,7.4,,,,,,,,,,5.5,,,,,,,,,,4.0
MKD,MACEDONIA,8.17,,8.2,8.2,8.2,8.2,8.2,8.2,8.2,8.2,,,,,,,,,,,,,,,,,,,,,,,,,
MLI,MALI,1.99,,2.0,2.0,2.0,1.9,1.9,1.8,1.7,1.7,,,,,1.2,,,,,,,,,,0.7,,,,,,,,,,0.4
MLT,MALTA,9.89,,9.9,9.9,9.9,9.9,9.9,9.8,9.8,9.7,,,,,9.0,,,,,,,,,,8.2,,,,,,,,,,7.0
MMR,MYANMAR (Burma) ,3.95,,3.9,3.9,3.9,3.8,3.7,3.6,3.5,3.4,,,,,3.0,,,,,,,,,,2.4,,,,,,,,,,1.7
MNE,MONTENEGRO,10.54,,10.5,10.5,10.5,10.5,10.5,10.6,10.6,10.6,,,,,,,,,,,,,,,,,,,,,,,,,
MNG,MONGOLIA,8.31,,8.3,8.3,8.3,8.3,8.3,8.3,8.2,8.2,,,,,8.1,,,,,,,,,,7.6,,,,,,,,,,5.7
MOZ,MOZAMBIQUE,3.25,,1.2,1.2,1.2,1.2,1.2,1.1,1.1,1.1,,,,,0.9,,,,,,,,,,0.8,,,,,,,,,,0.7
MRT,MAURITANIA,3.74,,3.7,3.7,3.7,3.7,3.6,3.5,3.4,3.3,,,,,2.9,,,,,,,,,,2.2,,,,,,,,,,1.8
MUS,MAURITIUS,8.54,,7.2,7.2,7.2,7.1,7.0,6.9,6.8,6.8,,,,,6.2,,,,,,,,,,5.7,,,,,,,,,,4.5
MWI,MALAWI,4.19,,4.2,4.2,4.2,4.1,3.9,3.7,3.6,3.4,,,,,3.0,,,,,,,,,,2.5,,,,,,,,,,1.8
MYS,MALAYSIA,9.53,,9.5,9.5,9.5,9.4,9.3,9.2,9.1,8.9,,,,,8.2,,,,,,,,,,6.5,,,,,,,,,,4.4
NAM,NAMIBIA,6.19,,6.2,6.2,6.2,6.1,6.1,6.0,6.0,6.0,,,,,5.6,,,,,,,,,,5.6,,,,,,,,,,4.3
NER,NIGER,1.44,,1.4,1.4,1.4,1.4,1.4,1.3,1.3,1.3,,,,,1.1,,,,,,,,,,0.7,,,,,,,,,,0.5
NGA,NIGERIA,5.25,,5.2,5.2,5.2,5.2,5.1,5.1,5.0,5.0,,,,,,,,,,,,,,,,,,,,,,,,,
NIC,NICARAGUA,5.77,,5.8,5.8,5.8,5.6,5.5,5.4,5.3,5.1,,,,,4.7,,,,,,,,,,4.0,,,,,,,,,,3.2
NLD,NETHERLANDS,11.89,,11.6,11.6,11.6,11.5,11.4,11.2,11.1,11.0,,,,,10.8,,,,,,,,,,10.2,,,,,,,,,,9.3
NOR,NORWAY,12.63,,12.6,12.6,12.6,12.6,12.7,12.7,12.7,12.7,,,,,11.5,,,,,,,,,,10.8,,,,,,,,,,9.1
NPL,NEPAL,3.24,,3.2,3.2,3.2,3.1,3.0,2.9,2.8,2.7,,,,,2.4,,,,,,,,,,2.0,,,,,,,,,,0.6
NZL,NEW ZEALAND,12.5,,12.5,12.5,12.5,12.4,12.4,12.3,12.3,12.2,,,,,12.0,,,,,,,,,,11.7,,,,,,,,,,11.6
OMN,OMAN,6.77,,5.5,5.5,5.5,5.5,5.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PAK,PAKISTAN,4.73,,4.9,4.9,4.9,4.8,4.7,4.7,4.6,4.5,,,,,3.3,,,,,,,,,,2.3,,,,,,,,,,1.8
PAN,PANAMA,9.39,,9.4,9.4,9.4,9.3,9.2,9.2,9.1,9.0,,,,,8.5,,,,,,,,,,7.3,,,,,,,,,,5.9
PER,PERU,9.01,,8.7,8.7,8.7,8.6,8.5,8.4,8.3,8.2,,,,,7.7,,,,,,,,,,6.6,,,,,,,,,,5.5
PHL,PHILIPPINES,8.88,,8.9,8.9,8.9,8.8,8.8,8.7,8.6,8.6,,,,,8.0,,,,,,,,,,7.1,,,,,,,,,,6.1
PLW,PALAU,12.19,,12.2,12.2,12.2,12.2,12.2,12.2,12.2,12.2,,,,,11.4,,,,,,,,,,10.3,,,,,,,,,,
PNG,PAPUA NEW GUINEA,3.91,,3.9,3.9,3.9,3.8,3.8,3.7,3.6,3.5,,,,,3.2,,,,,,,,,,2.3,,,,,,,,,,1.2
POL,POLAND,11.82,,10.0,10.0,10.0,9.9,9.8,9.8,9.7,9.7,,,,,9.5,,,,,,,,,,8.4,,,,,,,,,,7.7
PRT,PORTUGAL,8.25,,7.7,7.7,7.7,7.6,7.5,7.4,7.3,7.2,,,,,6.8,,,,,,,,,,6.2,,,,,,,,,,4.8
PRY,PARAGUAY,7.7,,7.7,7.7,7.7,7.5,7.4,7.2,7.0,6.9,,,,,5.9,,,,,,,,,,5.8,,,,,,,,,,4.6
PSE,STATE OF PALESTINE,8.87,,8.0,8.0,8.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
QAT,QATAR,9.07,,7.3,7.3,7.3,7.2,7.2,7.1,7.1,7.0,,,,,6.4,,,,,,,,,,5.4,,,,,,,,,,4.4
ROU,ROMANIA,10.69,,10.4,10.4,10.4,10.4,10.3,10.3,10.2,10.1,,,,,9.9,,,,,,,,,,9.0,,,,,,,,,,7.9
RUS,RUSSIA,11.73,,11.7,11.7,11.7,11.7,11.7,11.6,11.6,11.6,,,,,11.3,,,,,,,,,,9.2,,,,,,,,,,7.1
RWA,RWANDA,3.35,,3.3,3.3,3.3,3.2,3.1,3.0,2.9,2.8,,,,,2.3,,,,,,,,,,1.8,,,,,,,,,,1.1
SAU,SAUDI ARABIA,8.7,,7.8,7.8,7.8,7.7,7.6,7.5,7.3,7.2,,,,,6.6,,,,,,,,,,5.5,,,,,,,,,,4.2
SDN,SUDAN,3.14,,3.1,3.1,3.1,3.1,3.0,2.9,2.9,2.8,,,,,2.4,,,,,,,,,,1.5,,,,,,,,,,0.9
SEN,SENEGAL,4.45,,4.5,4.5,4.5,4.4,4.3,4.2,4.1,4.0,,,,,3.7,,,,,,,,,,3.0,,,,,,,,,,2.4
SGP,SINGAPORE,10.2,,10.1,10.1,10.1,9.4,9.4,9.1,8.8,8.4,,,,,7.6,,,,,,,,,,5.8,,,,,,,,,,3.7
SLB,SOLOMON ISLANDS,4.5,,4.5,4.5,4.5,4.5,4.5,4.5,4.5,4.5,,,,,4.5,,,,,,,,,,,,,,,,,,,,
SLE,SIERRA LEONE,2.88,,3.3,3.3,3.3,3.2,3.1,3.0,3.0,2.9,,,,,2.4,,,,,,,,,,1.6,,,,,,,,,,1.0
SLV,EL SALVADOR,6.51,,7.5,7.5,7.5,7.4,7.2,7.0,6.8,6.7,,,,,5.7,,,,,,,,,,3.7,,,,,,,,,,3.0
SRB,SERBIA,9.53,,10.2,10.2,10.2,10.1,10.0,9.9,9.8,9.7,,,,,9.2,,,,,,,,,,8.0,,,,,,,,,,6.7
STP,SAO TOME AND PRINCIPE,4.66,,4.7,4.7,4.7,4.7,4.7,4.4,4.3,4.2,,,,,4.2,,,,,,,,,,,,,,,,,,,,
SUR,SURINAME,7.65,,7.2,7.2,7.2,7.2,7.2,7.2,7.2,7.2,,,,,,,,,,,,,,,,,,,,,,,,,
SVK,SLOVAKIA (SLOVAK REPUBLIC),11.56,,11.6,11.6,11.6,11.6,11.6,11.6,11.6,11.6,,,,,11.2,,,,,,,,,,10.6,,,,,,,,,,10.1
SVN,SLOVENIA,11.89,,11.7,11.7,11.7,11.7,11.7,11.6,11.6,11.6,,,,,11.6,,,,,,,,,,10.9,,,,,,,,,,9.0
SWE,SWEDEN,11.74,,11.7,11.7,11.7,11.7,11.7,11.7,11.7,11.7,,,,,11.0,,,,,,,,,,10.0,,,,,,,,,,9.1
SWZ,SWAZILAND,7.12,,7.1,7.1,7.1,7.0,6.9,6.8,6.7,6.6,,,,,6.0,,,,,,,,,,4.8,,,,,,,,,,3.6
SYC,SEYCHELLES,9.41,,9.4,9.4,9.4,9.4,9.4,9.4,9.4,9.4,,,,,9.4,,,,,,,,,,,,,,,,,,,,
SYR,SYRIAN ARAB REPUBLIC,6.6,,5.7,5.7,5.7,5.7,5.7,5.7,5.7,5.7,,,,,5.1,,,,,,,,,,4.1,,,,,,,,,,2.6
TCD,CHAD,1.51,,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,,,,,1.5,,,,,,,,,,,,,,,,,,,,
TGO,TOGO,5.27,,5.3,5.3,5.3,5.2,5.1,5.0,4.9,4.8,,,,,4.4,,,,,,,,,,3.0,,,,,,,,,,1.7
THA,THAILAND,7.32,,6.6,6.6,6.6,6.4,6.3,6.2,6.0,5.9,,,,,5.4,,,,,,,,,,4.6,,,,,,,,,,3.7
TJK,TAJIKISTAN,9.85,,9.8,9.8,9.8,9.9,9.9,9.9,10.0,10.0,,,,,9.9,,,,,,,,,,9.0,,,,,,,,,,7.3
TKM,TURKMENISTAN,9.88,,9.9,9.9,9.9,9.9,9.9,9.9,9.9,9.9,,,,,9.9,,,,,,,,,,,,,,,,,,,,
TLS,EAST TIMOR,4.42,,4.4,4.4,4.4,4.1,3.8,3.4,3.1,2.8,,,,,2.8,,,,,,,,,,,,,,,,,,,,
TON,TONGA,9.36,,10.3,10.3,10.3,10.2,10.2,10.1,10.0,10.0,,,,,9.7,,,,,,,,,,8.5,,,,,,,,,,7.3
TTO,TRINIDAD AND TOBAGO,10.76,,9.2,9.2,9.2,9.2,9.1,9.0,8.9,8.8,,,,,8.3,,,,,,,,,,7.4,,,,,,,,,,7.0
TUN,TUNISIA,6.48,,6.5,6.5,6.5,6.3,6.1,6.0,5.8,5.7,,,,,4.8,,,,,,,,,,3.4,,,,,,,,,,2.0
