Country code,Country name,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000,1999,1998,1997,1996,1995,1994,1993,1992,1991,1990,1989,1988,1987,1986,1985,1984,1983,1982,1981,1980,1979,1978
ITA,ITALY,,,,35.52,,35.45,,,,37.27,,,,36.03,,37.6,,,35.83,,35.54,,31.47,,32.68,,34.55,32.52,,,,,,,,
JAM,JAMAICA,,,,,,,,,,45.51,,48.34,69.17,,44.22,,,40.47,,,35.67,,,42.2,,43.16,,,,,,,,,,
JOR,JORDAN,,,,35.43,,33.82,,37.72,,,38.87,,,,,,36.42,,,,,43.36,,,,,36.06,,,,,,,,,
JPN,JAPAN,,,,,,32.11,,,,,,,,,,,,,,,24.85,,,,,,,,,,,,,,,
KAZ,KAZAKHSTAN,,,,28.56,29.04,29.33,30.88,30.76,26.83,32.25,33.85,34.95,41.11,,,,,35.32,,,32.67,,,,,25.74,,,,,,,,,,
KEN,KENYA,,,,,,,,,47.68,,,,,,,,42.51,,,42.07,,57.46,,,,,,,,,,,,,,
KGZ,KYRGYZSTAN,,,33.38,36.51,36.19,37.29,33.43,38.69,39.49,34.78,28.72,31.67,30.01,30.84,,35.98,,,,,53.7,,,,,26.01,,,,,,,,,,
KHM,CAMBODIA,,,31.82,33.55,36.03,37.85,44.37,,,41.85,,,,,,,,,,38.28,,,,,,,,,,,,,,,,
KOR,"KOREA, REPUBLIC OF",,,,,,,,,,,,,,,,31.59,,,,,,,,,,,,,,,,,,,,
LAO,LAOS ,,36.22,,,,36.74,35.46,,,,,32.63,,,,,34.91,,,,,30.43,,,,,,,,,,,,,,
LBR,LIBERIA,,,,,,,38.16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LCA,SAINT LUCIA,,,,,,,,,,,,,,,,,,,42.58,,,,,,,,,,,,,,,,,
LKA,SRI LANKA,,,,36.4,,,40.26,,,,,41.06,,,,,,35.41,,,,,32.48,,,,,,32.47,,,,,,,
LSO,LESOTHO,,,,54.17,,,,,,,52.5,,,,,,,,,63.16,57.94,,,,,,56.02,,,,,,,,,
LTU,LITHUANIA,,,32.63,33.76,,37.57,,34.44,35.3,35.81,35.46,32.33,32.4,31.85,,30.21,,32.26,,,33.64,,,,,22.48,,,,,,,,,,
LUX,LUXEMBURG,,,,,,,,,,,,,,30.76,,,,,,,,,,,,,,,,,,,,,,
LVA,LATVIA,,,36.03,35.27,34.81,36.61,36.27,35.6,,35.73,37.66,35.91,,,,33.52,31.72,31.65,30.98,,26.99,,,,,22.49,,,,,,,,,,
MAR,MOROCCO,,,,,,,40.88,,,,,,40.63,,39.46,,,,,,,,39.2,,,,,,39.19,,,,,,,
MDA,"MOLDOVA, REPUBLIC OF",,,30.63,33.03,34.02,35.3,35.27,36.13,36.28,35.96,35.55,36.87,38.59,,39.35,39.47,36.9,,,,,34.32,,,,24.14,,,,,,,,,,
MDG,MADAGASCAR,,,,44.11,,,,,47.24,,,,47.47,,41.81,,39.16,,,,46.12,,,,,,,,,,,,,46.85,,
MDV,MALDIVES,,,,,,,,,,37.37,,,,,,62.69,,,,,,,,,,,,,,,,,,,,
MEX,MEXICO,,48.07,,47.16,,48.28,,48.11,51.15,46.05,,49.68,,51.87,,48.99,,48.54,,51.89,,51.06,,,51.99,,,,,46.26,,,,,,
MKD,MACEDONIA,,,,43.56,43.17,44.2,,42.78,39.13,38.85,38.95,38.75,,34.44,,28.13,,,,,,,,,,,,,,,,,,,,
MLI,MALI,,,,33.02,,,,38.99,,,,,40.01,,,,,,,50.56,,,,,,,,,,,,,,,,
MNE,MONTENEGRO,,,30.63,28.58,30.26,29.99,30.83,29.33,30.12,,,,,,,,,,,,,,,,,,,,,,,,,,,
MNG,MONGOLIA,,,,,,36.52,,,,,,32.84,,,,30.27,,,33.2,,,,,,,,,,,,,,,,,
MOZ,MOZAMBIQUE,,,,,45.66,45.66,,,,,47.11,,,,,,,44.49,,,,,,,,,,,,,,,,,,
MRT,MAURITANIA,,,,,,40.46,,,,41.26,,,,39.04,,,,37.29,,,50.05,,,,,,43.94,,,,,,,,,
MUS,MAURITIUS,,35.9,,,,,,35.68,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MWI,MALAWI,,,,43.91,,,,,,39.02,,,,,,50.31,,,,,,,,,,,,,,,,,,,,
MYS,MALAYSIA,,,,,46.21,,46.0,,,37.91,,,,,,,49.15,,48.52,,,47.65,,,46.17,,47.04,,,48.63,,,,,,
NAM,NAMIBIA,,,,61.32,,,,,,63.9,,,,,,,,,,,74.33,,,,,,,,,,,,,,,
NER,NIGER,,,31.16,,,34.55,,,43.89,,,,,,,,,,,41.53,,36.1,,,,,,,,,,,,,,
NGA,NIGERIA,,,,48.83,,,,,,42.93,,,,,,,,46.5,,,,44.95,,,,,,38.68,,,,,,,,
NIC,NICARAGUA,,,,,45.73,,,,40.47,,,,43.06,,,45.24,,,,,50.41,,,,,,,,,,,,,,,
NLD,NETHERLANDS,,,,28.87,,,30.31,,,31.14,,,,,30.9,,,,,,32.22,,,31.88,,,27.57,,,,28.42,,,,,
