Country code,Country name,2014,2013,2012,2011,2010,2009,2008,2007
RWA,RWANDA,2.759116,,2.27,,2.04,,,1.77
SAU,SAUDI ARABIA,3.148437,,3.18,,3.22,,,3.02
SDN,SUDAN,2.160954,,2.1,,2.21,,,2.71
SEN,SENEGAL,2.62217,,2.49,,2.86,,,2.37
SGP,SINGAPORE,4.004448,,4.13,,4.09,,,4.19
SLB,SOLOMON ISLANDS,2.587528,,2.41,,2.31,,,2.08
SLE,SIERRA LEONE,,,2.08,,1.97,,,1.95
SLV,EL SALVADOR,2.960467,,2.6,,2.67,,,2.66
SOM,SOMALIA,1.773126,,,,1.34,,,2.16
SRB,SERBIA,2.962556,,2.8,,2.69,,,2.28
STP,SAO TOME AND PRINCIPE,2.733896,,2.48,,,,,2.86
SVK,SLOVAKIA (SLOVAK REPUBLIC),3.254533,,3.03,,3.24,,,2.92
SVN,SLOVENIA,3.383272,,3.29,,2.87,,,3.14
SWE,SWEDEN,3.961349,,3.85,,4.08,,,4.08
SYR,SYRIAN ARAB REPUBLIC,2.090922,,2.6,,2.74,,,2.09
TCD,CHAD,2.52968,,2.03,,2.49,,,1.98
TGO,TOGO,2.31846,,2.58,,2.6,,,2.25
THA,THAILAND,3.42958,,3.18,,3.29,,,3.31
TJK,TAJIKISTAN,2.527419,,2.28,,2.35,,,1.93
TKM,TURKMENISTAN,2.30495,,,,2.49,,,
TLS,EAST TIMOR,,,,,,,,1.71
TUN,TUNISIA,2.550996,,3.17,,2.84,,,2.76
TUR,TURKEY,3.500225,,3.51,,3.22,,,3.15
TZA,"TANZANIA, UNITED REPUBLIC OF",2.330834,,2.65,,2.6,,,2.08
UGA,UGANDA,,,,,2.82,,,2.49
UKR,UKRAINE,2.976444,,2.85,,2.57,,,2.55
URY,URUGUAY,2.678649,,2.98,,2.75,,,2.51
USA,UNITED STATES,3.917825,,3.93,,3.86,,,3.84
UZB,UZBEKISTAN,2.39477,,2.46,,2.79,,,2.16
VEN,VENEZUELA,2.808111,,2.49,,2.68,,,2.62
VNM,VIET NAM,3.154763,,3.0,,2.96,,,2.89
YEM,YEMEN,2.18395,,2.89,,2.58,,,2.29
ZAF,SOUTH AFRICA,3.431244,,3.67,,3.46,,,3.53
ZMB,ZAMBIA,2.462674,,,,2.28,,,2.37
ZWE,ZIMBABWE,2.33928,,2.55,,,,,2.29
