Country code,Country name,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000,1999,1998,1997,1996,1995,1994,1993,1992,1991,1990,1989,1988,1987,1986,1985,1984,1983,1982,1981,1980
IRL,IRELAND,,,,5.7,4.9,4.7,4.7,,,,,4.2,,,,,,,,,,4.7,,,,,,,,,,5.5
IRN,IRAN (ISLAMIC REPUBLIC OF),,4.7,4.7,4.8,5.5,5.1,4.7,,,,,4.4,,,,,,,,,,4.0,,,,,,,,,,
IRQ,IRAQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.3
ISL,ICELAND,,,7.8,7.5,7.4,7.5,7.6,,,,,6.7,,,,,,,,,,4.3,,,,,,,,,,
ISR,ISRAEL,,,5.8,5.9,5.9,6.1,6.1,,,,,6.5,,,,,,,,,,6.1,,,,,,,,,,8.6
ITA,ITALY,,,4.7,4.6,4.3,4.7,4.4,,,,,4.4,,,,,,,,,,,,,,,,,,,,
JAM,JAMAICA,,6.1,6.0,6.2,5.5,,4.6,,,,,5.0,,,,,,,,,,4.8,,,,,,,,,,
JPN,JAPAN,,3.8,,3.4,3.5,3.5,3.5,,,,,3.7,,,,,,,,,,,,,,,,,,,,5.2
KAZ,KAZAKHSTAN,,,3.1,2.6,2.8,2.6,2.3,,,,,3.3,,,,,,,,,,,,,,,,,,,,
KEN,KENYA,,6.7,,,,7.0,7.3,,,,,5.2,,,,,,,,,,,,,,,,,,,,5.4
KGZ,KYRGYZSTAN,,,6.2,5.9,6.5,5.5,4.9,,,,,3.5,,,,,,,,,,,,,,,,,,,,
KHM,CAMBODIA,,2.6,,,1.6,,,,,,,1.7,,,,,,,,,,,,,,,,,,,,
KIR,KIRIBATI,,,,,,,,,,,,11.0,,,,,,,,,,,,,,,,,,,,
KNA,SAINT KITTS AND NEVIS,,,,,4.5,4.4,4.1,,,,,5.2,,,,,,,,,,,,,,,,,,,,
KOR,"KOREA, REPUBLIC OF",,,5.0,4.8,4.2,4.2,4.1,,,,,,,,,,,,,,,3.3,,,,,,,,,,3.5
KWT,KUWAIT,,,,,,3.8,4.7,,,,,,,,,,,,,,,,,,,,,,,,,2.8
LAO,LAOS ,,3.3,,2.3,3.1,2.9,2.4,,,,,1.5,,,,,,,,,,,,,,,,,,,,
LBN,LEBANON,,,1.8,2.0,2.6,2.7,2.6,,,,,1.9,,,,,,,,,,,,,,,,,,,,
LBR,LIBERIA,,,,2.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.6
LCA,SAINT LUCIA,,4.4,3.9,5.6,,6.0,5.5,,,,,7.1,,,,,,,,,,,,,,,,,,,,
LIE,LIECHTENSTEIN,,,,2.1,1.9,2.1,,,,,,,,,,,,,,,,,,,,,,,,,,
LKA,SRI LANKA,,,2.1,,,,,,,,,,,,,,,,,,,2.4,,,,,,,,,,2.7
LSO,LESOTHO,,,,13.0,,13.9,14.8,,,,,11.8,,,,,,,,,,,,,,,,,,,,
LTU,LITHUANIA,,,5.7,4.9,4.7,4.8,4.9,,,,,,,,,,,,,,,,,,,,,,,,,
LUX,LUXEMBURG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.6
LVA,LATVIA,,,5.6,5.7,5.0,5.1,,,,,,5.4,,,,,,,,,,3.8,,,,,,,,,,3.3
MAR,MOROCCO,,,5.4,5.6,,5.5,,,,,,5.8,,,,,,,,,,5.3,,,,,,,,,,5.9
MCO,MONACO,,,1.2,,,,,,,,,1.3,,,,,,,,,,,,,,,,,,,,
MDA,"MOLDOVA, REPUBLIC OF",,9.1,9.5,8.2,8.3,7.5,7.2,,,,,4.5,,,,,,,,,,,,,,,,,,,,
MDG,MADAGASCAR,,,3.2,2.9,3.4,3.3,3.8,,,,,2.9,,,,,,,,,,,,,,,,,,,,4.3
MDV,MALDIVES,,,8.7,5.7,5.5,5.7,6.0,,,,,,,,,,,,,,,,,,,,,,,,,
MEX,MEXICO,,,5.3,4.9,4.8,4.8,5.0,,,,,4.9,,,,,,,,,,2.3,,,,,,,,,,
MHL,MARSHALL ISLANDS,,,,,,,,,,,,14.6,,,,,,,,,,,,,,,,,,,,
MLI,MALI,,4.5,4.4,3.8,,,4.1,,,,,3.6,,,,,,,,,,,,,,,,,,,,3.4
MLT,MALTA,,,,5.8,6.3,,,,,,,,,,,,,,,,,3.8,,,,,,,,,,
MMR,MYANMAR (Burma) ,,,,,,,,,,,,0.6,,,,,,,,,,,,,,,,,,,,
MNG,MONGOLIA,,5.4,5.1,,4.7,,,,,,,5.6,,,,,,,,,,,,,,,,,,,,
MOZ,MOZAMBIQUE,,,,,,5.0,5.2,,,,,,,,,,,,,,,,,,,,,,,,,
MRT,MAURITANIA,,4.3,,4.0,,2.5,,,,,,,,,,,,,,,,,,,,,,,,,,
MUS,MAURITIUS,,,3.1,3.2,3.4,3.8,4.2,,,,,3.8,,,,,,,,,,3.2,,,,,,,,,,
MWI,MALAWI,5.7,4.6,,,,,,,,,,5.2,,,,,,,,,,3.3,,,,,,,,,,
