Country code,Country name,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000,1999,1998,1997,1996,1995,1994,1993,1992,1991,1990,1989,1988,1987,1986,1985,1984,1983,1982,1981,1980
ETH,ETHIOPIA,0.0,535.0,579.0,721.0,531.0,547.0,489.0,384.0,843.0,598.0,310.0,658.0,519.0,185.0,566.0,129.0,39.0,49.0,16.0,4.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0
FJI,FIJI,,57.0,349.0,15.0,106.0,198.0,33.0,37.0,0.0,8.0,23.0,106.0,4.0,6.0,5.0,15.0,15.0,8.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,2.0,3.0,0.0,0.0,0.0,0.0,0.0
FSM,"MICRONESIA, FEDERATED STATES OF",,7.0,6.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,11.0,7.0,38.0,1.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GEO,GEORGIA,,40.0,57.0,90.0,118.0,381.0,1025.0,147.0,354.0,246.0,221.0,248.0,428.0,248.0,188.0,129.0,102.0,53.0,27.0,2.0,2.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GHA,GHANA,,29.0,75.0,52.0,60.0,27.0,31.0,90.0,12.0,14.0,8.0,8.0,10.0,30.0,18.0,35.0,1.0,0.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
GIN,GUINEA,0.0,169.0,72.0,75.0,336.0,353.0,82.0,217.0,76.0,82.0,52.0,104.0,194.0,534.0,206.0,42.0,5.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GMB,GAMBIA,0.0,20.0,49.0,12.0,16.0,13.0,7.0,9.0,14.0,2.0,4.0,5.0,5.0,18.0,19.0,14.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GNB,GUINEA-BISSAU,0.0,78.0,227.0,61.0,77.0,154.0,122.0,54.0,85.0,151.0,6.0,53.0,19.0,20.0,76.0,200.0,274.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GRD,GRENADA,,3.0,3.0,5.0,2.0,2.0,0.0,2.0,3.0,57.0,143.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GTM,GUATEMALA,0.0,555.0,574.0,625.0,598.0,279.0,148.0,27.0,54.0,256.0,3.0,9.0,51.0,23.0,7.0,16.0,36.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,2.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0
