Country code,Country name,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000,1999,1998,1997,1996,1995,1994,1993,1992,1991,1990
LCA,SAINT LUCIA,,,,,,,,,,,,,1210.0,1210.0,1210.0,1210.0,1190.0,1155.0,1140.0,1120.0,1100.0,1070.0
LKA,SRI LANKA,,114093.0,,,,,,,97286.0,91803.0,,,,,,99200.0,98375.0,98775.0,98775.0,97667.0,96840.0,93000.0
LSO,LESOTHO,,,,,,,,,,,,5940.0,5940.0,5748.0,5362.0,4955.0,4955.0,5324.0,5324.0,5242.0,5170.0,5090.0
LTU,LITHUANIA,82911.0,82131.0,81331.0,81030.0,80715.0,79984.0,79497.0,79331.0,78893.0,77148.0,76573.0,75517.0,73650.0,72459.0,69243.0,66212.0,62513.0,60584.0,56693.0,52809.0,49133.0,48734.0
LUX,LUXEMBURG,,2880.0,,,,,,5227.0,5225.0,5204.0,5213.0,5210.0,5189.0,5166.0,5171.0,5161.0,5136.0,5134.0,5113.0,5108.0,5097.0,5091.0
LVA,LATVIA,69537.0,69406.0,69574.0,66210.0,66340.0,66165.0,66319.0,66032.0,66419.0,67467.0,67467.0,65404.0,,,,,,,,,,
MAC,MACAU,416.0,413.0,413.0,404.0,401.0,384.0,368.0,362.0,345.0,341.0,333.0,324.0,321.200012207031,,,,,,,,,
MAR,MOROCCO,58698.0,58395.0,58216.0,57852.0,57763.0,57625.0,57626.0,57493.0,57734.0,57694.0,57679.0,57626.0,57222.0,57847.0,57732.0,60669.0,60559.0,60519.0,59860.0,59547.0,59547.0,59522.0
MCO,MONACO,,77.0,77.0,77.0,77.0,77.0,,,,,,50.0,50.0,50.0,50.0,50.0,,,,,,
MDA,"MOLDOVA, REPUBLIC OF",12845.0,12837.0,12779.0,12778.0,12755.0,12838.0,12737.0,12733.0,12731.0,12719.0,12691.0,12636.0,12657.0,12652.0,12647.0,12574.0,12471.0,12311.0,12307.0,14508.0,14062.0,13900.0
MDG,MADAGASCAR,37476.0,37476.0,37476.0,,,,,,,,,49827.0,49827.0,,,49837.0,49837.0,49837.0,49837.0,,,
MDV,MALDIVES,,,,,,,88.0,,,,,,,,,,,,,,,
MEX,MEXICO,374262.0,371936.0,366807.0,364612.0,360075.0,356945.0,355796.0,352072.0,349037.0,337168.0,330005.0,323065.0,329532.0,318952.0,323977.0,312301.0,307983.0,303414.0,243203.0,243856.0,242294.0,239235.0
MKD,MACEDONIA,13983.0,13934.0,13940.0,13922.0,13840.0,13736.0,13278.0,13124.0,13040.0,12974.0,12927.0,12522.0,8684.0,8684.0,8684.0,8684.0,8532.0,8422.0,8415.0,8406.0,8403.0,8360.0
MLI,MALI,,,22474.0,21573.0,,,18912.0,18709.0,,,,15100.0,15100.0,15100.0,15100.0,15100.0,14776.0,14500.0,14300.0,14000.0,13700.0,13400.0
MLT,MALTA,,,,3096.0,3096.0,3096.0,2227.0,2254.0,2254.0,2222.0,2213.0,2213.0,,2000.0,2000.0,2000.0,2000.0,2000.0,,,,
MMR,MYANMAR (Burma) ,37785.0,34377.0,32185.0,31081.0,30891.0,30609.0,29997.0,29669.0,29147.0,28959.0,28764.0,26766.0,27966.0,,,28200.0,27600.0,27000.0,26500.0,26000.0,25500.0,25000.0
MNE,MONTENEGRO,7905.0,7763.0,7624.0,7404.0,7402.0,7368.0,7353.0,7314.0,7311.0,7310.0,7292.0,7205.0,,,,,,,,,,
MNG,MONGOLIA,,,11218.0,11218.0,,,,,,49250.0,49250.0,49250.0,49190.0,49250.0,49250.0,49250.0,49250.0,49250.0,42418.0,42418.0,42418.0,42418.0
